EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI ( % ) ,Breakeven,ProfitMargin,EAN_digits,EAN_OnPage_digits,EAN_digits_normalized,EAN_OnPage_digits_normalized,EAN_strict_valid,EAN_OnPage_strict_valid,is_exact_ean_strict,title_match,shared_tokens,brand_match,product_type_match,Sup_Qty,Amz_Multipack,Amz_Total,RSU,Adjusted_Profit,Pack_Verdict,category,confidence,key_evidence,filter_reason,sales,RowID
5022822226623,889328733407.0,B086ZJ8N2T,STATUS LED G9 2W LED CAPSULE BULB EACH,"17.5"" Portable DVD Player with 15.6"" Large HD Swivel Screen, 6 Hours Rechargeable Battery, Support USB/SD Card/Sync TV and Multiple Disc Formats, No Region Restrict, High Volume Speaker, Black",https://www.efghousewares.co.uk/status-led-g9-2w-led-capsule-bulb-each,https://www.amazon.co.uk/dp/B086ZJ8N2T,500,Available (see Keepa data),,2.0,1.14,0.95,94.02,6.58,5.42,0.55,15.67,2.7,65.3999999999999,-2.7,64.85,4323.33333333333,16.2,82.769623484365,5022822226623,8893287334070,5022822226623,8893287334070,True,False,False,0.1565217391304348,[],False,False,1,"(1, 1, 1)",1,1.0,64.85,1:1 Match,UNRELATED,15,Weak evidence,Insufficient evidence,500,11
5012904079582,,B0FLXV5TG6,CHEF AID LANC PEELER PLASTIC HAND,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",https://www.efghousewares.co.uk/chef-aid-lanc-peeler-plastic-hand,https://www.amazon.co.uk/dp/B0FLXV5TG6,50,,,,0.852,0.71,81.98,10.2475,2.41,0.55,13.6633333333333,2.7835,54.9491666666666,-2.7835,54.3991666666666,4317.39417989418,16.701,79.627958038546,5012904079582,,5012904079582,,True,False,False,0.11659192825112108,[],False,False,1,"(1, 1, 1)",1,1.0,54.3991666666666,1:1 Match,UNRELATED,11,Weak evidence,Insufficient evidence,50,12
5056170346795,,B0DWDWJTY6,ARTIST PAINT BRUSHES 10PC,"LEGO Ç€ Marvel Spider-Man vs. Oscorp - Interactive Toy with a Motorbike, 8 Minifigures incl. Miles Morales & Green Goblin - Collectible Super Hero Gift for 10+ Year Old Boys & Fans - 76324",https://www.efghousewares.co.uk/artist-paint-brushes-10pc,https://www.amazon.co.uk/dp/B0DWDWJTY6,400,,,,1.2096,1.008,97.99,12.24875,2.41,0.55,16.3316666666666,3.24335,65.9915833333333,-3.24335,65.4415833333333,4200.35836542576,19.4601,80.1407286457801,5056170346795,,5056170346795,,True,False,False,0.1596244131455399,[],False,False,1,"(1, 1, 1)",1,1.0,65.4415833333333,1:1 Match,UNRELATED,15,Weak evidence,Insufficient evidence,400,13
8003653005004,,B01KWWYF6A,TONKITA TOILET BRUSH & HOLDER,"Nespresso Citiz Coffee Machine by De'Longhi for Original Coffee Pods, Italian Inspired Espresso, Quality Coffee, Starter Capsule Set Included, EN167.B, Black",https://www.efghousewares.co.uk/tonkita-toilet-brush-holder,https://www.amazon.co.uk/dp/B01KWWYF6A,900,,,,2.112,1.76,139.0,17.375,2.41,0.55,23.1666666666666,4.419,94.2883333333333,-4.419,93.7383333333333,4057.9365079365,26.514,80.9251798561151,8003653005004,,8003653005004,,True,False,False,0.17204301075268819,[],False,False,1,"(1, 1, 1)",1,1.0,93.7383333333333,1:1 Match,UNRELATED,17,Weak evidence,Insufficient evidence,900,14
6923456819818,,B0DK877SSC,ADORN PLACEMAT GOLD EMBOSSED 37CM ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,https://www.efghousewares.co.uk/adorn-placemat-gold-embossed-37cm-assorted-118544,https://www.amazon.co.uk/dp/B0DK877SSC,100,,,,0.804,0.67,69.99,8.74875,2.41,0.55,11.665,2.47575,46.4962499999999,-2.47575,45.9462499999999,3766.08606557376,14.8545,78.7762537505357,6923456819818,,6923456819818,,True,False,False,0.23076923076923078,[],False,False,1,"(1, 1, 1)",1,1.0,45.9462499999999,1:1 Match,UNRELATED,23,Weak evidence,Insufficient evidence,100,15
4894158018552,,B0DNSWBYMZ,FESTIVE MAGIC BELLS 8PC ASSORTED,"Hazel Quinn x Eduardo Recife 2-Slice Toaster, 6 Browning Levels, Defrost/Reheat/Cancel Functions, Removable Crumb Tray for Easy Cleaning, 1.5-Inch Extra-Wide Slots, Retro Style Collaboration",https://www.efghousewares.co.uk/festive-magic-bells-8pc-assorted-93115,https://www.amazon.co.uk/dp/B0DNSWBYMZ,50,Available (see Keepa data),,1.0,0.672,0.56,69.99,10.5,5.15,0.55,11.665,3.352,42.115,-3.352,41.565,3744.59459459459,20.112,71.264466352336,4894158018552,,4894158018552,,True,False,False,0.1981981981981982,[],False,False,1,"(1, 1, 1)",1,1.0,41.565,1:1 Match,UNRELATED,19,Weak evidence,Insufficient evidence,50,16
5414886287533,,B0002HZPUG,EASY STORAGE VACUUM BAG 70X100CM,John Deere Ride-on Tractor with Loader and Detachable Trailer,https://www.efghousewares.co.uk/easy-storage-vacuum-bag-70x100cm,https://www.amazon.co.uk/dp/B0002HZPUG,100,,Available (see Keepa data),6.0,1.476,1.23,114.99,16.5,11.87,0.55,19.1649999999999,6.02999999999999,66.225,-6.02999999999999,65.675,3689.60674157303,36.18,68.5363944690842,5414886287533,,5414886287533,,True,False,False,0.1935483870967742,[],False,False,1,"(1, 1, 1)",1,1.0,65.675,1:1 Match,UNRELATED,19,Weak evidence,Insufficient evidence,100,17
5050565743725,,B0FGCSDMBW,CEMENT FLOWER POT WITH SUCCULENT CIRCLE 3 ASSORTED,"Sewing Machine for Beginners â€“ Portable Electric with 12 Built-In Stitch Patterns, 6 Presser Feet, Foot Pedal, 2-Speed Control, Fast Sewing for Clothes, Fabrics, DIY & Home Use",https://www.efghousewares.co.uk/cement-flower-pot-with-succulent-circle-3-assorted-120175,https://www.amazon.co.uk/dp/B0FGCSDMBW,100,Available (see Keepa data),,1.0,0.804,0.67,74.99,11.25,5.42,0.55,12.4983333333333,3.578,45.1516666666666,-3.578,44.6016666666666,3655.87431693988,21.468,71.3721829577276,5050565743725,,5050565743725,,True,False,False,0.2631578947368421,[],False,False,1,"(1, 1, 1)",1,1.0,44.6016666666666,1:1 Match,NEEDS_VERIFICATION,26,Weak evidence,Confirm brand on packaging,100,18
5012904000425,659381335623.0,B0FLXV5TG6,CHEF AID MINI SPOUT BRUSH,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",https://www.efghousewares.co.uk/chef-aid-mini-spout-brush,https://www.amazon.co.uk/dp/B0FLXV5TG6,50,Available (see Keepa data),,1.0,1.032,0.86,81.98,10.15,5.34,0.55,13.6633333333333,3.38,51.9666666666666,-3.38,51.4166666666666,3646.57210401891,20.28,75.2622590875823,5012904000425,6593813356230,5012904000425,6593813356230,True,False,False,0.10232558139534884,[],False,False,1,"(1, 1, 1)",1,1.0,51.4166666666666,1:1 Match,UNRELATED,10,Weak evidence,Insufficient evidence,50,19
5055706641151,717710483480.0,B0FGHZB8FM,PROKLEEN SPUNLACE FLOOR MOP & HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",https://www.efghousewares.co.uk/prokleen-spunlace-floor-mop-handle,https://www.amazon.co.uk/dp/B0FGHZB8FM,50,Available (see Keepa data),,1.0,2.088,1.74,129.0,19.35,3.44,0.55,21.5,5.016,82.97,-5.016,82.42,3599.12663755458,30.096,76.6697674418604,5055706641151,7177104834800,5055706641151,7177104834800,True,True,False,0.09691629955947137,[],False,False,1,"(1, 1, 1)",1,1.0,82.42,1:1 Match,UNRELATED,9,Weak evidence,Insufficient evidence,50,20
