tier_original,TIER_1_VERIFIED,TIER_2_LIKELY,TIER_3_NEEDS_REVIEW,TIER_4_REJECTED
TIER_1_VERIFIED,137,0,1665,0
TIER_2_LIKELY,0,13,164,0
TIER_3_NEEDS_REVIEW,0,17,283,0
TIER_4_REJECTED,0,230,4044,630
