category,is_exact_ean,Pack_Verdict,Adjusted_Profit,NetProfit,ROI,Qty_Ratio,Sup_Qty,Amz_Qty,title_match,sales,SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT
UNCERTAIN,False,1:1 Match,24.441666666666663,24.441666666666663,1709.207459207459,1.0,1.0,1.0,0.15767634854771784,200.0,Grey \'Adorable\' Knee Length Socks w/Satin Bow,"LEGO Classic Creative Build-and-Play Box - Colourful Bricks Set - Build a House, Dog, Fire Engine Toy, Piano Keyboard, Clouds & Rainbow - Arts and Crafts Kit for 5+ Year Old Boys & Girls - 11044",5023797405617,5702017824864,B01MSZQ37V,1.056,44.99
UNCERTAIN,False,1:1 Match,91.935,91.935,1596.0937500000002,1.0,1.0,1.0,0.14201183431952663,300.0,Keeleco Teddy (20cm),"Trend T7 1/2 Inch Variable Speed Workshop Router and Kitbox, Perfect for Kitchen Fitting, Worktop Joints & Timber Profiling, 2100W, 240V, Black, T7EK",5027148019409,5027654063859,B07XL4Q6NV,6.252,148.95
UNCERTAIN,False,1:1 Match,18.615,18.615,1591.025641025641,1.0,1.0,1.0,0.13157894736842105,900.0,Traditional Santa Medium  Bag,"SYLSTAR 30W Rechargeable Work Light, 3000 Lumen Magnetic Work Light Battery Powered, Waterproof Portable Cordless Job Site Lighting for Construction Site, Workshop, Garage, Camping, and Car Repairing",5056519200429,729920105601,B0BKGQLN8Z,0.744,33.99
UNCERTAIN,False,1:1 Match,22.835416666666667,22.835416666666667,1542.9335585585586,1.0,1.0,1.0,0.13452914798206278,300.0,Reversible Sequin Bow Headband,"SKYLEO LED Desk Lamp - Double Head Desk Light with Remote Control - Eye Protection, 2400 LM, 24W, 5 Color Modes, Timing & Memory, Easy to Install - Suitable for Office, Reading, Drawing - Black",5056170325745,nan,B0DHYTRRLV,1.116,37.73
UNCERTAIN,False,1:1 Match,13.554166666666667,13.554166666666667,1540.246212121212,1.0,1.0,1.0,0.16753926701570682,300.0,Happy Birthday Foil Banner,"Handheld Vacuum Cleaner, 22000Pa Car Vacuum Cleaner Cordless Powerful with 2-in-1 Suction and Blower Function, Car Hoovers Cordless Powerful for Office, Home Kitchen",5055141680302,nan,B0FGTJ9LBB,0.396,23.78
UNCERTAIN,False,1:1 Match,15.935000000000002,15.935000000000002,1350.4237288135594,1.0,1.0,1.0,0.13636363636363635,200.0,Christmas Tree Pen (Assorted),"Belaco Heater 2000W Turbo Convector Electric Heater with Fan Heater 3-speed Setting & 24Hr Timer | Energy Saving Portable Heater| Fast Heating Room Heaters for Home, Electric radiator – Black",5056170340670,5060598912685,B0FXBBF665,0.756,33.99
UNCERTAIN,False,1:1 Match,19.971666666666668,19.971666666666668,1340.380313199105,1.0,1.0,1.0,0.17721518987341772,500.0,Plain Blue 100% cotton velcro bibs by Soft Touch,"LEGO ǀ Marvel Avengers: Endgame Thor vs. Chitauri - Building Toy with a Mech, Gorilla Figure & 7 Minifigures incl. Thor, Rocket & Iron Patriot - Super Hero Gift for 8+ Year Old Boys - 76322",5060251955882,5702017817941,B0DWF1V6CT,1.128,35.99
UNCERTAIN,False,1:1 Match,17.42833333333333,17.42833333333333,1310.4010025062655,1.0,1.0,1.0,0.18867924528301888,200.0,Skating Scene Gift Bag (Medium),"Aigostar 100W LED Work Light, 9000LM Job Site Light, Plug in Folding FloodLight with 13ft Wire & Switch, Portable Loft Construction Workman Lights 240V Mains Powered IP65 Waterproof",5056519286751,8433325386368,B0D1V3KVPY,0.936,34.99
UNCERTAIN,False,1:1 Match,18.345,18.345,1273.9583333333333,1.0,1.0,1.0,0.09691629955947137,900.0,Black Hand Tie Bag (19x25cm),"SYLSTAR 30W Rechargeable Work Light, 3000 Lumen Magnetic Work Light Battery Powered, Waterproof Portable Cordless Job Site Lighting for Construction Site, Workshop, Garage, Camping, and Car Repairing",5056519277278,729920105601,B0BKGQLN8Z,1.068,33.99
UNCERTAIN,False,1:1 Match,25.465000000000003,25.465000000000003,1248.2843137254904,1.0,1.0,1.0,0.13392857142857142,100.0,3 6cm Bells on a wire (Rusty),"Aigostar 2000W Electric Fan Heater, Energy Efficient Space Heater with Remote Control, 70° Oscillation, 4 Modes, 24H Timer, Overheat & Tip-Over Protection - Silent Ceramic Heater for Home/Bedroom",5056519243969,8433325182915,B0F7R9GN9X,1.788,48.99
