category,EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,title_match,sales_numeric,NetProfit,ROI,SupplierPrice_incVAT,SellingPrice_incVAT
UNCERTAIN,5012866322139.0,,B0D2H5FPWX,Giant Play Food Set (2 Assorted),"Play Food Sets for Kids Kitchen-80PC Pretend Food with 2 Kids Picnic Basket, Toy Food with Pizza Toy, Plastic Food Cutting Toys, Play Kitchen Accessories - Fake Food, Boys Girls Gifts",0.20465116279069767,800.0,1.980000000000001,29.50819672131149,7.392,17.76
MODERATE_CONFIDENCE,5056721892535.0,5060780842011.0,B09CHKWF8B,Christmas Candles Folded card (Pack of 25),"Christmas cards pack - Red Candle, 10 Christmas cards 2025 with 10 white envelopes - Designed, printed and hand-packed in the UK, by Just Cards Direct",0.3020833333333333,800.0,1.7050000000000003,127.23880597014929,0.948,6.99
UNCERTAIN,5017224814608.0,,B09KM68ZW1,Halloween Bottles (Assorted),"4DRC V13 Drone for kids Adults with 1080P HD FPV Camera, Foldable Mini RC Quadcopter With Waypoint, Functions,Headless Mode,Altitude Hold,Gesture Selfie,3D Flips,Beginners Toys Gifts",0.1523809523809524,700.0,27.49625,1029.8220973782772,2.544,45.99
UNCERTAIN,8717847187772.0,,B09KTY7GN3,Bolsius Maxi Tealights - White (14 Pack),"One Fire Night Light for Kids, Toys with 15 Films & 15 White Noises, Rechargeable 1200mAh Toddler Night Light with 360° Rotation, Remote Control Unicorn Gifts for Girls, Toys for 3-12 Year Old Girls",0.19327731092436976,700.0,14.332916666666666,318.50925925925924,4.74,29.99
UNCERTAIN,5050565362438.0,,B0D6RK49W8,Preschool Vehicles (6 Asstd),Wooden Toys Car Transporter Toy with 4 Cars Wooden Toys 2 3 Year Old Toy Cars for Toddlers Gifts for 3 Year Olds Boys Girls,0.17218543046357615,700.0,7.542500000000001,509.6283783783785,1.116,16.14
UNCERTAIN,5015302105105.0,631105007108.0,B08B5S51S2,Backpack Changing Bag and Mat,"Dikaslon Changing Bag Backpack, Large Nappy Back Pack Multifunction Baby Bags with Portable Changing Mat, Pacifier Holder, and Stroller Straps, for Mom and Dad",0.22340425531914893,700.0,6.611666666666667,74.62377727614748,9.972,28.49
UNCERTAIN,5050750046143.0,5027434165223.0,B0CS3TFMXQ,Watch Me Grow Hooded Pink Teddy Robe,"OHS Womens Dressing Gowns Teddy Fleece, Warm Cosy Fluffy Dressing Gown Bathrobes Women Hooded Luxury Oversized Ladies Mens Dressing Gown, One Size",0.23076923076923078,700.0,6.474583333333334,205.54232804232805,3.12,16.99
UNCERTAIN,,,B0CPH5W7T5,Barbie Stationery Advent Calendar,"Barbie Advent Calendar with Doll & 24 Surprise Accessories Including Unicorn & 3 Pets, Transform Pink-Haired Fashion Doll into Mermaid, Fairy & More, HRG90",0.23404255319148937,700.0,6.40708333333333,75.11234857366154,9.576,24.49
UNCERTAIN,5949043780232.0,,B0CPH5W7T5,Barbie Stationery Advent Calendar,"Barbie Advent Calendar with Doll & 24 Surprise Accessories Including Unicorn & 3 Pets, Transform Pink-Haired Fashion Doll into Mermaid, Fairy & More, HRG90",0.23404255319148937,700.0,5.687083333333331,61.48198198198196,10.44,24.49
UNCERTAIN,742554361403.0,5060847680037.0,B07WLLXKXR,Letter Balloon - F - Silver (34 Inch),Dermaplaning Tool (9 Count) – Easy to Use Dermaplane Razor for Face – Practical Hair Remover Blade for Eyebrows and Peach Fuzz – Facial Shaver for Women That Helps Exfoliate and Smooth the Skin,0.16521739130434782,700.0,4.738333333333333,379.06666666666666,0.84,9.97
UNCERTAIN,5012866082088.0,,B0D73JQN53,Tumbling Friend Unicorn,"ZIMPLI - 6 x Large Unicorn Surprise Bath Bombs, 6 Surprise Unicorn Toys Included, Bath Toys for Girls, Bubble Baff Bomb Gift Set, Xmas Gift",0.16049382716049382,700.0,3.918333333333334,137.96948356807513,2.748,14.47
UNCERTAIN,,,B0C6PPJC6V,Blue 100% Organic Cotton Unbranded Velcro Bib,Yoofoss Muslin Baby Bibs 10 Pack Dribble Bandana Bibs 100% Cotton Drool Bib for Teething Soft and Absorbent with Adjustable Snaps Blue and Orange …,0.23958333333333334,700.0,3.578333333333336,159.7470238095239,2.028,12.91
UNCERTAIN,5056721815947.0,,B08CDFT155,Red Single Magnolia on Stem (45cm),"FINGOOO Artificial Red Berry Stems, 14 Pcs 7.8 Inch Glitter Christmas Tree Picks for Christmas Tree Ornaments,DIY Xmas Wreath, Holiday and Home Decoration",0.14893617021276595,700.0,2.1262500000000006,83.71062992125987,2.388,9.99
MODERATE_CONFIDENCE,5034566615717.0,5034566609952.0,B07DY2H1JJ,Orange Zog Dragon Toy,"Zog the dragon 9inch Plush Soft Toy, Orange",0.4375,700.0,1.4433333333333322,19.142351900972574,8.388,17.74
UNCERTAIN,5022896180494.0,6972815752730.0,B0FFH7RY3R,Assorted England Gel Window Stickers (15x55cm),"Vicloon Baby Bandana Dribble Bibs Drool Bibs, 10pc Infant Teething Soft and Absorbent with Adjustable Snaps, Bib Set for Unisex Newborn Toddlers Aged 0-36 Months",0.2318840579710145,700.0,0.5283333333333344,41.93121693121702,0.852,6.49
UNCERTAIN,5056814436066.0,736067830785.0,B08CDFT155,Red Single Magnolia on Stem (45cm),"FINGOOO Artificial Red Berry Stems, 14 Pcs 7.8 Inch Glitter Christmas Tree Picks for Christmas Tree Ornaments,DIY Xmas Wreath, Holiday and Home Decoration",0.14893617021276595,700.0,0.2050000000000007,5.163727959697752,4.104,9.99
UNCERTAIN,2663520595.0,5702017817941.0,B0DWF1V6CT,Blue Foil Circle Balloon (18 Inch),"LEGO ǀ Marvel Avengers: Endgame Thor vs. Chitauri - Building Toy with a Mech, Gorilla Figure & 7 Minifigures incl. Thor, Rocket & Iron Patriot - Super Hero Gift for 8+ Year Old Boys - 76322",0.16143497757847533,600.0,20.37166666666667,1868.9602446483184,0.648,35.99
UNCERTAIN,5038451076485.0,5012095076711.0,B004N9BSQE,Jungle Party Bowls,Spear & Jackson 8290RS Razorsharp Advance Heavy Duty Telescopic Ratchet Anvil Lopper,0.19607843137254902,600.0,15.638333333333332,903.9499036608864,1.416,32.95
UNCERTAIN,5055398312490.0,5061025442683.0,B0DSW6N44J,Natural Tranquillity Basket,"Vencier Set of 4 Handwoven Seagrass Storage Baskets – Natural Wicker Organizer Baskets with Handles for Shelves, Bathroom, Bedroom, and Home Office – Nesting Design for Space-Saving Storage",0.17592592592592593,600.0,6.492916666666666,169.08637152777777,3.948,17.99
UNCERTAIN,5034123100014.0,,B0D7HVJH21,'Exclusive' Don't Panic its only a Baby Mug - Pink - Gift Boxed,"Eletorot Mum Christmas Gifts from Daughter Son Personalised Present Hamper for Birthday, Mothers Day, Pamper Set for Mom, Mummy Gifts, Coffee Cups Mug Presents",0.23423423423423423,600.0,5.088333333333334,379.726368159204,0.948,13.99
UNCERTAIN,5052516115087.0,,B0DC6BKGD7,Assorted Squeaky Plush & Rope Dog Toy,"Speedy Panther 10 Pack Luxury Dog Toys for Teething Small Dogs, Puppy Chew Toys Set with Plush Squeaky Dog Toy, Ball Toy and Rope Toys, Xmas Gift for Small and Medium Dogs",0.22115384615384615,600.0,1.235000000000002,34.78873239436625,3.6,11.49
MODERATE_CONFIDENCE,5023797201264.0,5055465195650.0,B0764F73LZ,Cute 'My 1st Xmas' Velcro Bib by Soft Touch,BabyPrem Baby Bib My 1st Christmas Spoil Me Feeding Clothes Boy Girl Unisex Red,0.36065573770491804,600.0,1.1116666666666666,75.11261261261261,1.116,5.99
MODERATE_CONFIDENCE,5018329226365.0,5055875453708.0,B08J431LXR,8cm Metallic Red and Gold Pom Pom Bow,The Home Fusion Company 20 Luxury Metallic Bows Xmas Birthday Present Gift Bows Silver Red Gold Or Mixed,0.3404255319148936,600.0,1.0616666666666672,85.61827956989252,0.828,7.25
UNCERTAIN,5012866630081.0,850016823243.0,B0CBNGXNVT,Fabulous Wash Time Pals Bath Toy (4 Assrtd Designs) (Assorted Designs),Glo Pals Original Water-Activated Light-up Sensory Bath Toy - Party Pal - White. 4 Reusable Light-Up Cubes. Colourful Bath Time Fun. Childrens Light-up Sensory Play. Gift Suitable for Boys & Girls 3+,0.26765799256505574,600.0,0.9350000000000016,21.395881006865025,4.584,9.99
MODERATE_CONFIDENCE,,5055465195650.0,B0764F73LZ,Cute 'My 1st Xmas' Velcro Bib by Soft Touch,BabyPrem Baby Bib My 1st Christmas Spoil Me Feeding Clothes Boy Girl Unisex Red,0.36065573770491804,600.0,0.4716666666666667,22.248427672955977,1.884,5.99
UNCERTAIN,5053154296220.0,,B0BGFN7D4K,Reindeer Blanks Christmas Decoration - Personalisable,40 Pieces Wooden Baubles Wooden Christmas Decorations to Paint Decorate Your Own Baubles Natural Wood Slices Wood Chips for DIY Crafts Christmas Tree Decorations Christmas Ornaments Pendants,0.2716049382716049,600.0,0.2012499999999997,8.600427350427339,2.148,6.99
UNCERTAIN,5060251955882.0,5702017817941.0,B0DWF1V6CT,Plain Blue 100% cotton velcro bibs by Soft Touch,"LEGO ǀ Marvel Avengers: Endgame Thor vs. Chitauri - Building Toy with a Mech, Gorilla Figure & 7 Minifigures incl. Thor, Rocket & Iron Patriot - Super Hero Gift for 8+ Year Old Boys - 76322",0.17721518987341772,500.0,19.971666666666668,1340.380313199105,1.128,35.99
UNCERTAIN,5012866021988.0,,B0C2433ZJW,Football Trainer Set,YISSVIC Football Training Equipment Speed Agility Ladder Football Kick Trainer Set 6M 12-Rung with 10 Cones and 4 Stakes for Kids Children,0.25316455696202533,500.0,5.009583333333333,99.3964947089947,5.388,17.59
UNCERTAIN,5056364103494.0,5056599724174.0,B0BCG5WHRV,Ava May Velvet Rose & Oud Aroma Oil,Harry Potter - Children's Personalised Scarf - Woolly Scarf - One Size Fits All - Official Merchandise,0.10218978102189781,500.0,4.794583333333334,99.26673567977916,5.136,16.99
