category,Pack_Analysis_Verdict,Adjusted_Profit,Qty_Ratio,Sup_Qty,Amz_Qty,sales_numeric,SupplierTitle,AmazonTitle,EAN,ASIN
HIGH_CONFIDENCE,MATCH (1:1),1.388333333,1,1,1,100,Soft Touch Baby Plain Ribbed Pom-Pom Hat (0-12 Months) (Assorted Designs),"Soft Touch Baby Boys Girls Pom Pom Hat Unisex Cable Knit Twist Hat Mittens Set 0-12 Months H648 (Blue), One Size",5.0238E+12,B09LTKDZZZ
HIGH_CONFIDENCE,MATCH (1:1),1.388333333,1,1,1,100,19cm Round Two Tone Seagrass and Green Paper Basket,JVL Natural Round Seagrass Waste Paper Basket,5.05635E+12,B005NG8E0E
MODERATE_CONFIDENCE,MATCH (1:1),1.2825,1,1,1,50,Miyoni Collie 8inch,"MiYoni Dogs 13127 8-inch Westie, White",5.03457E+12,B007HLKFBO
MODERATE_CONFIDENCE,MATCH (1:1),1.208333333,1,1,1,100,Card of 4 Deco Ribbon (Assorted Designs),10M Bundles of Mixed Ribbon off cuts Assorted Colours / sizes Premium Quality,5.05514E+12,B00V5FK3UG
MODERATE_CONFIDENCE,MATCH (1:1),1.185833333,1,1,1,50,8 Premium Wreath Crackers (12.5inch),"RSW 8 Premium Burgundy Joy 12.5"" Christmas Crackers Luxury Festive Party Gold",5.0153E+12,B0FHBHV536
MODERATE_CONFIDENCE,PROFITABLE SPLIT (1/3),1.110916667,0.333333333,3,1,100,Christmas Earrings (Pack of 3) (Assorted Designs),"Multicolor Flashing Christmas Earrings - Assorted Designs, 1 Pc - Perfect For Uplifting Celebrations & Xmas Gift",5.01213E+12,B0CXFY442Q
HIGH_CONFIDENCE,MATCH (1:1),1.078333333,1,1,1,100,Soft Touch Small Beige Cable Knit Pom-pom Hat (NB-12 Months),"Soft Touch Baby Boys Girls Pom Pom Hat Unisex Cable Knit Twist Hat Mittens Set 0-12 Months H648 (Blue), One Size",5.0238E+12,B09LTKDZZZ
MODERATE_CONFIDENCE,MATCH (1:1),0.82,1,12,12,300,Red Velvet Christmas Bows (12 Pack),Red Velvet Bows - 12 Pack Christmas Ornaments & Decorations for Tree & Garland,5.05617E+12,B0DNK7LC3Z
HIGH_CONFIDENCE,MATCH (1:1),0.778333333,1,1,1,100,19cm Round Two Tone Seagrass and Green Paper Basket,JVL Natural Round Seagrass Waste Paper Basket,5.0554E+12,B005NG8E0E
MODERATE_CONFIDENCE,MATCH (1:1),0.736666667,1,1,1,200,Girls Plain Grey Tights 1 Pack (5-6 Years),I.L.C.K Girls Back To School Plain Cotton Rich Tights,5.05544E+12,B019E5ZRE0
MODERATE_CONFIDENCE,MATCH (1:1),0.701666667,1,1,1,50,Polystyrene Ball - 6cm.  Great for Sweetie Trees!,10 x Modelling Craft Polystyrene Foam Ball Sphere 6cm-White,,B0CP9CZSLB
HIGH_CONFIDENCE,MATCH (1:1),0.678333333,1,1,1,100,Soft Touch Small Grey Cable Knit Hat With Fluffy Pom-pom (NB-12 Months),"Soft Touch Baby Boys Girls Pom Pom Hat Unisex Cable Knit Twist Hat Mittens Set 0-12 Months H648 (Blue), One Size",5.0238E+12,B09LTKDZZZ
HIGH_CONFIDENCE,MATCH (1:1),0.678333333,1,1,1,100,Soft Touch Small Grey Cable Knit Hat With Fluffy Pom-pom (NB-12 Months),"Soft Touch Baby Boys Girls Pom Pom Hat Unisex Cable Knit Twist Hat Mittens Set 0-12 Months H648 (Blue), One Size",5.0238E+12,B09LTKDZZZ
MODERATE_CONFIDENCE,PROFITABLE BUNDLE (2x),0.609583333,2,4,8,50,Set of 4 Red Felt Snowflake Coasters,Christmas Concepts® 8 Piece Red Felt Christmas Snowflake Place Mat And Coaster Set - 4 Place Mats + 4 Coasters,5.01722E+12,B07XZ5BZ1R
