EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,sales_numeric,ean_match_status,title_match_score,priority_score
5012866021988.0,,B0C2433ZJW,Football Trainer Set,YISSVIC Football Training Equipment Speed Agility Ladder Football Kick Trainer Set 6M 12-Rung with 10 Cones and 4 Stakes for Kids Children,https://angelwholesale.co.uk/sale/special-offers-occassions/football-trainer/p1052575.html,https://www.amazon.co.uk/dp/B0C2433ZJW,500.0,,,,5.388,4.49,17.59,2.19875,2.41,0.55,2.931666666666666,1.92975,5.559583333333332,-1.92975,5.009583333333333,99.3964947089947,11.578500000000002,34.17566799317794,500.0,PARTIAL,0.25316455696202533,1080.3260390295359
5050750046143.0,5027434165223.0,B0CS3TFMXQ,Watch Me Grow Hooded Pink Teddy Robe,"OHS Womens Dressing Gowns Teddy Fleece, Warm Cosy Fluffy Dressing Gown Bathrobes Women Hooded Luxury Oversized Ladies Mens Dressing Gown, One Size",https://angelwholesale.co.uk/Item/Watch-Me-Grow-Hooded-Blue-Teddy-Robe-R11061,https://www.amazon.co.uk/dp/B0CS3TFMXQ,700.0,,,2.0,3.12,2.6,16.99,2.12375,2.41,0.55,2.831666666666665,1.5367499999999998,7.024583333333334,-1.5367499999999998,6.474583333333334,205.54232804232805,9.2205,45.72984108299,700.0,PARTIAL,0.23076923076923078,1079.5515064102565
5015302105105.0,631105007108.0,B08B5S51S2,Backpack Changing Bag and Mat,"Dikaslon Changing Bag Backpack, Large Nappy Back Pack Multifunction Baby Bags with Portable Changing Mat, Pacifier Holder, and Stroller Straps, for Mom and Dad",https://angelwholesale.co.uk/Item/Padded-Changing-Mat-78x45x4cm-msc01569,https://www.amazon.co.uk/dp/B08B5S51S2,700.0,Available (see Keepa data),,2.0,9.972,8.31,28.49,4.5,3.77,0.55,4.748333333333331,3.426000000000001,7.161666666666667,-3.426000000000001,6.611666666666667,74.62377727614748,20.556,27.84836784836785,700.0,PARTIAL,0.22340425531914893,1078.9520921985816
5034123100014.0,,B0D7HVJH21,'Exclusive' Don't Panic its only a Baby Mug - Pink - Gift Boxed,"Eletorot Mum Christmas Gifts from Daughter Son Personalised Present Hamper for Birthday, Mothers Day, Pamper Set for Mom, Mummy Gifts, Coffee Cups Mug Presents",https://angelwholesale.co.uk/Item/Exclusive-Dont-Panic-Mug-its-only-a-Baby---Blue-with-Gift-Box-xma02354,https://www.amazon.co.uk/dp/B0D7HVJH21,600.0,Available (see Keepa data),,1.0,0.948,0.79,13.99,2.1,3.13,0.55,2.331666666666667,1.314,5.638333333333334,-1.314,5.088333333333334,379.726368159204,7.883999999999999,43.64546104360258,600.0,PARTIAL,0.23423423423423423,1078.5117567567568
5056721854311.0,,B0B5S4FT5H,Essential Yellow Daffodil Plant,Yellow Narcissus Daffodil Bulbs | Big Buy Value Pack | 40 Bulbs | Bee Friendly | Easy Planting | Perfect Spring Flowers | Eco-Friendly Packaging,https://angelwholesale.co.uk/craft/floristry/silk-flowers/artificial-flowers-other/essential-white-daffodil-plant-/p1064566.html,https://www.amazon.co.uk/dp/B0B5S4FT5H,500.0,,Available (see Keepa data),2.0,2.268,1.89,13.99,2.1,3.14,0.55,2.331666666666667,1.536,4.528333333333333,-1.536,3.9783333333333335,163.04644808743168,9.216,34.12437455325232,500.0,PARTIAL,0.24,1077.9783333333332
5012866630081.0,850016823243.0,B0CBNGXNVT,Fabulous Wash Time Pals Bath Toy (4 Assrtd Designs) (Assorted Designs),Glo Pals Original Water-Activated Light-up Sensory Bath Toy - Party Pal - White. 4 Reusable Light-Up Cubes. Colourful Bath Time Fun. Childrens Light-up Sensory Play. Gift Suitable for Boys & Girls 3+,https://angelwholesale.co.uk/Item/Danny-The-Dolphin-Bath-Toy-toy0111,https://www.amazon.co.uk/dp/B0CBNGXNVT,600.0,Available (see Keepa data),Available (see Keepa data),8.0,4.584,3.82,9.99,1.5,1.52,0.55,1.6649999999999991,1.4779999999999998,1.4850000000000017,-1.4779999999999998,0.9350000000000016,21.395881006865025,8.867999999999999,11.231231231231249,600.0,PARTIAL,0.26765799256505574,1077.7007992565054
5053154296220.0,,B0BGFN7D4K,Reindeer Blanks Christmas Decoration - Personalisable,40 Pieces Wooden Baubles Wooden Christmas Decorations to Paint Decorate Your Own Baubles Natural Wood Slices Wood Chips for DIY Crafts Christmas Tree Decorations Christmas Ornaments Pendants,https://angelwholesale.co.uk/Item/Snowgirl-Blank-Decoration-ideal-for-personalisation-xma03004,https://www.amazon.co.uk/dp/B0BGFN7D4K,600.0,,,,2.148,1.79,6.99,0.87375,2.41,0.55,1.165,1.12475,0.7512499999999998,-1.12475,0.2012499999999997,8.600427350427339,6.7485,3.454935622317591,600.0,PARTIAL,0.2716049382716049,1077.3617438271606
5025192002866.0,5060397392138.0,B072PY36GF,Manhattan Display Basket (17 inch),Woodluv Grey Wicker Rectangular Storage Gift Hamper Basket With Removable Lining - Large,https://angelwholesale.co.uk/Item/Manhattan-Display-Basket-15-inch-msc05109,https://www.amazon.co.uk/dp/B072PY36GF,500.0,,Available (see Keepa data),1.0,4.859999999999999,4.05,14.99,2.25,4.9,0.55,2.498333333333333,2.35,1.291666666666667,-2.35,0.7416666666666669,16.12318840579711,14.1,5.937291527685125,500.0,PARTIAL,0.26229508196721313,1076.971174863388
5015302107697.0,602309891589.0,B09DYF462V,Soother And Holder (Assorted Designs),"6 PcsCase for Baby Dummy Case, Pacifier Case, Pacifier Holder Storage Box, BPA-Free Dummy Container, Soother Pod Holder Box for Travel Home",https://angelwholesale.co.uk/baby/comforters/assorted-soother-travel-case-/p1053497.html,https://www.amazon.co.uk/dp/B09DYF462V,500.0,Available (see Keepa data),,1.0,1.392,1.16,6.28,0.5,2.65,0.55,1.0466666666666669,0.972,0.9233333333333336,-0.972,0.3733333333333335,21.832358674463947,5.831999999999999,7.133757961783443,500.0,PARTIAL,0.26136363636363635,1076.509696969697
5012866017936.0,718819656188.0,B0DBZNM49R,3D Wood Puzzle,"ROKR 3D Puzzle Racing Car Wooden Model Kits for Adults Children, Mechanical Gear Models DIY Gifts for Men Women, Racing Car, LK505",https://angelwholesale.co.uk/toys/puzzles-board-games/wood-3d-puzzle-fire-engine/p1046098.html,https://www.amazon.co.uk/dp/B0DBZNM49R,800.0,Available (see Keepa data),,1.0,2.7,2.25,28.79,4.32,3.14,0.55,4.798333333333332,2.0520000000000005,14.281666666666666,-2.0520000000000005,13.731666666666666,490.4166666666667,12.312,57.2351510941299,800.0,PARTIAL,0.125,1076.2316666666666
