EAN,EAN_OnPage,InList?,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,NEWproit,NEWROi
5.05634E+12,,FALSE,B0B377T7CB,DID Assorted Solid Brass Padlocks 2pc,"KAWAHA 81/40-4P Brass Keyed Padlock (Keyed Alike, Waterproof, Solid Brass Lock) for Sheds, Storage Unit, School, Gym Locker, Fence, Toolbox, Hasp, Storage - 40mm *4",https://www.poundwholesale.co.uk/did-assorted-solid-brass-padlocks-2pc,https://www.amazon.co.uk/dp/B0B377T7CB,,,,,0.948,0.79,26.99,3.37375,2.8,0.55,4.498333333,1.50275,15.52791667,-1.50275,14.97791667,1117.754975,9.0165,55.49431888,15.13591667,1280.534405
5.06339E+12,,FALSE,B0DB1YB5Z2,Squishy & Stretchy Capybara Sensory Toy CDU,"Aiuidun Capybara Plush with 6 Cute Babies Capybara Stuffed Animals,a Bag of Capybara Animal Snack Pillow,Super Soft Capybara Plushie Doll Pillow for Baby Boys Girls Toys(Brown)",https://www.poundwholesale.co.uk/squishy-stretchy-capybara-sensory-toy-cdu,https://www.amazon.co.uk/dp/B0DB1YB5Z2,,Available (see Keepa data),,1,0.924,0.77,28.04,4.21,3.15,0.55,4.673333333,1.736,15.23666667,-1.736,14.68666667,1112.626263,10.416,52.37755587,14.84066667,1272.784448
5.03867E+12,8.70022E+12,FALSE,B0DT9PMDGV,Prima Stainless Steel Lemon Zester,"Lenor Outdoorable Fabric Conditioner 480 Washes (8x60), Spring Awakening - Ultra Concentrated Freshness",https://www.poundwholesale.co.uk/prima-stainless-steel-lemon-zester,https://www.amazon.co.uk/dp/B0DT9PMDGV,,,,2,1.02,0.85,32,4.16,5.57,0.55,5.333333333,2.226,16.08666667,-2.226,15.53666667,1109.761905,13.356,48.55208333,15.70666667,1276.96477
5.03867E+12,8.70022E+12,FALSE,B0DT9PMDGV,Prima Salad Tongs Black/Green,"Lenor Outdoorable Fabric Conditioner 480 Washes (8x60), Spring Awakening - Ultra Concentrated Freshness",https://www.poundwholesale.co.uk/prima-salad-tongs-black-green,https://www.amazon.co.uk/dp/B0DT9PMDGV,,,,2,1.02,0.85,32,4.16,5.57,0.55,5.333333333,2.226,16.08666667,-2.226,15.53666667,1109.761905,13.356,48.55208333,15.70666667,1276.96477
5.03867E+12,8.70022E+12,FALSE,B0DT9PMDGV,Prima Kitchen Scoop Assorted Sizes 3pc,"Lenor Outdoorable Fabric Conditioner 480 Washes (8x60), Spring Awakening - Ultra Concentrated Freshness",https://www.poundwholesale.co.uk/prima-kitchen-scoop-assorted-sizes-3pc,https://www.amazon.co.uk/dp/B0DT9PMDGV,,,,2,1.02,0.85,32,4.16,5.57,0.55,5.333333333,2.226,16.08666667,-2.226,15.53666667,1109.761905,13.356,48.55208333,15.70666667,1276.96477
5.03867E+12,8.70022E+12,FALSE,B0DT9PMDGV,Prima Stainless Steel Kitchen Baller 3cm,"Lenor Outdoorable Fabric Conditioner 480 Washes (8x60), Spring Awakening - Ultra Concentrated Freshness",https://www.poundwholesale.co.uk/prima-stainless-steel-kitchen-baller-3cm,https://www.amazon.co.uk/dp/B0DT9PMDGV,,,,2,1.02,0.85,32,4.16,5.57,0.55,5.333333333,2.226,16.08666667,-2.226,15.53666667,1109.761905,13.356,48.55208333,15.70666667,1276.96477
5.41325E+12,,FALSE,B0D8TD8JXB,5-In-1 Beast Robot Action Figure Assorted,"Demkia Robot Toys for Kids Building Set, 588PCS Rechargeable 4 in 1 APP & Remote Control Robotics Kit Educational Building STEM Toys, Birthday Gifts Build A Robot for Boys Ages 6 7 8-12+",https://www.poundwholesale.co.uk/5-in-1-beast-robot-action-figure-assorted,https://www.amazon.co.uk/dp/B0D8TD8JXB,,Available (see Keepa data),,1,1.236,1.03,32.29,4.84,3.04,0.55,5.381666667,1.892,17.99833333,-1.892,17.44833333,1104.324895,11.352,54.03633736,17.65433333,1284.885978
5.01221E+12,,FALSE,B0FHW4F3W9,Giftmaker Heritage Matt Gift Bag Medium,peiyeety Science Pattern Dress for Women Summer Sleeveless Short Dress,https://www.poundwholesale.co.uk/giftmaker-heritage-matt-gift-bag-medium,https://www.amazon.co.uk/dp/B0FHW4F3W9,,,,,0.588,0.49,21.59,2.69875,2.8,0.55,3.598333333,1.30775,12.00291667,-1.30775,11.45291667,1101.241987,7.8465,53.04732129,11.55091667,1226.21196
5.0153E+12,9.36203E+12,FALSE,B096WNBFPH,Bello Plastic Drinking Jar With Straw 450ml Assorted,Elk and Friends 12oz Glass Kids + Toddler Drinking Cups | The Original Mason Jars with Lids + Sleeves + Straws | Smoothie Cups | Spill Resistant | Dishwasher Safe | 4 Pack,https://www.poundwholesale.co.uk/bello-plastic-drinking-jar-with-straw-450ml-assorted,https://www.amazon.co.uk/dp/B096WNBFPH,,Available (see Keepa data),,1,0.852,0.71,26.99,4.05,3.48,0.55,4.498333333,1.758,14.25166667,-1.758,13.70166667,1087.433862,10.548,50.7657157,13.84366667,1238.252832
5.00017E+12,,FALSE,B0DZT7DM8D,Dino Outbreak Large Dinosaur Models,"Gzsbaby Large Soft Brachiosaurus Dinosaur Toys, 82cm Jumbo Realistic Looking Dinosaur Toys for Kids 3-5, Toddler (Brown)",https://www.poundwholesale.co.uk/dino-outbreak-large-dinosaur-models,https://www.amazon.co.uk/dp/B0DZT7DM8D,,Available (see Keepa data),,1,0.768,0.64,27.06,4.95,3.48,0.55,4.51,1.924,13.48,-1.924,12.93,1086.554622,11.544,47.7827051,13.058,1229.566855
8.9041E+12,,FALSE,B007UQLR9U,Beech Wood Meat Hammer Large,"Capri Tools XZN Triple Square Bit Socket Set S2 Bolt Wrench Bit, Pack of 10",https://www.poundwholesale.co.uk/beech-wood-meat-hammer-large,https://www.amazon.co.uk/dp/B007UQLR9U,,Available (see Keepa data),Available (see Keepa data),3,1.104,0.92,28.99,3.77,3.05,0.55,4.831666667,1.658,16.41833333,-1.658,15.86833333,1079.478458,9.948,54.73726572,16.05233333,1248.237429
5.50554E+13,,FALSE,B0CPPJRGJ6,Dekton 100 Piece 4.8mm X 250mm White Cable Ties,"UoYeet Football Display Case with Ball Holder, Clear Display Box for Full Size Football Soccer Volleyballs, Sports Memorabilia Showcase",https://www.poundwholesale.co.uk/dekton-100-piece-4-8mm-x-250mm-white-cable-ties,https://www.amazon.co.uk/dp/B0CPPJRGJ6,,Available (see Keepa data),,1,1.488,1.24,35.99,5.4,3.48,0.55,5.998333333,2.134,19.87166667,-2.134,19.32166667,1079.422719,12.804,53.68620913,19.56966667,1269.109382
