EAN,EAN_OnPage,InList?,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5055441430287,,TRUE,B0B88V3JFN,"Dekton 4"" 10 Piece Scraper Blade",CCA Flooring and Wall Scraper 18 inch with 10 Sheffield Steel Spare scrapers,https://www.poundwholesale.co.uk/dekton-4-10-piece-scraper-blade,https://www.amazon.co.uk/dp/B0B88V3JFN,,,,,1.14,0.95,16.99,2.5485,2.8,0.55,2.831666667,0.19,7.859833333,2.641666667,4.668166667,311.2111111,7.0385,27.47596625
5056170350259,,TRUE,B0DH4WBPD4,Rowan Gold Metallic Insect Metal Wall Decoration,"Kiprim Pinless Damp Meter Moisture Meter for Wood, Walls, Masonry – Accurate Non-Destructive Testing with Audible and Visual Alarm,4 Modes, Data Hold, and Mute Function",https://www.poundwholesale.co.uk/rowan-gold-metallic-insect-metal-wall-decoration,https://www.amazon.co.uk/dp/B0DH4WBPD4,,Available (see Keepa data),,4,1.752,1.46,19.99,2.6,2.94,0.55,3.331666667,0.292,9.658333333,3.039666667,6.068666667,301.9237148,7.842,30.35851259
5053249225302,,TRUE,B0BNBNXFGV,Chiltern Wove 100 Sheet Perforated & Numbered Bingo Pad,jojofuny 60Pcs Bingo Game Cards Set with Unique Numbers for Family Fun and Intellectual Development - Perfect for Parties and Kids,https://www.poundwholesale.co.uk/bingo-pad,https://www.amazon.co.uk/dp/B0BNBNXFGV,,,,,0.972,0.81,15.19,2.2785,2.8,0.55,2.531666667,0.162,6.769833333,2.369666667,3.850166667,283.1004902,6.6005,25.34671933
5.01213E+12,,FALSE,B0F66NZ2C3,Kids Create Assorted Colour Washable Markers 8 Pack,"YAWAHOME 80 Colors Alcohol Markers Set, Dual Tip Art Pens, Alcohol-Based Marker for Kids & Adult Coloring, Drawing, Sketching, Vibrant No Bleeding Marker for Artists, Illustration Gifts",https://www.poundwholesale.co.uk/kids-create-assorted-colour-washable-markers-8-pack,https://www.amazon.co.uk/dp/B0F66NZ2C3,50,,,,0.816,0.68,9.99,1.4985,2.8,0.55,1.665,0.136,3.3465,1.529,1.2675,103.0487805,5.6645,12.68768769
8.99328E+12,,FALSE,B0CST2P36F,Charta A4 75GSM Everyday Copier Paper 500 Sheets,"Total Multi-Purpose Copy & A4 Printer Paper | Versatile White Sheets for Printer, Copier & More | Eco-Friendly & Ideal for Fax, Inkjet & Laser | Home, School, Office | 5 Reams of A4 75 GSM, 2500 Count",https://www.poundwholesale.co.uk/charta-a4-75gsm-everyday-copier-paper-500-sheets,https://www.amazon.co.uk/dp/B0CST2P36F,,,,,5.34,4.45,22.99,3.4485,2.8,0.55,3.831666667,0.89,8.459833333,2.941666667,4.968166667,99.36333333,12.1385,21.61012034
5055566999041,,TRUE,B0DS8QXBDB,Ceramic Wax & Oil Burner,"Essential Oil Burner by Dukhni | Wrought Iron Aroma Oil Burner Set – Includes Brass Bowl, Wooden Coaster & Tea Light Candle | For Diffuser Oils, Stress Relief, Meditation & Home Fragrance",https://www.poundwholesale.co.uk/ceramic-wax-oil-burner,https://www.amazon.co.uk/dp/B0DS8QXBDB,,,,,0.756,0.63,12.99,1.9485,2.8,0.55,2.165,0.126,5.4465,2.039,2.8575,242.1610169,6.0545,21.99769053
5.05258E+12,5.06078E+12,FALSE,B0CJRS5Z7T,Bettina Steel Wool Ultra Fine Rolls 16 Pack,"0000 FineSteel Wool 1 Rolls 10.82f (3.3 Meter)- Ultra-Fine 0000 Steel Wool for Cleaning, Polishing & Surface Preparation",https://www.poundwholesale.co.uk/25pc-steel-wool,https://www.amazon.co.uk/dp/B0CJRS5Z7T,50,Available (see Keepa data),,1,0.78,0.65,8.99,1.08,2.67,0.55,1.498333333,0.13,3.091666667,1.368333333,1.173333333,97.77777778,5.08,13.05153875
5060195622291,,TRUE,B0DDCRDP8F,Barrats Sweets Money Tin,"Dusted Milk Bottles Sweets 500g Bag, Pouch",https://www.poundwholesale.co.uk/barrats-sweets-money-tin,https://www.amazon.co.uk/dp/B0DDCRDP8F,,,Available (see Keepa data),1,1.02,0.85,13.99,2.0985,2.8,0.55,2.331666667,0.17,5.909833333,2.161666667,3.198166667,228.4404762,6.4685,22.86037646
5.05252E+12,5.06105E+12,FALSE,B0DHV44NX3,Smart Choice Christmas Sparkly Festive Rubber Dog Ball 9cm Assorted Colours,"SPORTSPET High Bounce Dog Balls Snowman Stack Edition, Rubber Dog Ball, Dog, Fun Fetch Toy for Dogs, Durable Dog Ball for Play, for Dogs, Pack of 3 (60mm)",https://www.poundwholesale.co.uk/smart-choice-christmas-sparkly-festive-rubber-dog-ball-9cm-assorted-colours,https://www.amazon.co.uk/dp/B0DHV44NX3,,Available (see Keepa data),Available (see Keepa data),3,1.536,1.28,11.99,1.8,2.94,0.55,1.998333333,0.256,3.971666667,1.742333333,1.679333333,91.76684882,6.826,14.00611621
5.05617E+12,7.11414E+11,FALSE,B07TZHZB21,Bloc Steel Ruler 60cm,Heavy Duty Stainless Steel Ruler Set 12 Inch (30 CM) + 6 Inch (15 CM) Metal Rulers Kit - Perfect Straight Edge For Easy Measurements,https://www.poundwholesale.co.uk/bloc-steel-ruler-60cm,https://www.amazon.co.uk/dp/B07TZHZB21,,Available (see Keepa data),,1,0.72,0.6,6.99,0.91,1.73,0.55,1.165,0.12,2.585,1.045,0.99,86.08695652,3.91,14.16309013
