tier,TIER_1_VERIFIED,TIER_3_NEEDS_REVIEW,TIER_4_REJECTED
TIER_1_VERIFIED,234,1568,0
TIER_2_LIKELY,0,177,0
TIER_3_NEEDS_REVIEW,0,300,0
TIER_4_REJECTED,0,4499,405
