tier,TIER_1_VERIFIED,TIER_2_LIKELY,TIER_3_NEEDS_REVIEW,TIER_4_REJECTED
TIER_1_VERIFIED,245,5,1,0
TIER_2_LIKELY,761,7,0,0
TIER_3_NEEDS_REVIEW,0,16,43,36
TIER_4_REJECTED,0,97,347,1647
