tier,TIER_1_VERIFIED,TIER_2_LIKELY,TIER_3_NEEDS_REVIEW,TIER_4_REJECTED
TIER_1_VERIFIED,1766,33,3,0
TIER_2_LIKELY,1,97,75,4
TIER_3_NEEDS_REVIEW,0,40,151,109
TIER_4_REJECTED,0,30,208,4666
