tier,TIER_1_VERIFIED,TIER_2_LIKELY,TIER_3_NEEDS_REVIEW,TIER_4_REJECTED
TIER_1_VERIFIED,251,0,0,0
TIER_2_LIKELY,768,0,0,0
TIER_3_NEEDS_REVIEW,0,87,8,0
TIER_4_REJECTED,0,508,1296,287
