tier,TIER_1_VERIFIED,TIER_2_LIKELY,TIER_3_NEEDS_REVIEW,TIER_4_REJECTED
TIER_1_VERIFIED,1798,4,0,0
TIER_2_LIKELY,1,176,0,0
TIER_3_NEEDS_REVIEW,0,274,26,0
TIER_4_REJECTED,0,340,3957,607
