ASIN,EAN,EAN_OnPage,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,SupplierTitle
B004QC5UGC,5032759036233,5032759036233.0,-0.804999999999999,-12.141779788838598,,,AMTECH AXE HEAD 12 IN 1 MULTI FUNC
B004RAP20C,5032759006212,5032759006212.0,-0.9333333333333328,-30.204962243797183,,,AMTECH PRUNER HEAVY DUTY
B004TRJXWQ,5032759002184,5032759002184.0,-1.9216666666666644,-23.60769860769858,,,AMTECH PLASTERERS ALUMINIUM HAWK
B004TRQJVO,5032759025183,5032759025183.0,-0.9099999999999993,-44.60784313725487,,,AMTECH SPRING CLAMP SET 3PCE
B004TRQPG8,5032759032785,5032759032785.0,-1.5916666666666663,-81.20748299319726,,,AMTECH BUNGEES CORDS 10PC
B004TRR44A,5032759012725,5032759012725.0,-1.1683333333333306,-11.2991618310767,,,AMTECH AUGER BIT LARGE 5PC SET
B004TRSAGG,5032759022106,5032759022106.0,-0.6483333333333319,-10.914702581369225,,,AMTECH PADLOCK PVC INSULATED 65MM
B004TRSM1Y,5032759015542,5032759015542.0,-0.2066666666666667,-10.180623973727426,,,AMTECH PAD BOLT 6 INCH WITH SCREWS
B004TRSSJA,5032759033317,5032759033317.0,-1.4566666666666666,-53.950617283950606,,,AMTECH NON SLIP BITS 70M  10PCE
B004VFN4V2,5038673681559,5038673681559.0,-0.5416666666666661,-36.11111111111107,,,MARKSMAN NYLON CABLE TIES
B0051MQ2CC,5032759033102,5032759033102.0,-1.44,-76.19047619047619,,,AMTECH BUNGEE CORD+CLIPS 24INC
B0052DWOGS,5032759016532,5032759016532.0,0.0100000000000008,0.2801120448179522,,,AMTECH HACKSAW& MITRE BLOCK 6INCH
B00530Y8N2,26102185537,26102185537.0,-0.0116666666666662,-0.518518518518501,,,STACKING ASHTRAY GLASS CLEAR
B0057ED5NI,5032759014781,5032759014781.0,-0.8633333333333333,-47.17668488160291,,,AMTECH COUNTERSINK BIT 3PC SET
B0057EKE4G,5038673550138,5038673550138.0,-2.93,-195.3333333333333,,,MARKSMAN SPIRIT LEVEL 9 INCH
B0058CRUK8,5032759021413,5032759021413.0,-0.8416666666666668,-38.43226788432269,100.0,100.0,AMTECH BRADAWL/GIMLET SET
B005DL3BQG,5032759021666,5032759021666.0,-0.655,-16.582278481012658,,,AMTECH PADLOCK TOP SECURITY 50MM
B005EXI0C8,5017403012849,5017403012849.0,0.7250000000000003,52.15827338129498,,,BLACKSPUR WIRE BRUSH W/HANDLE
B005FLMEHG,5050375059436,5050375059436.0,-0.7649999999999999,-45.80838323353292,,,151 DECORATORS TOOLS PAINTBRUSHES PURE BRISTLE PACK OF 5
B005LBDFVE,5050375086487,5050375086487.0,-1.5879166666666669,-47.40049751243782,,,151 MULTI PURPOSE WHITE SILICONE SEALANT
B005LBDJE2,5050375086456,5050375086456.0,-2.155,-64.32835820895524,,,151 MULTI PURPOSE SILICONE SEALANT CLEAR
B005LBI730,5032759022199,5032759022199.0,-1.6816666666666669,-60.92995169082127,,,AMTECH WALLBOARD SAW 6 INCH 0860
B005XWUA32,5050375110847,5050375110847.0,-2.4366666666666665,-162.44444444444443,,,COTTON TREE EXFOLIATING BATH GLOVE ASSORTED COLOURS
