ASIN,EAN,SupplierTitle,AmazonTitle,NetProfit,ROI,ProfitMargin,bought_in_past_month,amazon_sales_badge,SupplierPrice_incVAT,SellingPrice_incVAT,fba_seller_count,total_offer_count
B0DJDH23JW,5060357990091,SUPERIOR FOIL 10 CONTAINERS & LID 2 LTR,"Superior 10-Pack Aluminium Foil Trays with Paper Lids, Heavy Duty Aluminium Takeaway Containers, Freezer & Oven Safe Tin Foil Trays For Baking, Cooking, Broiling, Storage Containers, 9 x 9 inch",2.658333333333334,86.59066232356136,24.5952197378566,700.0,700.0,3.024,12.97,Available (see Keepa data),1.0
B0DJJWQGF5,50304811943149,PPS PLASTIC 2 TABLECLOTHS SILVER,"2P Silver Party Plastic Table Cloth,137x274cm Shiny Glitter Silvers Tablecloths Rectangular Diamond SilversParty Dining Table Cover Silver Tablecloths for Baby Shower,Wedding,Birthday Tablecloth Décor",0.9270833333333336,73.57804232804236,17.141756548536215,200.0,200.0,0.852,6.49,,
B0DJXDDVLX,5055319529754,SAAO MOUNTING TAPE FOAM 3PC,"Double Sided Foam Tape – Heavy Duty Waterproof Mounting Tape 20mm X 3m - Strong Adhesive Foam Strips for Indoor & Outdoor Use, Ideal for Car, Wall, Home & Office Decor",0.8283333333333334,59.592326139088726,18.790170132325144,100.0,100.0,1.008,5.29,Available (see Keepa data),1.0
B0DL5RW6LV,5050565576903,PAPER MOROCCAN DESIGN 8 BOWLS 7.5 INCH,50 Pack Strong Paper Bowls – 240ml Small Disposable Compostable Bagasse Bowl for Party – (4.5 x 1.77 inches) Biodegradable Microwavable Soup Bowls - Dessert Milk Salad Cereals Christmas,0.4483333333333341,34.75452196382435,8.28967642526966,900.0,900.0,0.888,6.49,Available (see Keepa data),1.0
B0DLSRJ5VJ,5055257830868,GLAMORIZE FRENCH NAILS SET,Press on Nails - 240 Pcs Coffin French False Nails Set - Fake Nail Nude Color French False Nail Kit - 15 Size Full Cover Stick On Nail - Acrylic Tips And Glue for Manicure,4.101666666666668,295.08393285371704,51.32429614181439,50.0,50.0,1.008,9.59,Available (see Keepa data),1.0
B0DM5WZT1H,5056175972814,BUTTERCUP GIRLS ALICE BANDS FABRIC ASSORTED PACK OF 5,"Cordless Tyre Inflator Air Compressor for Dewalt 18V Battery,150PSI Handheld Tire Pump with Digital Pressure Gauge and LED Light for Cars Motorcycles Bicycles Balls (Tool only,no Battery)",17.206666666666667,1237.8896882494005,65.38315389487018,50.0,50.0,1.008,31.58,Available (see Keepa data),1.0
B0DMJSKVHK,5012145009423,CAROLINE PLASTIC 10 OZ 4 TUBS & LID 1433,"LATERN 20Pcs Small Food Containers, 4oz /120ml Reusable Plastic Deli Bowls Stackable Food Storage Jars with Leakproof Lids, Dishwasher & Microwave & Freezer Safe (White)",1.6816666666666673,126.44110275689226,22.44716351501669,100.0,100.0,0.936,8.99,Available (see Keepa data),1.0
B0DMKBKNFT,5017403134336,ASHLEY SELF ADHESIVE KEY HOLDER,"pickpiff White Key Holder for Wall Adhesive, Key Hooks with 8 Hooks Wall Mounted, Black Key Hangers for Wall Decor No Drill for Living Room, Kitchen, Office",1.7950000000000002,129.136690647482,30.815450643776828,200.0,200.0,1.008,6.99,Available (see Keepa data),1.0
B0DMNDCNNJ,5032759006977,AMTECH WOODEN BEVEL 9INCH,"JOREST 59Pcs Small Precision Screwdriver Set with Torx T5, T6, T8, Mini Repair Tool Kit for MacBook, Computer, Laptop, iPhone, PS4 PS5, Xbox, Switch, Eyeglasses, Watch, PC, Ring Doorbell, Electronic",4.121666666666668,96.75273865414714,32.995330220146776,500.0,500.0,4.452,14.99,Available (see Keepa data),1.0
B0DP7HH5JW,5056239450050,RYSONS AIR FRESHENER REFILL MAGNOLIA & CHERRY BLOSSOM,"Air Wick Cherry Blossom & Raspberry Liquid Electrical Triple Refill 19ml, Lasts for up to 100 days per refill, Air Freshener",1.16,77.33333333333334,19.333333333333336,6000.0,,1.14,7.2,,2.0
B0DP8F1DMS,5060298505484,MASON PALM SANDER PADS 6 PIECES,"60 Pcs Mouse Sanding Pads, Multi Tool Sanding Pads for Mouse Sander Pads, Hook and Loop Sanding Sheets, Assorted 60/120/180/240/320/400 Grits Palm Sander Pads, 6 Holes Mouse Sander Detail Sandpaper",0.7366666666666675,52.99760191846528,16.131386861313885,100.0,100.0,1.008,5.48,Available (see Keepa data),1.0
B0DPNM9J3L,50304811950246,PPS PLASTIC CUTLERY HEAVY DUTY 50 SPOONS BLACK,"150 Pcs Heavy Duty Black Plastic Cutlery Set 3 Sets of 50 Knives, Forks, Spoons Modern, Reusable, Lightweight Perfect for Parties, Outdoor, Picnic, Birthday, Camping",3.0616666666666674,233.71501272264635,34.05004633920297,50.0,50.0,0.912,10.79,Available (see Keepa data),2.0
B0DRCXHL11,5017403133629,BLACKSPUR MINI TURBO CUTTER,"LEGO NINJAGO Rogue's Mech Dragon Rider - Ninja Toy with Posable Dragon & Mech Figures - 4 Minifigures, incl. Lloyd & Arin plus a Reveal Sword - Gift for 8+ Year Old Boys & Dragons Rising Fans - 71843",27.801666666666662,1607.0327552986512,69.51864971869139,200.0,200.0,1.416,47.99,,23.0
B0DRK9LQLW,5050565855060,TRAVEL MAKEUP BRUSH SET W/POUCH 18PC,10 Pcs Mini Travel Makeup Brush Set With Pouch Pink Portable Travel Size Makeup Brushes Professional Cosmetic Brush Travel Essentials kits for Women Girls Foundation Brush Blush Powder Eye Shadow,0.3216666666666667,18.173258003766485,6.444073455759601,50.0,50.0,1.464,5.99,Available (see Keepa data),1.0
