ASIN,EAN,EAN_OnPage,SupplierTitle,AmazonTitle,NetProfit,ROI,ProfitMargin,bought_in_past_month,amazon_sales_badge,SupplierPrice_incVAT,SellingPrice_incVAT,fba_seller_count,total_offer_count
B0BXPK4JGB,5024418544906,616519720713.0,SIL HAIR CUTTING SPRAYER 500ML,"SenZee Spray Bottles for Hair 500ml, Misting Water Spray Bottle for Hair Cleaning Hairdresser Refillable Clear Empty Trigger Sprayer 2 Pack",0.4433333333333339,31.894484412470064,8.896321070234125,100.0,100.0,1.008,5.98,Available (see Keepa data),1.0
B0C1W5WZ3Z,5053249265155,7864869736592.0,PAN AROMA COLOUR TEALIGHTS VANILLA BEAN PACK OF 12,"KARAN KING® 8 Hour UNSCENTED Long Burning TEALIGHT Candles - Long Lasting - Cotton Wicks - Versatile (Weddings, Birthdays, Parties, Restaurants, Massage Parlors, Spa) (Pack of 100)",0.5387499999999996,37.15517241379308,6.282798833819238,200.0,200.0,1.08,10.29,,1.0
B0C661BXV8,5014749181819,793127276747.0,BEAUTY MESH BACK BRUSH,"Back Scrubber Brush, Body Shower Brush Back Scrubber with Long Handle, Exfoliating Shower Brush, Wet or Dry Bath Brush for Men Women",1.708333333333334,106.10766045548658,25.65707133917397,600.0,600.0,1.272,7.99,Available (see Keepa data),2.0
B0C6FM1WF8,5053249256009,5060896790749.0,PAN AROMA GEL AIR FRESHENER BERGAMOT & MANDARIN,"Reed Diffuser for Home with Sticks, Aromatherapy Essential Oils, Natural Ingredients, Long Lasting Fragrance, Made in the UK (Lavender) - Valentte",4.496666666666665,310.1149425287355,41.19083969465648,200.0,200.0,1.08,13.1,,1.0
B0C8TKT76M,5038673580111,6975500466905.0,MARKSMAN DRILL SET MASONRY 5PC,"toolant Concrete Drill Bit Set & Masonry Drill Bit Set, Shockproof Hammer Drill Bit Set (5pcs) for Concrete/Glass/Brick/Plastic/Cement/Tile, Industrial Strength Carbide Drill Bit Tip, 4-10mm Box of 5",2.841666666666667,159.64419475655433,37.93103448275862,1000.0,,1.476,8.99,Available (see Keepa data),2.0
B0CDFWTDSC,6931045618469,715748403883.0,JL TOILETRIES BAG ASS COLOUR,"4 Pcs Clear Travel Toiletries Bag for Women, Travel Toiletry Bags Clear Wash Bag for Toiletries, PVC Waterproof Makeup Bag for Women and Girls (Pink)",1.4783333333333333,106.35491606714626,20.651920838183933,500.0,500.0,1.008,8.59,Available (see Keepa data),2.0
B0CFW28JMN,5050565493163,5702017584430.0,GLAMOUR STUDIO COLOUR FALSE NAILS,"LEGO Star Wars Boarding the Tantive IV - Interactive Building Toy with Door Blast Function, plus 7 Minifigures incl. Darth Vader and ARC Trooper Fives - Gift for 8+ Year Old Boys & Fans 75387",26.766666666666666,1925.6594724220624,69.85645933014355,100.0,100.0,1.008,45.98,Available (see Keepa data),19.0
B0CG8Z2ZTL,5022822193208,749166860034.0,STATUS LED ROUND SES PA PEARL W/WHT 1PK BOX,"100Pcs CD DVD Sleeves, Standard Plastic Double-Sided Clear CD Sleeve case with Drop-Proof Closure, for CD and DVD Storage Binders Disc Storage",2.7250000000000005,187.93103448275863,32.732732732732735,50.0,50.0,1.08,9.99,Available (see Keepa data),2.0
B0CH85YRTN,5017403153788,8436560669753.0,ASHLEY TOILET ROLL HOLDER,"Ibergrif MK34052 Chrome Toilet Roll Holder Wall Mounted, Self Adhesive Toilet Paper Holder for Bathroom & Kitchen, Waterproof, No Drilling",0.211666666666667,15.22781774580338,4.240400667779639,3000.0,,1.008,5.99,,3.0
B0CHN8BF3D,5030481970566,5061005911161.0,PPS DRINK CUPS RIPPLE WITH LIDS 120Z 5PC,CHEF ROYALE 100 x 12oz Disposable Coffee Cups with Lids - Takeaway Paper Cups for Hot & Cold Drinks - Kraft Triple Walled Disposable Paper Cups - Takeaway Cups,5.851666666666666,500.1424501424501,39.03279599777654,1000.0,,0.744,17.99,,9.0
