EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,amazon_sales_badge,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5022822209329,5063848059215,B0GMR3NQK8,STATUS DIMMABLE LED GLS ES PEARL W/W 13W 100W,Interlock Microswitch Compatible for Lamona 2-Tag 'New' Type Multi-Model Fitting Dishwasher Door. OPN: 1731980300,https://www.efghousewares.co.uk/status-dimmable-led-gls-es-pearl-w-w-13w-100w-92299,https://www.amazon.co.uk/dp/B0GMR3NQK8,,,,Available (see Keepa data),1.0,5.244,4.37,7.0,0.8750000000000001,2.41,0.55,1.166666666666666,1.6409999999999996,-1.8216666666666663,-1.6409999999999996,-2.371666666666666,-48.20460704607045,9.846,-40.657142857142844
5032759038664,5032759038664,B008BQZGG8,AMTECH PADLOCK RHOMBIC IRON 60MM,Amtech T0706 60mm Rhombic Chrome Plated Iron Padlock,https://www.efghousewares.co.uk/amtech-padlock-rhombic-iron-60mm,https://www.amazon.co.uk/dp/B008BQZGG8,,,,Available (see Keepa data),4.0,3.828,3.19,6.18,0.8,2.42,0.55,1.0299999999999994,1.392,-1.2599999999999993,-1.392,-1.8099999999999994,-48.39572192513367,8.352,-35.145631067961155
5032759014200,5032759014200,B008PQ9WJ6,AMTECH DRILL FLAT WOOD 6PC SET,Amtech F1425 6 Piece titanium flat wood bit set,https://www.efghousewares.co.uk/amtech-drill-flat-wood-6pc-set,https://www.amazon.co.uk/dp/B008PQ9WJ6,,,,Available (see Keepa data),9.0,3.96,3.3,4.9,0.64,1.46,0.55,0.8166666666666664,1.1900000000000004,-1.316666666666666,-1.1900000000000004,-1.866666666666666,-48.48484848484848,7.14,-45.714285714285694
5032759042241,,B0B4H4YPY7,AMTECH CUTTING PLIER 7 INCH,"2Pcs Pressure Relief Device for Triton, with Disc Seals Cover Valve, Shower Spares Parts Compatible with Triton Electric Showers (Replace of 82800450)",https://www.efghousewares.co.uk/amtech-cutting-plier-7-inch,https://www.amazon.co.uk/dp/B0B4H4YPY7,600.0,600.0,Available (see Keepa data),,1.0,4.284,3.57,5.09,0.66,1.46,0.55,0.8483333333333327,1.248,-1.4483333333333328,-1.248,-1.9983333333333329,-48.50323624595468,7.487999999999999,-47.11198428290764
5055319553896,5055319553896,B0792B5GRH,PAINT FACTORY NEON YELLOW 200ML,"Paint Factory Fluorescent Neon Yellow, 200 ml",https://www.efghousewares.co.uk/paint-factory-neon-yellow-200ml-111410,https://www.amazon.co.uk/dp/B0792B5GRH,,,,Available (see Keepa data),12.0,1.14,0.95,4.98,0.63,2.75,0.55,0.8300000000000001,0.976,-0.1799999999999995,-0.976,-0.7299999999999995,-48.666666666666636,5.856,-17.59036144578312
5032759021567,5032759021567,B0070WYQPG,AMTECH PADLOCK DISC 60MM,"Amtech W4150 60mm Disc Padlock, Heavy Duty and Corrosion Resistant Stainless Steel Construction with 2 Keys",https://www.efghousewares.co.uk/amtech-padlock-disc-60mm,https://www.amazon.co.uk/dp/B0070WYQPG,,,,,5.0,3.564,2.97,5.99,0.78,2.42,0.55,0.9983333333333331,1.3439999999999999,-1.1783333333333332,-1.3439999999999999,-1.7283333333333333,-49.10037878787878,8.064,-34.62437395659432
5032759019663,5032759019663,B007XOO5J8,AMTECH BUILDERS LINE 150M,Amtech G4020 150m (300ft) builder's line,https://www.efghousewares.co.uk/amtech-builders-line-150m,https://www.amazon.co.uk/dp/B007XOO5J8,,,Available (see Keepa data),Available (see Keepa data),8.0,4.512,3.76,6.92,0.9,2.7,0.55,1.1533333333333333,1.5819999999999999,-1.5933333333333337,-1.5819999999999999,-2.1433333333333335,-49.7293116782676,9.491999999999999,-37.16763005780347
5033298006596,5015462106363,B00FGOSQY2,ESSENTIAL CAKE DRUM SQUARE 12 INCH PK5,"Culpitt 12"" Square Silver Cake Drum Board - Pack of 5 (Individually Wrapped)",https://www.efghousewares.co.uk/essential-cake-drum-square-12-inch-pk5,https://www.amazon.co.uk/dp/B00FGOSQY2,100.0,100.0,Available (see Keepa data),,4.0,11.292,9.41,12.44,1.8,3.58,0.55,2.0733333333333324,3.0679999999999996,-4.423333333333334,-3.0679999999999996,-4.973333333333334,-49.9330655957162,18.408,-47.97427652733119
5053249281391,5053249226576,B07CZHPQRY,151 MULTI PURPOSE LUBRICANT 300ML,"2X Super Multipurpose Oil - 200ml, 20ml x 10, Bike Chain, Multipurpose, 0.26kg",https://www.efghousewares.co.uk/151-multi-purpose-lubricant-300ml-121931,https://www.amazon.co.uk/dp/B07CZHPQRY,100.0,100.0,,Available (see Keepa data),10.0,1.9440000000000002,1.62,5.46,0.82,2.65,0.55,0.9100000000000001,1.1280000000000001,-0.54,-1.1280000000000001,-1.09,-50.23041474654379,6.768,-23.95604395604396
5032759036493,5032759036493,B00974Z3DE,AMTECH STAPLES 6MM 1000PCS,Amtech B3771 1000 6mm Staples,https://www.efghousewares.co.uk/amtech-staples-6mm-1000pcs,https://www.amazon.co.uk/dp/B00974Z3DE,,,Available (see Keepa data),Available (see Keepa data),9.0,1.38,1.15,3.35,0.43,1.52,0.55,0.5583333333333331,0.73,-0.3083333333333331,-0.73,-0.8583333333333332,-50.49019607843136,4.379999999999999,-30.746268656716406
