RowID,Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason,IsUnrelated
12,UNRELATED,15,TONKITA TOILET BRUSH & HOLDER,"Nespresso Citiz Coffee Machine by De'Longhi for Original Coffee Pods, Italian Inspired Espresso, Quality Coffee, Starter Capsule Set Included, EN167.B, Black",8003653005004,nan,B01KWWYF6A,2.112,139.0,93.7383333333333,0,900,1:1,93.74,,Insufficient Evidence,True
13,UNRELATED,15,ADORN PLACEMAT GOLD EMBOSSED 37CM ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,6923456819818,nan,B0DK877SSC,0.804,69.99,45.9462499999999,0,100,1:1,45.95,,Insufficient Evidence,True
14,UNRELATED,15,FESTIVE MAGIC BELLS 8PC ASSORTED,"Hazel Quinn x Eduardo Recife 2-Slice Toaster, 6 Browning Levels, Defrost/Reheat/Cancel Functions, Removable Crumb Tray for Easy Cleaning, 1.5-Inch Extra-Wide Slots, Retro Style Collaboration",4894158018552,nan,B0DNSWBYMZ,0.672,69.99,41.565,0,50,1:1,41.56,,Insufficient Evidence,True
15,UNRELATED,15,EASY STORAGE VACUUM BAG 70X100CM,John Deere Ride-on Tractor with Loader and Detachable Trailer,5414886287533,nan,B0002HZPUG,1.476,114.99,65.675,0,100,1:1,65.67,,Insufficient Evidence,True
16,UNRELATED,15,CEMENT FLOWER POT WITH SUCCULENT CIRCLE 3 ASSORTED,"Sewing Machine for Beginners â€“ Portable Electric with 12 Built-In Stitch Patterns, 6 Presser Feet, Foot Pedal, 2-Speed Control, Fast Sewing for Clothes, Fabrics, DIY & Home Use",5050565743725,nan,B0FGCSDMBW,0.804,74.99,44.6016666666666,0,100,1:1,44.6,,Insufficient Evidence,True
17,UNRELATED,15,CHEF AID MINI SPOUT BRUSH,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",5012904000425,659381335623,B0FLXV5TG6,1.032,81.98,51.4166666666666,0,50,1:1,51.42,,Low Text Similarity,True
18,UNRELATED,15,PROKLEEN SPUNLACE FLOOR MOP & HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055706641151,717710483480,B0FGHZB8FM,2.088,129.0,82.42,0,50,1:1,82.42,,Insufficient Evidence,True
19,UNRELATED,15,DEKTON RIGHT ANGLE BRACKETS 8PCS,"LEGO 10327 Icons Dune Atreides Royal Ornithopter, Model Kit for Adults to Build, Movie-Themed Aviation Gifts for Men, Women, Him, Her, Vehicle Set with 8 Minifigures Inc. Chani & Baron Harkonnen",5055441451442,5702017583471,B01N1O0F2K,1.68,112.5,69.53,0,100,1:1,69.53,,Insufficient Evidence,True
20,UNRELATED,15,TALA STAINLESS STEEL TOWEL HOLDER,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",5012904018475,nan,B0FLXV5TG6,1.164,81.98,54.1391666666666,0,50,1:1,54.14,,Insufficient Evidence,True
21,UNRELATED,15,PLUNGER BUFFALO MINI PLUNGER,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055297302240,717710483480,B0FGHZB8FM,2.196,129.0,82.33,0,50,1:1,82.33,,Low Text Similarity,True
