RowID,EAN,EAN_OnPage,SupplierTitle,AmazonTitle,NetProfit,bought_in_past_month
2409,5056295707938,,CASA & CASA WIRE COATED DISH RACK LARGE ALMOND,simplywire - Dish Drainer - Anti Rust Drying Rack â€“ Cutlery Basket - White Plastic Coated Steel,1.77291666666666,50
2225,5038673180243,,PRIMA STAINLESS STEEL FOOD TONG 9INCH,"9 Inch Stainless Steel Food Serving Tongs Buffet Tongs Cooking Tong for Cooking, Salad, Meat, BBQ, Frying, Serving ï¼ˆ3pcsï¼‰",0.442916666666666,100
1318,5063436122420,,CHRISTMAS WINE BOTTLE HOLDER ASSORTED,"KAV 12 Pcs Pack Assorted Wine Bottle Holographic Bags with Rope Holder for Christmas Gifts, Xmas Wrap, Wedding, Anniversary and Birthday Presents",2.57791666666666,100
867,5050796012744,5060659231229.0,BRIGHT & HOMELY FOIL ROASTING TRAY SQUARE 205MM X 205MM X 48MM 3 PIECES,"Caterserve 10 Aluminium Foil Trays with Lids - Large Tin Foil Containers with Paper Lids for Roasting, Baking, Broiling, Cooking, Food Storage and Freezing | 9 x 9 inch Square",2.50833333333333,400
1981,5015302428259,5065013103204.0,GLASS ASHTRAY 10.5CM,"Set of 2 Round Glass Ashtrays for Inside or Outside | 2 x 10.5 cm Ash Trays Indoors | Ash trays Outdoors for Home, Garden, Bar or Pub",0.735,400
922,5060577579977,,EXTRASTAR LED FLASHLIGHT TORCH,"EXTRASTAR Head Torch Rechargeable, Headlight with 3 Lights 4 Modes, LED Head Torch Headlamp for Camping, Fishing, Hiking, Jogging, Running, Cycling",4.50125,100
2442,6901750163653,,TRICIRCLE PADLOCK SOLID IRON 50MM,Yale - Y112/50/165/1 Iron Disc Padlock 50mm - Nickel Plated - Hardened Steel Long Shackle - Extreme Corrosion Resistance for Outdoor use,0.519583333333333,200
1059,5055257883222,,EVERLIGHTS ELECTRONIC BENDY BBQ LIGHTER,"Flexible Refillable Candle Lighter â€“ Long Bendy Nozzle Butane Gas Lighter for Candles, BBQ, Grill, Fireplace & Kitchen â€“ Adjustable Windproof Flame, Safety Lock, Ergonomic Handle, Reusable (GREY)",2.33166666666666,50
1102,8414926576341,3253928125011.0,RATTAN BASKET 5L 28X17CM ASSORTED,"Curver My Style Rattan Effect Set of 2 Kitchen, Living room, Bathroom, Bedroom, Utility X-Large Rectangular Storage Baskets 28 Litres - Off White",4.08,50
821,5061031651604,5061016731420.0,FLORAL FABRIC REFRESHER 500ML MAGNOLIA,"2 x 10 Litres AdBlue with Pour Spout | Premium Diesel Exhaust Fluid (DEF) | Reduces Emissions, Improves Engine Efficiency & Protects SCR Systems | ISO 22241 Certified (2 x 10 Litres)",3.635,50
216,8699303352828,5011423004662.0,WENKEN FOOD PROCESSOR & BLENDER 2 IN 1,"Kenwood FDP65.180SI 2 in 1 Food Processor Multipro Express, Silver",33.4383333333333,300
1021,8692952067501,8692952079030.0,LAV GLASS WHISKEY TUMBLER 345ML 3PCE,Lav Coral Tumbler Glasses. Coloured Base (Pack of 6) Whisky Juice Drinking Glasses Set. 345ml,4.23,200
256,8696287140151,,THL SPOON REST ASSORTED,"Spoon Rest for Kitchen, Ceramic Spoon Rest for Stove Top, Spoon Holder Set of 4 Kitchen Counter Coffee 4.8 Inches Heat Resistant Utensil Rest for Countertop, Tea Bag Holder Dish, Dishwasher Safe",6.695,100
