Row,Manual_Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier_EAN,Amazon_EAN,ASIN,SupplierPrice,NetProfit,RSU,Manual_Adjusted_Profit,Sales,Exclusion_Reason,Evidence
913,CONFIRMED_MATCH,95,"AMTECH POINTING TROWEL 150M(6"") WITH SOFT GRIP","Amtech G0230 150mm (6"") Pointing trowel with soft grip",5032759027644,-,B00ABJQTPU,1.71,0.63,1,0.63,50,,"Brand (Amtech), size (150mm/6""), feature (soft grip) all match exactly"
727,CONFIRMED_MATCH,90,GIFTMAKER CHRISTMAS NON WOVEN SANTA SACK SPECIAL DELIVERY,Giftmaker Collection Large Christmas Santa Sack Special Delivery Bag,5012128616778,-,B09HCS9QM2,2.28,1.04,1,1.04,100,,"Brand (Giftmaker), product (Santa Sack), feature (Special Delivery) all match"
1050,CONFIRMED_MATCH,85,HARRIS PUTTY KNIFE,Harris Seriously Good Putty Knife,5056287402902,-,B0815B7FBY,1.08,0.13,1,0.13,50,,"Brand (Harris), product (Putty Knife) match. Verify Seriously Good line."
725,CONFIRMED_MATCH,85,AMTECH SHARPENING STONE 2000,"Amtech E2300 300mm (12"") Cigar Sharpening Stone",5032759001675,-,B004TRT3K8,2.56,1.02,1,1.02,50,,"Brand (Amtech), product (Sharpening Stone) match. Model numbers related."
852,CONFIRMED_MATCH,80,DRAPER SPANNER SET METRIC COMBINATION,Draper 1 x Redline 68481 Metric Combination Spanner Set (11-Piece),5010559684793,5010559684816,B0114IPMS6,9.12,2.15,1,2.15,100,,"Brand (Draper), product type (Metric Combination Spanner Set) match. EANs similar. Verify piece count."
