category,is_exact_ean,Pack_Verdict,Adjusted_Profit,NetProfit,ROI,Qty_Ratio,Sup_Qty,Amz_Qty,title_match,sales,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,manual_group,manual_pack_count_supplier,manual_pack_count_amazon,manual_size_tokens_supplier,manual_size_tokens_amazon,ip_risk
UNCERTAIN,False,1:1 Match,24.86625,24.86625,2368.21428571428,1.0,1.0,1.0,0.1511111111111111,200,CHRISTMAS VELVET COLOURING SET 2PC,"KableRika LED Desk Lamp for Office, Double Head Desk Lamp with Base, Dimmable Architect Desk Light, Eye Caring Monitor Light Bar with Timer, Task Lamp for Work Study Read Home Office Lighting",5056170355988,-,B0D25HS86F,0.6,39.99,,,,,,False
UNCERTAIN,False,1:1 Match,26.1283333333333,26.1283333333333,2353.9039039039,1.0,1.0,1.0,0.1574074074074074,50,PLATE 10.5 INCH ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,6923456812901,198715902921,B0DK877SSC,0.672,49.99,,,,10.5inch,"150kg,6cm",False
UNCERTAIN,False,SPLIT (1/5) - OK,67.77225,65.51625,2259.18103448275,0.2,5.0,1.0,0.19607843137254902,50,LYNWOOD MINI ROLLER SET 5PACK,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",5016574137825,-,B0DN6BWS36,2.82,99.99,,5.0,,,,False
UNCERTAIN,False,1:1 Match,28.7304166666666,28.7304166666666,2244.56380208333,1.0,1.0,1.0,0.14213197969543148,100,SNOW WHITE CHRISTMAS RIBBON  SILVER,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,5050565712875,-,B0D62LX8W5,0.876,45.77,,,,,,False
UNCERTAIN,False,1:1 Match,42.8916666666666,42.8916666666666,2177.24196277495,1.0,1.0,1.0,0.13953488372093023,300,PRIMA DINNER PLATE FLOWER DESIGN 26.5CM,"Gillette Intimate Trimmer i5 - Pubic Hair & Body Groomer for Men, SkinFirst Waterproof Manscaping Trimmer, Cordless Wet/Dry Body Hair Shaver for Private Parts & Sensitive Areas",5038673190075,8700216280167,B0CM3SM41B,1.704,70.19,,,,26.5cm,,False
UNCERTAIN,False,SPLIT (1/4) - OK,25.523,24.965,2133.76068376068,0.25,4.0,1.0,0.21487603305785125,400,BRIGHT & HOMELY STAINLESS STEEL SCOURER 4 PIECES,"Pristar Remote Control Car Hand Gesture Controlled Car, 1:14 RC Stunt Auto 360Â° Rotation 3 Control Methods 2.4 GHz Drift Glove Controlled Cars Gift Toy for Kids Boy Girls Age 5 6 7 8 9 10 11 12",5050796011778,-,B0C7FJY9SL,0.744,42.99,,4.0,,,,False
UNCERTAIN,False,1:1 Match,24.70625,24.70625,2041.8388429752,1.0,1.0,1.0,0.1958762886597938,50,SECURPAK POZI COUNTERSUNK SCREWS ZP 5X60MM,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",5019923202892,-,B0CQP7TT72,0.792,39.99,,,,,8in,False
UNCERTAIN,False,1:1 Match,19.2516666666666,19.2516666666666,2026.49122807017,1.0,1.0,1.0,0.2,200,DEKTON MASONRY DRILL BIT 5MM X 85MM,Mydome Light Switch Timer â€“ Police Approved Retro Fit Timer Switch - A No Wiring Home Security Lighting & Burglar Deterrent,5055441463407,609613846212,B00YA95TZI,0.48,32.99,,,,"5mm,85mm",,False
UNCERTAIN,False,1:1 Match,25.1916666666666,25.1916666666666,1999.33862433862,1.0,1.0,1.0,0.18064516129032257,100,BETTINA SPONGE CELLULOSE 3 SCOURER,OLEVS Mens Watches Designer Calendar Dress Metal Stainless Steel Quartz Analog Waterproof Luminous Wrist Watch Gent Large,5052578022309,-,B0BPLGMW1B,0.852,42.77,,,,,,False
UNCERTAIN,False,1:1 Match,36.5566666666666,36.5566666666666,1986.77536231884,1.0,1.0,1.0,0.10891089108910891,200,DIWALI SOUP PLATE 20CM,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",26102289587,4820184122314,B0D9W1S3Y5,1.548,60.8,,,,20cm,,False
UNCERTAIN,False,1:1 Match,80.58,80.58,1951.08958837772,1.0,1.0,1.0,0.20717131474103587,50,DLUX PRO KLEEN 2 IN 1 MICROFIBRE FLAT MOP WITH HEAD CHENILLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5055706641137,717710483480,B0FGHZB8FM,4.296,129.0,,,,2in,"1.60kg,64mm",False
UNCERTAIN,False,1:1 Match,27.0999999999999,27.0999999999999,1935.71428571428,1.0,1.0,1.0,0.16740088105726872,400,OPAL SQUARE SOUP PLATE WHITE,"George Foreman Immersa Medium Electric Grill [Removable Control Panel allows grill machine to be fully washable & dishwasher safe, Energy saving, Healthy, Toastie, Panini, Hot plate, BBQ] Black 28310",6260573000843,5038061143195,B0BGK57HPC,1.02,49.5,,,,,,False
UNCERTAIN,False,1:1 Match,24.63625,24.63625,1924.70703125,1.0,1.0,1.0,0.10112359550561797,50,GIFTMAKER AIR DRY CLAY ELF,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",5012128554223,-,B0CQP7TT72,0.876,39.99,,,,,8in,False
UNCERTAIN,False,BUNDLE (487x) - LOSS,-570.5343333333334,30.1616666666666,1908.96624472573,487.0,1.0,487.0,0.12290502793296089,100,ABBEY HAND SPRAY 750ML,"Mould King V8 Engine Building Blocks Sets, 10171 MOC Scale Model Kit with Battery and Motor, Collectible Set for Adults, Construction Toys for Teens(487 Pcs)",5013174024821,705736243089,B0DL47ZJR2,1.236,50.99,,,487.0,750ml,,False
