category,Pack_Analysis_Verdict,Adjusted_Profit,Adjusted_ROI,Qty_Ratio,Sup_Qty,Amz_Qty,sales_numeric,SupplierTitle,AmazonTitle,EAN,ASIN,NetProfit,ROI,SupplierPrice_incVAT,SellingPrice_incVAT
UNCERTAIN,MATCH (1:1),266.2583333333333,6357.648837949697,1.0,1.0,1.0,0,Bolsius Rustic Faded Foggy Green Oxid Blue Metallic Candle  (130mm x 68mm),Osee GoStream Duet Live Streaming Switcher Multiple Camera SDI and HDMI Live Stream Video Mixer Switcher with SD Record and NDI HX Supported,8717847151377,B0CZ97V8D9,266.2583333333333,6590.552805280528,4.188000000000001,385.0
UNCERTAIN,MATCH (1:1),232.61666666666667,7785.0290049085215,1.0,1.0,1.0,0,Heart Shaped Candle in Gift Box,"VLAND Rear Lights for Golf 7 MK7 Golf 7.5 MK7.5 2013-2019 Tail Lights Assembly with Sequential Turn Signal, E-mark, One Pair (Red)",5051211232549,B0BW3NMSGY,232.61666666666667,7651.864035087719,2.9880000000000004,329.0
UNCERTAIN,MATCH (1:1),211.57833333333332,781.5393518518518,1.0,1.0,1.0,0,Velvet Red & Copper Rustic Pillar Candle,"MUSSO H80 Pro Ergonomic Office Chair, Mesh Desk Chair with 3-Zone Dynamic Lumbar Support 4D Armrest 5-Level Adjustable Backrest, Adjustable Headrest & Retractable Footrest for Home/Office",4031052122101,B0DDPNLP6H,211.57833333333332,915.5271888071544,27.072,349.99
UNCERTAIN,MATCH (1:1),201.9933333333333,5686.749249249249,1.0,1.0,1.0,0,Tintagel Wild Berry Spray Yellow,"WAGNER Airless Control 150 M Paint Sprayer Wall Paints, Lacquers & Varnishes, Wood And Corrosion Protection - Interior And Exterior Usage, 0-900 Ml/min, Container Volume 5500 Ml, 7.5 M Hose",5055977370903,B07PQT8F2B,201.9933333333333,5754.795821462489,3.552,299.98
UNCERTAIN,MATCH (1:1),199.60833333333332,20792.534722222223,1.0,1.0,1.0,0,Essential Vintage Nude Garden Rose,"TOPDON Thermal Camera TC002C for IOS 15/16 with Type-C Port, 512x384 TISR Resolution, -20-550℃, 25Hz, Video Recording, Infrared Test Report for Electric, House Maintenance, Pest lnspection",5056721852119,B0D419BWHR,199.60833333333332,14785.802469135802,0.96,289.99
UNCERTAIN,MATCH (1:1),194.9633333333333,1626.320765209654,1.0,1.0,1.0,0,Purple Velvet Velvet Ribbon (38mm x 20m),"WAGNER Airless Control 150 M Paint Sprayer Wall Paints, Lacquers & Varnishes, Wood And Corrosion Protection - Interior And Exterior Usage, 0-900 Ml/min, Container Volume 5500 Ml, 7.5 M Hose",5056519230174,B07PQT8F2B,194.9633333333333,1849.7469955724223,11.988,299.98
UNCERTAIN,MATCH (1:1),194.9633333333333,1626.320765209654,1.0,1.0,1.0,0,Bright Red Velvet Ribbon (25mm x 20m),"WAGNER Airless Control 150 M Paint Sprayer Wall Paints, Lacquers & Varnishes, Wood And Corrosion Protection - Interior And Exterior Usage, 0-900 Ml/min, Container Volume 5500 Ml, 7.5 M Hose",5056519230167,B07PQT8F2B,194.9633333333333,1849.7469955724223,11.988,299.98
UNCERTAIN,MATCH (1:1),192.24166666666667,3034.1172138047136,1.0,1.0,1.0,0,Natural and Black Striped Fabric Ribbon (63mm x 9m),"WAGNER SteamForce Speed Pro steam Wallpaper Remover, Container Volume: 5.1 l, Max. Steaming time: 68 min, Hose Length: 5 m, 2750 W, 230 V",5056519228751,B0D879G1K8,192.24166666666667,3297.455688965123,6.336,299.99
UNCERTAIN,MATCH (1:1),161.40999999999997,21694.892473118274,1.0,1.0,1.0,0,Christmas Tree Gift Bag (Medium),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5056519286676,B07SWB992S,161.40999999999997,13795.726495726492,0.744,249.9
UNCERTAIN,MATCH (1:1),161.40999999999997,21694.892473118274,1.0,1.0,1.0,0,Christmas & Poinsettia Gift Bag (Medium),WOLVERINE 10-Sheet Super Micro Cut High Security Level P-5 Heavy Duty Paper/CD/Card Ultra Quiet Shredder for Home Office by 60 Mins Running Time and 22-Litre Pullout Waste Bin SD9112(White),5056519200573,B07SWB992S,161.40999999999997,13795.726495726492,0.744,249.9
