SupplierTitle,AmazonTitle,ASIN,EAN_fixed,match_method,Tier,confidence_level,bought_in_past_month,amazon_sales_badge,NetProfit,ROI,SupplierPrice_exVAT,SellingPrice_incVAT,Bucket,Unit_Qty_Flag,Unit_Qty_Note,SupplierURL,AmazonURL,fba_seller_count,total_offer_count
CAR PRIDE CAR VENT AIR FRESHENER VANILLA COCOA 4ML PACK OF 2,"SCENTORINI Car Air Freshener, Vent Clip, 2 Fragrance, Cotton, Vanilla for Cars, New Car Smell, Adjustable Scent Strength, Cars Perfume Air Freshener 6 Pack",B0DRNZ7P94,5053250000000,report_reconstruction,T2_TITLE_MATCH,high,100,100,4.370416667,291.3611111,0.95,11.69,A,MATCH,,https://www.efghousewares.co.uk/car-pride-car-air-freshener-twin-pk-vanilla-cocoa-4ml-121879,https://www.amazon.co.uk/dp/B0DRNZ7P94,,
BRIGHT & HOMELY FOOD UMBRELLA 50CM,"17 inches - Mesh Food Cover Tent Umbrella, Jsdoin 6 Pack Food Domes, Food Covers Mesh Pop Up Nets for Outdoors, Screen Tents, Parties Picnics, BBQs, Reusable and Collapsible (White)",B08X6GD3FY,5050800000000,title,T2_TITLE_MATCH,medium,200,200,2.175,145,0.95,9.99,A,MATCH,,https://www.efghousewares.co.uk/bright-homely-food-umbrella-50cm-122421,https://www.amazon.co.uk/dp/B08X6GD3FY,Available (see Keepa data),1
TTZ TOOSY SPICE JAR 190 ML,"Round Glass Jars with Red Gingham Lids 5 SPICES & Adhesive Labels | 190ml / 7oz Glass Jars with Air Tight Twist Lids Reusable Canning Storage Jar for Preserves, Jelly and Herbs - 16 Jar & 5 Spice",B0CH1BRWVW,8680860000000,title,T2_TITLE_MATCH,medium,50,,8.685,729.8319328,0.64,21.99,A,MATCH,,https://www.efghousewares.co.uk/ttz-toosy-spice-jar-190-ml-113619,https://www.amazon.co.uk/dp/B0CH1BRWVW,,1
BLACKMOOR MEASURING SPOONS,"8 Pcs Measuring Cups and Spoons Set, Stackable Stainless Steel Handle Accurate Tablespoon for Measuring Dry and Liquid Ingredients Small Teaspoon with Plastic Head (Black)",B09MTJX73B,5025300000000,title,T2_TITLE_MATCH,medium,600,600,0.721666667,26.43467643,2.18,8.99,A,MATCH,,https://www.efghousewares.co.uk/blackmoor-measuring-spoons-114357,https://www.amazon.co.uk/dp/B09MTJX73B,Available (see Keepa data),1
ALL PURPOSE CLEANING PET WIPES 40 PACK,X 60 Pack All Purpose PET WIPES for daily Cleaning of your Dogs and Cats Deodorizing ALCOHOL FREE and WET Moist Dog Paw Cleaner & Dog Ear Cleaner Wipes Pack (240 Wipes),B08LML3X1N,501530000000,title,T2_TITLE_MATCH,medium,200,200,2.148333333,167.8385417,0.73,9.79,A,MATCH,,https://www.efghousewares.co.uk/all-purpose-cleaning-pet-wipes-40-pack-116350,https://www.amazon.co.uk/dp/B08LML3X1N,Available (see Keepa data),7
FESTIVE MAGIC GIFT BOWS 12PK RED,"12 Pcs Christmas Bows for Gift Wrapping, 5”Xmas Holiday Decoration Pull - Reusable Ribbons Bow for Tree Decorations, Present, Party, Crafts & Holiday Decoration",B0FNLK47N4,,title,T2_TITLE_MATCH,medium,300,300,1.43125,128.9414414,0.56,6.99,A,MATCH,,https://www.efghousewares.co.uk/festive-magic-gift-bows-12pk-red-123118,https://www.amazon.co.uk/dp/B0FNLK47N4,,
GREEN BLADE 2PCE GARDEN SHEAR SET,"Darlac Telescopic Hedge Shear - Extendable Handles Adjust to Exact Length Required - Super Lightweight Approx 1kg - Razor Sharp Blade Ideal for Hedge Trimming, Green Growth & Light Woody Growth",B0028YPW68,5017400000000,title,T2_TITLE_MATCH,medium,50,50,8.578333333,135.7331224,5.77,28.99,A,MATCH,,https://www.efghousewares.co.uk/green-blade-2pce-garden-shear-set,https://www.amazon.co.uk/dp/B0028YPW68,,4
WOODEN ANIMAL PUZZLE,"Fisher-Price Toddler Toy Wooden Animal Puzzle, Shape-Sorting Activity with 13 Wood Pieces for Preschool Kids Ages 2+ Years, JFG10",B0DLH93L1J,5012870000000,title,T2_TITLE_MATCH,medium,50,50,8.518333333,423.7976783,1.46,19.99,A,MATCH,,https://www.efghousewares.co.uk/wooden-animal-puzzle-113341,https://www.amazon.co.uk/dp/B0DLH93L1J,Available (see Keepa data),11
RUBBER DUCK FAMILY BATH TOY 3 PACK,Rubber Duck Bath Toy Set – Floating Duck Family by KOKSI – 4-Piece – Baby & Toddler Bathtime Fun for Bath & Pool,B09X78TC7Q,5015300000000,title,T2_TITLE_MATCH,medium,200,200,2.128333333,166.2760417,0.73,8.89,A,MATCH,,https://www.efghousewares.co.uk/rubber-duck-family-bath-toy-3-pack-113737,https://www.amazon.co.uk/dp/B09X78TC7Q,Available (see Keepa data),3
METALTEX STAINLESS STEEL JUMBO HOOKS SET 2,"2 Pack Large Self Adhesive Hooks, Stainless Steel Sticky Hook Heavy Duty, Over 12kg Load - Strong Hooks for Hanging for Towel, Coat, Robe, Stick on Bathroom, Kitchen, Door and Wall",B0FG341CT1,8002520000000,title,T2_TITLE_MATCH,medium,200,200,2.125,94.44444444,1.7,9.99,A,MATCH,,https://www.efghousewares.co.uk/metaltex-s-s-jumbo-hooks-set-2,https://www.amazon.co.uk/dp/B0FG341CT1,Available (see Keepa data),1
MARKSMAN STAINLESS STEEL HOOKS 4PCE,Robe Hook 6pcs 304 Stainless Steel Coat Hooks Wall-Mount Door Hooks Chrome Cylinder Towel Hook Heavy Duty Brushed Nickel Dressing Gown Hooks for Doors Bathroom Lavatory Closets(2inch/5cm),B0791XFN54,5038670000000,report_reconstruction,T2_TITLE_MATCH,high,200,200,2.116583333,135.8525888,1.008,8.59,A,MATCH,,https://www.efghousewares.co.uk/marksman-s-s-hooks-4pce,https://www.amazon.co.uk/dp/B0791XFN54,,
