SupplierTitle,AmazonTitle,ASIN,EAN_fixed,match_method,Tier,confidence_level,bought_in_past_month,amazon_sales_badge,NetProfit,ROI,SupplierPrice_exVAT,SellingPrice_incVAT,Bucket,Unit_Qty_Flag,Unit_Qty_Note,SupplierURL,AmazonURL,fba_seller_count,total_offer_count
RUSTINS WOOD HARDENER 250ML,"Rustins Wood Hardener for Rotted Wood 250ml -– Repairs Rotted Timber | Fast-Acting Formula Reinforces Soft, Damaged Areas Before Filling or Painting",B017J2V1IG,5015330000000,EAN,T1_EAN_EXACT,high,200,200,-1.21375,-24.97427984,4.31,8.55,C,MATCH,,https://www.efghousewares.co.uk/rustins-wood-hardener-250ml,https://www.amazon.co.uk/dp/B017J2V1IG,,
CASA & CASA EXPANDING DISH RACK COMPACT BLACK,"Small Dish Drying Rack, Aufworld Compact Dish Rack with Silicone Drying Mat, Stainless Steel Dish Drainer with Utensil Holder, Space Saving Drain Rack for Kitchen Counter, RVs, Apartments",B0FDWLY88W,5056300000000,title,T2_TITLE_MATCH,medium,100,100,-1.215,-14.19392523,8.01,15.99,C,MATCH,,https://www.efghousewares.co.uk/casa-casa-expanding-dish-rack-compact-black-119910,https://www.amazon.co.uk/dp/B0FDWLY88W,Available (see Keepa data),1
"KILROCK LIMESCALE REMOVER, POWER SPRAY CLEANER 500ML(SOLD EACH)","Kilrock Limescale Remover Power Spray Cleaner 500ml - Rapid Action Formula - 100% Limescale Removal, Destroys Hard Water Stains - Perfect for Bathrooms, Sinks, Shower Screens, Toilets, Baths.",B0074I7WZW,5014350000000,EAN,T1_EAN_EXACT,high,600,600,-1.2225,-48.70517928,1.96,5.22,C,MATCH,,https://www.efghousewares.co.uk/kilrock-power-spray-500ml,https://www.amazon.co.uk/dp/B0074I7WZW,,
MILESTONE WHISTLING KETTLE STAINLESS STEEL 2L,"Milestone Camping 24860 2L Whistling Camping Kettle/Durable and Lightweight/Pouring Spout and Heat-Resistant Handle/Metallic Orange/Ideal for Camping, Fishing, Workshops and Garages",B01EZ2XVB8,5025300000000,EAN,T1_EAN_EXACT,high,100,100,-1.223333333,-20.08757526,5.54,11.9,C,MATCH,,https://www.efghousewares.co.uk/milestone-whistling-kettle-stainless-steel-2l-122328,https://www.amazon.co.uk/dp/B01EZ2XVB8,,4
VPL DOUBLE COLOUR  STEP STOOL,"Straame Double Step Stool for Kids, Non-Slip 2 Step Stool for Toddlers with Built-in Handles, Step Stool for Potty Training, Bathroom and Kitchen, Sturdy and Practical Design (White)",B09MR1LFGX,5060130000000,title,T2_TITLE_MATCH,medium,500,500,-1.225,-35.92375367,2.86,9.99,C,MATCH,,https://www.efghousewares.co.uk/vpl-double-colour-step-stool,https://www.amazon.co.uk/dp/B09MR1LFGX,,1
VPL SMALL STEP STOOL SILVER,"Addis Step Stool Solid, Metallic Silver, 1 510044",B0016I2IQE,5060130000000,title,T2_TITLE_MATCH,medium,300,300,-1.225,-53.03030303,1.76,9.99,C,MATCH,,https://www.efghousewares.co.uk/vpl-small-step-stool-silver,https://www.amazon.co.uk/dp/B0016I2IQE,,6
PAUL RUSSELLS FLOODLIGHT 30W,"paul russells 30W LED Outdoor Floodlight - 3000LM Bright Security Lights, IP65 Waterproof, Daylight 6500K White, Garden & Outdoor Wall Lights for Garden, Garage Lighting, Warehouse, Energy-Efficient",B0CKXPFRQ1,5056560000000,EAN,T1_EAN_EXACT,high,200,200,-1.225416667,-18.56691919,6.05,10.99,C,MATCH,,https://www.efghousewares.co.uk/paul-russells-floodlight-30w-121768,https://www.amazon.co.uk/dp/B0CKXPFRQ1,,
UNIQUE BALLOON COOL BLUE 10,"OFFCUP Blue Number 10 Balloons, 40 Inch Large Foil Number 1 & 0 Balloons, Self Inflating 10th Birthday Balloon for 10 Year Boys Girls Men Women Anniversary Birthday Party Decorations Supplies",B0CQT4QB7F,11179800186,title,T2_TITLE_MATCH,medium,100,100,-1.22625,-85.75174825,0.88,3.69,C,MATCH,,https://www.efghousewares.co.uk/unique-balloon-cool-blue-10,https://www.amazon.co.uk/dp/B0CQT4QB7F,,
CHEF NON-STICK MUFFIN TRAY 6 CUP,"Chef Aid 6 Cup Large Muffin Pan, Non-Stick Cupcake Tray Baking Mould, Grey",B00SZE7DJE,5012900000000,EAN,T1_EAN_EXACT,high,300,300,-1.229583333,-43.14327485,2.3,5.69,C,MATCH,,https://www.efghousewares.co.uk/chef-n-s-muffin-tray-6-cup,https://www.amazon.co.uk/dp/B00SZE7DJE,,
TIGER POLICE NOTEBOOK,Tiger police style elastic notebook pad with pencil,B004OE3TN8,5016870000000,report_reconstruction,T2_TITLE_MATCH,high,100,100,-1.231,-76.65006227,1.056,3.15,C,MATCH,,https://www.efghousewares.co.uk/tiger-police-notebook,https://www.amazon.co.uk/dp/B004OE3TN8,Available (see Keepa data),14
