SupplierTitle,AmazonTitle,EAN,ASIN,SupplierURL,AmazonURL,SupplierPrice_exVAT,SellingPrice_incVAT,NetProfit,ROI,sales_count,total_offer_count,fba_seller_count,fbm_seller_count,investment_tier,risk_level,action,reason,has_strong_brand,brand_detected,MatchMethod,Confidence
Robot Transformation Hero,"Drawing Robot for Kids,Montessori Educational Painting Toy for 5+ with Voice Interaction&16 Color Pens,Magic Drawing Robot with 100 Learning Word Cards,Ideal Gift for 5+ Year Old Boys Girls (Green)",5.00E+12,B0F134VW6R,https://www.poundwholesale.co.uk/robot-transformation-hero,https://www.amazon.co.uk/dp/B0F134VW6R,0.91,94.99,60.08833333,41.15639269,Unknown,1.0,,,TIER 3 - INVESTIGATE,MEDIUM,SALES VERIFICATION NEEDED,"['ROI 41.2% ≥ 15.0%', 'NetProfit £60.09 ≥ £0.3', 'High ROI compensates for missing sales data']",False,,title,medium
Kingdom 4-In-1 Rubber Pet Mitt Assorted Colours,Marvel Mjolnir Hammer Tool Set Mighty Thor 44 Piece Toolkit Ukonic Official MCU License,5.06E+12,B0CYJS7YGS,https://www.poundwholesale.co.uk/kingdom-4-in-1-rubber-pet-mitt-assorted-colours,https://www.amazon.co.uk/dp/B0CYJS7YGS,0.51,64.95,39.895,37.63679245,Unknown,3.0,,,TIER 3 - INVESTIGATE,MEDIUM,SALES VERIFICATION NEEDED,"['ROI 37.6% ≥ 15.0%', 'NetProfit £39.90 ≥ £0.3', 'Strong brand detected: marvel', 'High ROI compensates for missing sales data']",True,marvel,EAN,high
Deluxe Disposable Heavy Duty Black Knives 40 Pack,Marvel Mjolnir Hammer Tool Set Mighty Thor 44 Piece Toolkit Ukonic Official MCU License,5.06E+12,B0CYJS7YGS,https://www.poundwholesale.co.uk/deluxe-disposable-heavy-duty-black-knives-40-pack,https://www.amazon.co.uk/dp/B0CYJS7YGS,0.65,64.95,39.755,33.12916667,Unknown,3.0,,,TIER 3 - INVESTIGATE,MEDIUM,SALES VERIFICATION NEEDED,"['ROI 33.1% ≥ 15.0%', 'NetProfit £39.76 ≥ £0.3', 'Strong brand detected: marvel', 'High ROI compensates for missing sales data']",True,marvel,EAN_cached,low
Marksman Broom & Mop Holders Set 4 Pack,QTJH broom and mop holder put wet mops movable Commercial mop rack cleaning tool cart storage for garden garage organizer mop drain rack,5.04E+12,B0BWHHVGT6,https://www.poundwholesale.co.uk/marksman-broom-mop-holders-set-4-pack,https://www.amazon.co.uk/dp/B0BWHHVGT6,2.05,119.0,78.89166667,30.34294872,Unknown,,,,TIER 3 - INVESTIGATE,MEDIUM,SALES VERIFICATION NEEDED,"['ROI 30.3% ≥ 15.0%', 'NetProfit £78.89 ≥ £0.3', 'High ROI compensates for missing sales data']",False,,title,medium
Rapide Mahogany Gloss Varnish 170ml,GUARD YV - Yacht Varnish Clear High Gloss Interior & Exterior For Wood Marine and Boats (5 Litre),5.06E+12,B0CD7M7BNY,https://www.poundwholesale.co.uk/rapide-mahogany-gloss-varnish-170ml,https://www.amazon.co.uk/dp/B0CD7M7BNY,0.67,54.95,34.90291667,28.60894809,Unknown,1.0,,,TIER 3 - INVESTIGATE,MEDIUM,SALES VERIFICATION NEEDED,"['ROI 28.6% ≥ 15.0%', 'NetProfit £34.90 ≥ £0.3', 'High ROI compensates for missing sales data']",False,,title,medium
Auto Extreme Professional Engine Degreaser And Cleaner Spray 300ml (Expired Stock 2017),HLS Supplies DG-15 20L Degreaser Cleaner - Degreaser Kitchen Heavy Duty,5.06E+12,B09GMQ1BHK,https://www.poundwholesale.co.uk/auto-extreme-professional-engine-degreaser-and-cleaner-spray-300ml,https://www.amazon.co.uk/dp/B09GMQ1BHK,0.36,30.99,18.24125,20.04532967,Unknown,1.0,,,TIER 3 - INVESTIGATE,MEDIUM,SALES VERIFICATION NEEDED,"['ROI 20.0% ≥ 15.0%', 'NetProfit £18.24 ≥ £0.3', 'High ROI compensates for missing sales data']",False,,title,medium
