RowID,ASIN,SupplierEAN,AmazonEAN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month
157,B00569FG1S,5038673230474,,PRIMA MULTI SHOWERHEAD CHROME,Lara | Multi Spray Shower Head - Chrome,https://www.efghousewares.co.uk/prima-multi-showerhead-chrome-121165,https://www.amazon.co.uk/dp/B00569FG1S,1.704,21.99,10.365,526.142131979695,100
198,B009RM6PGU,5059482059971,,DRAPER HSS DRILL BIT 1.5 MM,"Draper 18551 Combined HSS and Masonry Drill Bit Set, Blue, 17 Pcs",https://www.efghousewares.co.uk/draper-hss-drill-bit-1-5-mm,https://www.amazon.co.uk/dp/B009RM6PGU,0.744,12.93,5.155,440.59829059829,100
363,B0DT71SSPT,5060357991357,5060357991357,PHOODS FOIL TRAY ROASTER,"Superior Sandwich Platter Trays - Pack of 10 Catering Trays for Parties - Buffet Serving Tray with Spill Proof Lids - Catering Platters for Cakes, Parties & Events, Meal Prep Large Tray",https://www.efghousewares.co.uk/phoods-foil-tray-roaster,https://www.amazon.co.uk/dp/B0DT71SSPT,1.08,14.97,3.905,269.310344827586,50
370,B005XKFN0O,5050028016069,5050028016069,EVERREADY T8 4FT 36W TUBE LIGHT,Eveready T8 Tube 4ft 36w White 3500k,https://www.efghousewares.co.uk/everready-t8-4ft-36w-tube-light-110739,https://www.amazon.co.uk/dp/B005XKFN0O,2.988,18.99,8.00124999999999,263.199013157894,50
397,B00L9YF7S6,5010853075914,,KILNER 1LTR SQUARE CLIP TOP JAR (SP),6 x Kilner Clip Top Glass Storage Jar - Square 1 Litre,https://www.efghousewares.co.uk/kilner-1ltr-square-clip-top-jar-sp-,https://www.amazon.co.uk/dp/B00L9YF7S6,3.48,25.3,8.49333333333333,246.183574879227,50
410,B07MGLHMWY,5025364005824,5025762919174,TIDYZ WHEELY BIN LINERS 5 BAGS 300L,Tidyz 30 Extra Large Wheelie Bin Liners Waste Rubbish Bags 300L,https://www.efghousewares.co.uk/tidyz-wheely-bin-liners-5-bags-106238,https://www.amazon.co.uk/dp/B07MGLHMWY,0.744,9.98,2.76666666666666,236.467236467236,500
444,B073XQYNQT,4001836065665,5023041541245,SCHOTT ZWIESEL WHITE WINE GLASS 407ML SET OF 2,"Schott Zwiesel Pure Glassware - White Wine Glasses - Set of 2, 408ml Capacity, Tritan Glass, Dishwasher Safe.",https://www.efghousewares.co.uk/schott-zwiesel-wine-glasses-set-of-2-white,https://www.amazon.co.uk/dp/B073XQYNQT,3.348,19.99,7.17833333333333,214.920159680638,200
458,B08FBJ59DR,5023139862917,,BACOFOIL ZIPPER BAGS ALL PURPOSE 12 PACK 1L (PM Â£2.19),Bacofoil 3 x Zipper Small All Purpose Bags Food Freezing Storage Bags (45 Bags),https://www.efghousewares.co.uk/bacofoil-zipper-bags-all-purpose-12-pack-1l-pm-2-19-106680,https://www.amazon.co.uk/dp/B08FBJ59DR,1.032,9.96,2.93,207.801418439716,500
626,B07WDRQ4J7,5059001500861,5059001500861,AIRWICK REED DIFFUSER MULLED WINE 33ML PK5,"Air Wick Essential Oils Reed Diffuser Air Freshener Mulled Wine Scent, 5 Bottles X 30 ml",https://www.efghousewares.co.uk/airwick-reed-diffuser-mulled-wine-33ml-pk5-120726,https://www.amazon.co.uk/dp/B07WDRQ4J7,13.4279999999999,46.0,16.5533333333333,140.999432140829,200
660,B0BHSR7XK1,5060605733807,,LADIES KNITTED HAT WITH FAUX FUR POM-POM,Sibba Bobble Hat for Women Winter Beanie Hats Thermal Fleece Lined Hat Ladies Knitted Wooly Hats with Faux Fur Pom Pom,https://www.efghousewares.co.uk/ladies-knitted-hat-with-faux-fur-pom-pom-123655,https://www.amazon.co.uk/dp/B0BHSR7XK1,1.596,8.99,2.47166666666666,131.471631205673,50
