label,rows,existing_T1,existing_T2,existing_T3,existing_T4,new_T1,new_T2,new_T3,new_T4,changed_rows,existing_avg_confidence,new_avg_confidence,ean_exact_matches_new
efg_latest_analysis,3205,251,768,95,2091,1019,695,870,621,2320,23.717628705148204,68.40773790951637,1019
pound_latest_analysis,7183,1802,177,300,4904,1803,1050,2137,2193,2956,19.53292496171516,55.28461645551998,1803
