,EAN_str,SupplierTitle,AmazonTitle,NetProfit,bought_in_past_month,SupplierPrice_incVAT
2515,5013159004428,ELLIOTTS GLASS SPRAY BOTTLE BROWN480ML,"Elliott 480ml Brown Glass Spray Bottle, Manufactured from Recycled Glass and featuring a locking trigger action spray Mechanism, Ideal for use for Cleaning, Watering Plants and many other uses",0.218333333333333,100,2.436
2577,5060187175750,BLUE CANYON VECTOR SHOWER SPRAY,Blue Canyon Vector Double Tap Shower Spray| Bathroom Accessory| Premium Shower Attachment for Bath taps| Push-on-Fitting| Suitable for Round & Oval Taps| Shower Head for Bathroom| ~1.5 Meters| (White),0.198333333333333,500,4.296
2493,5056239413680,SIMMER RING,Simmer Ring Pan Mat Heat Diffuser For Gas Electric Cookers Stove Hob 21cm,0.154999999999999,100,1.14
2615,5010853203508,MASON CASH CERAMIC RECT DISH 16cm,"Mason Cash 2001.542 Collection Fine Stoneware Square Roasting Baking and Serving Dish, Ceramic, White, 16 x 16 x 4.5 cm",0.101666666666666,50,3.65999999999999
2598,5012904004188,CHEF AID STRAINER DIAMETER 18CM,"Chef Aid 18cm Long Handled Metal Sieve, Kitchen Essential Tool and Ideal for Straining, draining, Washing and Wide Range of Foods, with a fine mesh for Ease of use",0.0833333333333337,200,1.944
2643,5055361761119,MEMORIAL WATERPROOF GRAVESIDE LANTERN WITH ROBIN SOMEONE SPECIAL,Waterproof Robin Memorial Graveside Lantern with LED Candle (Someone Special),0.0783333333333329,50,6.948
2589,5056175904327,TREAT AND EASE EYE MIST SPRAY,Eye Mist Eyelid Spray for Refreshing Soothing Relief Dry Tired Irritated Itch Sore Eyes 15ml,0.061666666666667,100,1.008
2593,5056239417244,RYSONS KITCHEN FRIDGE/FREEZER THERMOMETER,RYSON 2 Pack Fridge & Freezer Thermometer Kitchen Tool REFRIGERATORS Temperature Coloured,0.0583333333333332,50,1.008
2638,5012904148738,CHEF AID SHOT GLASSES ASSORTED 20PCE,"Chef Aid Multi-Coloured Plastic Shot Glasses, Pack of 20 Reusable 30ml Party Cups, Bright, Colourful Drinking Glasses for Shots, Cocktails and Celebrations",0.0300000000000009,600,1.752
2636,5022704000013,FIRE UP NATURAL FIRELIGHTERS 28 PACK,"Fireglow Firelighters 24 Pack, White",0.0216666666666669,100,0.912
2654,8711252100531,GLASS WHISKEY DECANTER,alpina Whiskey Decanter and Caraf,0.0183333333333328,200,2.352
