,SupplierTitle,AmazonTitle,EAN,EAN_OnPage,NetProfit,ROI %,bought_in_past_month
42,SECURPAK POZI COUNTERSUNK SCREWS ZP 5X60MM,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",5019923202892,,24.70625,2041.8388429752,50
44,HAPPY 6TH BIRTHDAY BANNER BLUE 9FT,"Premium Baby Toys for 6-18 Months, 8 in 1 Montessori Toys Set, Educational Learning Toys for Toddlers 1-3 Years Old Trendy Babies Gifts for Boys & Girls",11179859771,,24.69625,2024.28278688524,50
39,UNIQUE CANDLE NUMBER W/DECOR 6,"Lehoo Castle Dino Construction Truck Sit and Spin Toys for Toddlers 1-3 Boys, 360Â° Toddler Spinning Seat with Lights and Music, Sensory Toys Christmas Birthday Gift for Kids Age 2 3 4 5",11179373161,,24.655,2162.71929824561,300
56,ASHLEY 2 PCE SHOESHINE SET,"Stone & Clark 12PC Shoe Polish & Care Kit, Leather Shoe Shine Kit with Brown Wax, Shoe Brushes for Polishing",5017403134084,,24.52625,1764.47841726618,100
65,PALOMA CHRISTMAS NAPKINS 3 PLY 20 PACK ASSORTED DESIGNS,"Laplink PCmover Professional 11 - Migration of your Applications, Files and Settings from an Old PC to a New PC - Data Transfer Software - Optional High Speed Ethernet Cable - 1 License",3838952032452,48296309469.0,24.3983333333333,1626.55555555555,100
81,COK LATTE GLASS 25CL 2PK,"Laplink PCmover Professional 11 - Migration of your Applications, Files and Settings from an Old PC to a New PC - Data Transfer Software - Optional High Speed Ethernet Cable - 1 License",8435123280763,48296309469.0,24.1183333333333,1354.96254681647,100
89,SMART CHOICE RUBBER BALL DOG TOY,"Cheerble Smart Interactive Dog Toys - Wicked Ball AIR, Automatic Moving Bouncing & Rotating Dog Ball with E-TPU Material, IPX7, USB-C Rechargeable, Active Rolling Balls for Medium-Large Dogs - Blue",5052516111348,,24.0191666666666,1270.85537918871,200
82,"IMPERIAL SOUP PLATE BLUE 9""","Denby - Imperial Blue Dinner Plates Set of 2 - Dishwasher Microwave Safe Crockery 26.5cm - Blue, White Ceramic Stoneware Tableware - Chip & Crack Resistant Large Plates",8694169938490,745606660523.0,23.9816666666666,1354.89642184557,50
298,ECO APOLLO DUSTPAN BRUSH LARGE,"Litheli Cordless Leaf Blower, 604 mÂ³/h 137 km/h Air Speed Battery Blower, 20V Powerful Electric Garden Blower for Blowing Leaves Grass Dust, Electric Garden Leaf Blower with 2.0Ah Battery",5026180081566,740907585520.0,23.8983333333333,527.557027225901,50
1014,KITCHEN KING ROYAL CREPE PAN 30CM,"SENSARTE Black Crepe Pan 30 cm Non-Stick Pan Omlette Pan Pancake Flat Pan with Swiss Granite Non-Stick Coating, Bakelite Handle, Induction Compatible, PFOA PFOS Free",3847060716307,,23.6216666666666,169.57406078009,50
114,"IMPERIAL DEEP DINNER PLATE BLUE 10""","Denby - Imperial Blue Dinner Plates Set of 2 - Dishwasher Microwave Safe Crockery 26.5cm - Blue, White Ceramic Stoneware Tableware - Chip & Crack Resistant Large Plates",8694169938513,745606660523.0,23.6116666666666,1103.34890965732,50
