EAN,EAN_OnPage,,ASIN,Title,SupplierURL,AmazonURL,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,AmazonPrice_exVAT,ReferralFee,FBAFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierTitle,AmazonTitle,PrepHouseFee,match
7.32101E+12,6.20228E+12,FALSE,B077C9HN6R,FASHION GIRL DUNI 10 PACK  PARTY LOOT BAGS,https://www.clearance-king.co.uk/fashion-girl-duni-10-pack-party-loot-bags.html,https://www.amazon.co.uk/dp/B077C9HN6R,0.28,0.233333333,6.89,5.741666667,1.03,2.7,1.148333333,0.046666667,2.011666667,1.101666667,0.41,1.757142857,4.51,0.071407837,50,Available (see Keepa data),Available (see Keepa data),2,,,,
,,TRUE,B0DJ9S4GTC,Happi Feet Shoe Freshener - Lasts Up To 6 Weeks,https://www.clearance-king.co.uk/happi-feet-shoe-freshener-lasts-up-to-6-weeks.html,https://www.amazon.co.uk/dp/B0DJ9S4GTC,0.25,0.208333333,8.65,7.208333333,1.2975,2.8,1.441666667,0.041666667,3.110833333,1.4,1.210833333,5.812,4.8475,0.167976879,400,,,,,,,
5.01512E+12,5.06099E+12,FALSE,B0F2N2M8N4,HELLO KITTY AGE 7 GLITTERY BIRTHDAY CARD,https://www.clearance-king.co.uk/hello-kitty-age-7-glittery-birthday-card.html,https://www.amazon.co.uk/dp/B0F2N2M8N4,0.38,0.316666667,3.99,3.325,0.6,1.46,0.665,0.063333333,1.265,0.601666667,0.163333333,0.515789474,2.94,0.049122807,50,,Available (see Keepa data),3,,,,
,3.02162E+12,FALSE,B005EII6XQ,CAMAY SOAP - CLASSIC - 125G,https://www.clearance-king.co.uk/camay-soap-125g-classic-0-72-ck.html,https://www.amazon.co.uk/dp/B005EII6XQ,0.41,0.341666667,5.17,4.308333333,0.42,2.65,0.861666667,0.068333333,1.238333333,0.793333333,-0.055,-0.16097561,3.98,-0.012765957,50,Available (see Keepa data),Available (see Keepa data),6,,,,
5.06611E+12,7.07154E+11,FALSE,B0D2L389R2,D&K Dengke Cup Shape Glass Pipe + Screen,https://www.clearance-king.co.uk/d-k-high-quality-glass-smoking-pipe-5-screens-9cm-bee-hive-assorted-designs-5.html,https://www.amazon.co.uk/dp/B0D2L389R2,0.58,0.483333333,5.39,4.491666667,0.43,1.46,0.898333333,0.096666667,2.601666667,0.801666667,1.3,2.689655172,2.97,0.289424861,,,,,,,,
182360,44321182366,FALSE,B074KS4KPP,COMBINED SCIENCE GCSE HIGHER AQA PRACTICE EXAMS BOOK,https://www.clearance-king.co.uk/combined-science-gcse-higher-aqa-practice-exams-book.html,https://www.amazon.co.uk/dp/B074KS4KPP,5.95,4.958333333,16.58,13.81666667,2.16,2.94,2.763333333,0.991666667,8.716666667,1.771666667,6.445,1.299831933,11.55,0.466465621,,,,,,,,
,,TRUE,B0DJ9S4GTC,Happi Feet Shoe Freshener - Lasts Up To 6 Weeks,https://www.clearance-king.co.uk/happi-feet-shoe-freshener-lasts-up-to-6-weeks.html,https://www.amazon.co.uk/dp/B0DJ9S4GTC,0.25,0.208333333,8.65,7.208333333,1.2975,2.8,1.441666667,0.041666667,3.110833333,1.4,1.210833333,5.812,4.8475,0.167976879,400,,,,,,,
182360,44321182366,FALSE,B074KS4KPP,COMBINED SCIENCE GCSE HIGHER AQA PRACTICE EXAMS BOOK,https://www.clearance-king.co.uk/combined-science-gcse-higher-aqa-practice-exams-book.html,https://www.amazon.co.uk/dp/B074KS4KPP,5.95,4.958333333,25.85,21.54166667,3.37,2.94,4.308333333,0.991666667,15.23166667,3.316666667,11.415,2.302184874,12.76,0.529903288,,,,,,,,
,,TRUE,B0DJ9S4GTC,Happi Feet Shoe Freshener - Lasts Up To 6 Weeks,https://www.clearance-king.co.uk/happi-feet-shoe-freshener-lasts-up-to-6-weeks.html,https://www.amazon.co.uk/dp/B0DJ9S4GTC,0.25,0.208333333,8.65,7.208333333,1.2975,2.8,1.441666667,0.041666667,3.110833333,1.4,1.210833333,5.812,4.8475,0.167976879,400,,,,,,,TRUE
90651704,8.13974E+11,FALSE,B07HQHZ636,TRANSITION A PEER MENTORING SYSTEM SPIRAL BOOK,https://www.clearance-king.co.uk/transition-a-peer-mentoring-system-spiral-book.html,https://www.amazon.co.uk/dp/B07HQHZ636,5.5,4.583333333,12.99,10.825,1.95,3.05,2.165,0.916666667,5.825,1.248333333,4.076666667,0.889454545,11,0.376597383,,,,,,,,
