row_id,bucket,confidence,pack_ratio,adjusted_profit,is_exact_ean_strict,brand_match,product_match,trap_flags,evidence_pointer
66,NEEDS_VERIFICATION,52,1.0,24.3983333333333,False,False,False,,evidence.jsonl:row_66
67,NEEDS_VERIFICATION,52,1.0,21.265,False,False,False,,evidence.jsonl:row_67
68,NEEDS_VERIFICATION,52,1.0,22.9683333333333,False,False,False,,evidence.jsonl:row_68
69,NEEDS_VERIFICATION,52,1.0,23.2583333333333,False,False,False,,evidence.jsonl:row_69
70,NEEDS_VERIFICATION,52,1.0,38.8383333333333,False,False,False,,evidence.jsonl:row_70
71,NEEDS_VERIFICATION,52,1.0,26.9383333333333,False,False,False,,evidence.jsonl:row_71
72,NEEDS_VERIFICATION,52,5.0,16.14,False,False,False,,evidence.jsonl:row_72
73,NEEDS_VERIFICATION,52,1.0,28.105,False,False,False,,evidence.jsonl:row_73
74,NEEDS_VERIFICATION,52,1.0,18.9766666666666,False,False,False,,evidence.jsonl:row_74
75,NEEDS_VERIFICATION,52,1.0,26.1054166666666,False,False,False,,evidence.jsonl:row_75
76,NEEDS_VERIFICATION,52,4.416666666666667,16.83,False,False,False,,evidence.jsonl:row_76
77,NEEDS_VERIFICATION,52,1.0,14.2912499999999,False,False,False,,evidence.jsonl:row_77
78,NEEDS_VERIFICATION,67,1.0,7.65791666666666,False,False,True,,evidence.jsonl:row_78
79,NEEDS_VERIFICATION,52,1.0,110.059583333333,False,False,False,,evidence.jsonl:row_79
80,NEEDS_VERIFICATION,52,1.0,16.0716666666666,False,False,False,,evidence.jsonl:row_80
81,FILTERED_OUT,70,106.0,-72.36,False,False,False,,evidence.jsonl:row_81
82,NEEDS_VERIFICATION,52,1.0,24.1183333333333,False,False,False,,evidence.jsonl:row_82
83,NEEDS_VERIFICATION,47,2.0,22.52,False,False,False,,evidence.jsonl:row_83
84,NEEDS_VERIFICATION,52,1.0,18.705,False,False,False,,evidence.jsonl:row_84
85,NEEDS_VERIFICATION,47,1.0,38.055,False,False,False,,evidence.jsonl:row_85
86,NEEDS_VERIFICATION,50,1.0,20.11625,False,False,False,,evidence.jsonl:row_86
87,NEEDS_VERIFICATION,52,1.0,12.9249999999999,False,False,False,,evidence.jsonl:row_87
88,NEEDS_VERIFICATION,52,1.0,22.015,False,False,False,,evidence.jsonl:row_88
89,NEEDS_VERIFICATION,52,1.0,22.6383333333333,False,False,False,,evidence.jsonl:row_89
90,NEEDS_VERIFICATION,52,1.0,24.0191666666666,False,False,False,,evidence.jsonl:row_90
91,NEEDS_VERIFICATION,52,6.0,11.14,False,False,False,,evidence.jsonl:row_91
92,NEEDS_VERIFICATION,52,1.0,19.0483333333333,False,False,False,,evidence.jsonl:row_92
93,NEEDS_VERIFICATION,52,10.0,9.91,False,False,False,,evidence.jsonl:row_93
94,NEEDS_VERIFICATION,52,1.0,21.965,False,False,False,,evidence.jsonl:row_94
95,NEEDS_VERIFICATION,67,8.0,9.37,False,False,True,,evidence.jsonl:row_95
96,NEEDS_VERIFICATION,52,1.0,16.2216666666666,False,False,False,,evidence.jsonl:row_96
97,NEEDS_VERIFICATION,52,1.0,18.485,False,False,False,,evidence.jsonl:row_97
98,NEEDS_VERIFICATION,52,1.0,18.485,False,False,False,,evidence.jsonl:row_98
99,NEEDS_VERIFICATION,52,1.0,16.4816666666666,False,False,False,,evidence.jsonl:row_99
100,NEEDS_VERIFICATION,67,6.0,12.78,False,False,True,,evidence.jsonl:row_100
101,NEEDS_VERIFICATION,52,1.0,21.885,False,False,False,,evidence.jsonl:row_101
102,NEEDS_VERIFICATION,52,1.0,13.6616666666666,False,False,False,,evidence.jsonl:row_102
103,NEEDS_VERIFICATION,52,1.0,62.99625,False,False,False,,evidence.jsonl:row_103
104,NEEDS_VERIFICATION,52,1.0,62.99625,False,False,False,,evidence.jsonl:row_104
105,NEEDS_VERIFICATION,52,1.0,27.385,False,False,False,,evidence.jsonl:row_105
106,NEEDS_VERIFICATION,52,1.0,21.855,False,False,False,,evidence.jsonl:row_106
107,NEEDS_VERIFICATION,52,1.0,16.0262499999999,False,False,False,,evidence.jsonl:row_107
108,NEEDS_VERIFICATION,52,1.0,14.6616666666666,False,False,False,,evidence.jsonl:row_108
109,NEEDS_VERIFICATION,67,6.0,10.77,False,False,True,,evidence.jsonl:row_109
110,NEEDS_VERIFICATION,67,1.0,12.6116666666666,False,False,True,,evidence.jsonl:row_110
111,NEEDS_VERIFICATION,72,1.0,20.8866666666666,False,True,False,,evidence.jsonl:row_111
112,NEEDS_VERIFICATION,52,1.0,13.6416666666666,False,False,False,,evidence.jsonl:row_112
113,NEEDS_VERIFICATION,52,6.0,10.49,False,False,False,"dimension_trap,dimension_trap",evidence.jsonl:row_113
114,NEEDS_VERIFICATION,52,1.0,12.7345833333333,False,False,False,,evidence.jsonl:row_114
115,NEEDS_VERIFICATION,47,2.0,21.7,False,False,False,,evidence.jsonl:row_115
116,NEEDS_VERIFICATION,52,1.0,13.6016666666666,False,False,False,,evidence.jsonl:row_116
117,NEEDS_VERIFICATION,52,1.0,14.2616666666666,False,False,False,,evidence.jsonl:row_117
118,NEEDS_VERIFICATION,52,1.0,14.5816666666666,False,False,False,,evidence.jsonl:row_118
119,NEEDS_VERIFICATION,52,1.0,12.02625,False,False,False,,evidence.jsonl:row_119
120,NEEDS_VERIFICATION,52,1.0,20.7383333333333,False,False,False,,evidence.jsonl:row_120
121,NEEDS_VERIFICATION,52,1.0,21.685,False,False,False,,evidence.jsonl:row_121
122,NEEDS_VERIFICATION,52,3.0,12.57,False,False,False,,evidence.jsonl:row_122
123,NEEDS_VERIFICATION,52,1.0,21.065,False,False,False,,evidence.jsonl:row_123
124,NEEDS_VERIFICATION,47,1.0,14.5049999999999,False,False,False,,evidence.jsonl:row_124
125,NEEDS_VERIFICATION,52,1.0,23.505,False,False,False,,evidence.jsonl:row_125
126,NEEDS_VERIFICATION,52,1.0,19.1216666666666,False,False,False,,evidence.jsonl:row_126
127,NEEDS_VERIFICATION,52,1.0,18.3616666666666,False,False,False,,evidence.jsonl:row_127
128,NEEDS_VERIFICATION,67,1.0,17.7612499999999,False,False,True,,evidence.jsonl:row_128
129,NEEDS_VERIFICATION,52,1.0,15.7216666666666,False,False,False,,evidence.jsonl:row_129
130,NEEDS_VERIFICATION,52,1.0,21.545,False,False,False,,evidence.jsonl:row_130
131,NEEDS_VERIFICATION,52,1.0,14.7116666666666,False,False,False,quantity_inside,evidence.jsonl:row_131
132,NEEDS_VERIFICATION,52,1.0,12.1716666666666,False,False,False,,evidence.jsonl:row_132
133,NEEDS_VERIFICATION,52,1.0,13.0049999999999,False,False,False,,evidence.jsonl:row_133
134,NEEDS_VERIFICATION,52,1.0,14.01,False,False,False,,evidence.jsonl:row_134
135,NEEDS_VERIFICATION,67,6.0,7.62,False,False,True,,evidence.jsonl:row_135
136,NEEDS_VERIFICATION,52,1.0,18.0716666666666,False,False,False,,evidence.jsonl:row_136
137,NEEDS_VERIFICATION,52,1.0,11.29,False,False,False,,evidence.jsonl:row_137
138,NEEDS_VERIFICATION,52,1.0,13.1983333333333,False,False,False,,evidence.jsonl:row_138
139,NEEDS_VERIFICATION,62,4.0,11.15,False,False,True,,evidence.jsonl:row_139
140,NEEDS_VERIFICATION,67,12.0,1.5,False,False,True,,evidence.jsonl:row_140
141,NEEDS_VERIFICATION,67,1.0,6.97333333333333,False,False,True,"dimension_trap,dimension_trap,dimension_trap",evidence.jsonl:row_141
142,NEEDS_VERIFICATION,52,1.0,106.259583333333,False,False,False,,evidence.jsonl:row_142
143,NEEDS_VERIFICATION,52,1.0,12.4845833333333,False,False,False,,evidence.jsonl:row_143
144,NEEDS_VERIFICATION,52,3.0,10.43,False,False,False,,evidence.jsonl:row_144
145,FILTERED_OUT,70,24.0,-7.22,False,True,True,,evidence.jsonl:row_145
146,NEEDS_VERIFICATION,52,1.0,12.3616666666666,False,False,False,,evidence.jsonl:row_146
147,NEEDS_VERIFICATION,67,4.0,9.23,False,False,True,,evidence.jsonl:row_147
148,NEEDS_VERIFICATION,52,1.0,10.6516666666666,False,False,False,,evidence.jsonl:row_148
149,NEEDS_VERIFICATION,67,12.0,1.11,False,False,True,,evidence.jsonl:row_149
150,NEEDS_VERIFICATION,52,1.0,10.5295833333333,False,False,False,,evidence.jsonl:row_150
151,NEEDS_VERIFICATION,67,1.0,11.8483333333333,False,False,True,,evidence.jsonl:row_151
152,NEEDS_VERIFICATION,52,4.0,8.75,False,False,False,,evidence.jsonl:row_152
153,NEEDS_VERIFICATION,52,1.0,18.3683333333333,False,False,False,,evidence.jsonl:row_153
154,NEEDS_VERIFICATION,52,1.0,23.355,False,False,False,,evidence.jsonl:row_154
155,NEEDS_VERIFICATION,50,1.0,12.0016666666666,False,False,False,,evidence.jsonl:row_155
156,NEEDS_VERIFICATION,52,1.0,17.925,False,False,False,,evidence.jsonl:row_156
157,NEEDS_VERIFICATION,47,1.0,10.3616666666666,False,False,False,,evidence.jsonl:row_157
158,NEEDS_VERIFICATION,47,1.0,37.3616666666666,False,False,False,,evidence.jsonl:row_158
159,NEEDS_VERIFICATION,67,1.0,11.7116666666666,False,False,True,,evidence.jsonl:row_159
160,NEEDS_VERIFICATION,67,1.0,11.7116666666666,False,False,True,,evidence.jsonl:row_160
161,NEEDS_VERIFICATION,52,1.0,11.1966666666666,False,False,False,,evidence.jsonl:row_161
162,NEEDS_VERIFICATION,52,1.0,12.8883333333333,False,False,False,,evidence.jsonl:row_162
163,NEEDS_VERIFICATION,52,1.0,14.2195833333333,False,False,False,,evidence.jsonl:row_163
164,NEEDS_VERIFICATION,52,1.0,11.965,False,False,False,,evidence.jsonl:row_164
165,NEEDS_VERIFICATION,50,1.0,11.965,False,False,False,,evidence.jsonl:row_165
166,NEEDS_VERIFICATION,52,1.0,11.0679166666666,False,False,False,,evidence.jsonl:row_166
167,NEEDS_VERIFICATION,67,1.0,10.4112499999999,False,False,True,,evidence.jsonl:row_167
168,NEEDS_VERIFICATION,67,1.0,13.7316666666666,False,False,True,,evidence.jsonl:row_168
169,NEEDS_VERIFICATION,72,2.0,9.48,False,True,False,,evidence.jsonl:row_169
170,NEEDS_VERIFICATION,52,1.0,9.16291666666666,False,False,False,,evidence.jsonl:row_170
171,NEEDS_VERIFICATION,52,1.0,26.3583333333333,False,False,False,,evidence.jsonl:row_171
172,NEEDS_VERIFICATION,52,1.0,10.82,False,False,False,,evidence.jsonl:row_172
173,NEEDS_VERIFICATION,52,1.0,21.6741666666666,False,False,False,,evidence.jsonl:row_173
