Supplier_Title,Amazon_Title,ASIN,EAN,Match_Type,Tier,Confidence_Score,EAN_Exact_Match,Sales,Net_Profit,ROI,Supplier_Price,Amazon_Price,Bucket,Inclusion_Reason,Confidence,Validation_Required,Priority,Similarity,Unit_Qty_Flag,Unit_Qty_Note,Category,Supplier_URL,Amazon_URL,FBA_Sellers,Dashboard_Flags
ASHLEY WOODEN SPOONS 3PC,3pc Wooden Cooking Spoons Set - 3 Sizes - Large Medium Small Kitchen Serving Mixing Baking Stirring Utensils - by Ashley,B0CHZ4XTJ1,5017403116615,EAN,T1,40,TRUE,Unknown,1.69,108.5740265,1.2096,7.99,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.24,MATCH,,Other,https://www.efghousewares.co.uk/ashley-wooden-spoons-3pc,https://www.amazon.co.uk/dp/B0CHZ4XTJ1,,BRAND_MISMATCH
ASHLEY TIN OPENER METAL,1x Metal Can Opener - Manual Butterfly Kitchen Tin Bottle Jar Lid Remover Tool - by Ashley,B0CJ3D67KT,5017403117193,EAN,T1,40,TRUE,Unknown,1.68,108.1193838,1.2096,7.98,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.27,MATCH,,Other,https://www.efghousewares.co.uk/ashley-tin-opener-metal,https://www.amazon.co.uk/dp/B0CJ3D67KT,,BRAND_MISMATCH
WHAM STUDIO BASKET GREY 11.01,Wham 11.01 20cm Rectangular Home Studio Storage Basket (Grey),B08CHHJ1WT,5038135259272,EAN,T1,80,TRUE,Unknown,1.66,117.9078014,1.032,7.74,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.51,MATCH,,Plastic Storage Boxes,https://www.efghousewares.co.uk/wham-studio-basket-grey-11-01,https://www.amazon.co.uk/dp/B08CHHJ1WT,,
ENERGIZER LED GLS 12.5W D/L E27 BULB EACH,Energizer LED - GLS Daylight Bulb E27 Edison Screw - 12.5w (Eq 100w),B01FJSJU8A,5050028090885,EAN,T1,80,TRUE,Unknown,1.64,81.67495854,1.752,8.99,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.46,MATCH,,Light Bulbs,https://www.efghousewares.co.uk/energizer-led-gls-12-5w-d-l-e27-bulb-each,https://www.amazon.co.uk/dp/B01FJSJU8A,,
TRICIRCLE COMBINATION PADLOCKS 40ML,40mm Steel Combination Padlock - 3 Number,B008ESLXCO,6901750818058,EAN,T1,40,TRUE,Unknown,1.64,56.63206459,2.808,8.9,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.63,MATCH,,Tri Circle,https://www.efghousewares.co.uk/tricircle-combination-padlocks-40ml,https://www.amazon.co.uk/dp/B008ESLXCO,,BRAND_MISMATCH
DEKTON PRECISION SCREWDRIVER 11PC SET,Dekton 11pc Precision Screwdriver - Anti Slip Handle With Rotating Cap For Ease Of Use And Precise Control| Accurately Machined For Ultimate Fit| Handy Storage Case| Includes 3 Phillips And 8 Flats,B00Q56YKF4,5055441413914,EAN,T1,60,TRUE,Unknown,1.63,91.66666667,1.476,6.95,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.28,MATCH,,Dekton,https://www.efghousewares.co.uk/dekton-precision-screwdriver-11pc-set,https://www.amazon.co.uk/dp/B00Q56YKF4,Available (see Keepa data),
EXITEX BRUSH STRIP PVC 914MM WHITE,"White PVC Brush Strip Draught Excluder 914mm – Door Bottom Seal with 18mm Bristles, Noise & Dust Stopper, Includes Screws",B01N2H1F7N,5016570002134,EAN,T1,60,TRUE,Unknown,1.6,58.66910867,2.616,11.99,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.36,MATCH,,Exitex,https://www.efghousewares.co.uk/exitex-brush-strip-pvc-914mm-white-107220,https://www.amazon.co.uk/dp/B01N2H1F7N,,BRAND_MISMATCH
GREEN BLADE HAND FORK WITH WOODEN HANDLE,Green Blade - Cushion Grip Handle Hand Fork - Brown,B000O9GML8,5017403012313,EAN,T1,80,TRUE,Unknown,1.59,132.3611111,0.78,7.99,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.53,MATCH,,Tools & Accessories,https://www.efghousewares.co.uk/green-blade-hand-fork-with-wooden-handle,https://www.amazon.co.uk/dp/B000O9GML8,,
FORTUNE EDT 100ML POUR HOMME EACH,Spring Flower Ladies Perfume 100ml Fragrance Natural spray,B008HSO1J8,5055170260087,EAN,T1,40,TRUE,Unknown,1.59,58.82134915,2.5776,9.99,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.35,MATCH,,Other,https://www.efghousewares.co.uk/fortune-edt-100ml-pour-homme-each-110041,https://www.amazon.co.uk/dp/B008HSO1J8,,BRAND_MISMATCH
DEKTON CAULKING GUN,"Dekton Caulking Gun: Heavy-Duty Sealant & Adhesive Applicator with Metal Frame, Hexagon Rod, Plunger Handle, and Release Lever for Easy and Precise Application in Home and Professional Projects",B07BFZ8997,5055441429984,EAN,T1,60,TRUE,Unknown,1.58,57.997558,2.616,10,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.18,MATCH,,Dekton,https://www.efghousewares.co.uk/dekton-caulking-gun-25-9,https://www.amazon.co.uk/dp/B07BFZ8997,Available (see Keepa data),
LAV KLASIK GLASS TEA GLASS 115ML 6 PACK,Set 6 PCS Traditional USEABLE Turkish MOROCCAN OLD Persian Eastern Tea Glasses,B000WPO4YQ,8692952000263,EAN,T1,40,TRUE,Unknown,1.58,84.30851064,1.596,9.99,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.29,MATCH,,Drinking Glasses,https://www.efghousewares.co.uk/lav-klasik-glass-tea-glass-pk6,https://www.amazon.co.uk/dp/B000WPO4YQ,,BRAND_MISMATCH
RUSTINS SMALL JOB GLOSS 250ML MAGNOLIA,Rustins GPMG250 250ml Small Job - Magnolia,B00446VS5M,5015332260072,EAN,T1,95,TRUE,Unknown,1.57,35.67649282,4.632,12.34,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.68,MATCH,,Rustins Ltd,https://www.efghousewares.co.uk/rustins-small-job-gloss-250ml-magnolia,https://www.amazon.co.uk/dp/B00446VS5M,,
MATCHO EDT 100ML FOR MEN EACH,MATCHO FOR MEN(D),B09MZQ7V1D,5055170260193,EAN,T1,60,TRUE,Unknown,1.57,58.20360761,2.5776,10.99,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.61,MATCH,,Other,https://www.efghousewares.co.uk/matcho-edt-100ml-for-men-each-110045,https://www.amazon.co.uk/dp/B09MZQ7V1D,,
GLAMOUR CONNECTION MICROFIBRE HAIR WRAP,"XOXO Tie Dye Fleece Hair Drying Wrap (1 Pc.) - Assorted Blue, Orange, Pink, Rainbow Turban Towel, Perfect for Effortless Drying",B0CWS5GDMZ,5050565605450,EAN,T1,40,TRUE,Unknown,1.57,51.3029316,3.024,9.33,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.17,MATCH,,Bathroom   Cosmetics   Beauty,https://www.efghousewares.co.uk/glamour-connection-microfibre-hair-wrap-108673,https://www.amazon.co.uk/dp/B0CWS5GDMZ,,BRAND_MISMATCH
WHAM STUDIO BASKET GREY 12.01,Wham 12.01 40cm Rectangular Home Studio Storage Basket (Grey),B08CHLZ9C2,5038135259524,EAN,T1,80,TRUE,Unknown,1.51,87.01830443,1.416,7.97,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.51,MATCH,,Plastic Storage Boxes,https://www.efghousewares.co.uk/wham-studio-basket-grey-12-01,https://www.amazon.co.uk/dp/B08CHLZ9C2,,
WOODEN NAIL BRUSHES 2PC,Health & Beauty Wooden Nail Brushes 2 Pack,B0CGXQS8C5,5056239472045,EAN,T1,60,TRUE,Unknown,1.51,108.8129496,1.008,7.5,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.71,MATCH,,Bathroom   Cosmetics   Beauty,https://www.efghousewares.co.uk/wooden-nail-brushes-2pc-97511,https://www.amazon.co.uk/dp/B0CGXQS8C5,,BRAND_MISMATCH
JUST STATIONERY DOUBLE SIDED TAPE SET,Just stationery Double Sided Tape and Squares Set,B00DOUN8IE,5013922061559,EAN,T1,95,TRUE,Unknown,1.5,106.9662387,1.0224,6.59,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.86,MATCH,,Other,https://www.efghousewares.co.uk/just-stationery-double-sided-tape-set,https://www.amazon.co.uk/dp/B00DOUN8IE,,
NAGCHAMPA INCENSE LARGE,JRose Collections Wooden Nagchampa Incense Joss Stick Cone Holder Smoke Box Made by Rosewood with 10 Satya Incense Sticks,B0BX72TDJD,5024418350699,EAN,T1,40,TRUE,Unknown,1.5,51.89655172,2.82,10.83,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.31,MATCH,,Incense   Oils   Diffusers,https://www.efghousewares.co.uk/nagchampa-incense-large,https://www.amazon.co.uk/dp/B0BX72TDJD,,BRAND_MISMATCH
PAN AROMA CANDLE TALL WILD BERRIES  EACH,Pan Aroma Scented Candle - Wild Berries - fragrance fragranced scent smell smelly,B07HKGYM9Q,5053249217604,EAN,T1,80,TRUE,Unknown,1.49,102.8735632,1.08,7.49,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.58,MATCH,,Candles Air Fresheners Diffuse,https://www.efghousewares.co.uk/pan-aroma-candle-tall-wild-berries-each,https://www.amazon.co.uk/dp/B07HKGYM9Q,,
ROLSON BRADWL 75MM SOFT GRIP HANDLE,Rolson 48570 Bradawl 75mm Soft Handle,B0BTMJYT3Q,5029594485708,EAN,T1,95,TRUE,Unknown,1.48,115.7552083,0.876,8.99,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.83,MATCH,,Rolson Tools,https://www.efghousewares.co.uk/rolson-bradwl-75mm-soft-grip-handle-106842,https://www.amazon.co.uk/dp/B0BTMJYT3Q,,
EXITEX BRUSH STRIP 914MM MILL,Door Draught Excluder Brush Strip 914mm – Aluminium Mill Finish Draft Stopper Seal with Hard-Wearing Polypropylene Bristles,B005DR1RMA,5016570002110,EAN,T1,40,TRUE,Unknown,1.48,40.19073569,3.744,12.99,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.34,MATCH,,Exitex,https://www.efghousewares.co.uk/exitex-brush-strip-914mm-mill-107218,https://www.amazon.co.uk/dp/B005DR1RMA,Available (see Keepa data),BRAND_MISMATCH
PAN AROMA LAVA GEL CRYSTAL 150G VANILLA AND COCONUT,Lava Gel Crystal Air Freshener French Vanilla,B00F4LBW6Q,5053249003894,EAN,T1,60,TRUE,Unknown,1.47,86.68639053,1.368,8.49,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.52,MATCH,,Other,https://www.efghousewares.co.uk/pan-aroma-lava-gel-crystal-150g-vanilla-and-coconut-111150,https://www.amazon.co.uk/dp/B00F4LBW6Q,,BRAND_MISMATCH
LAV BUTTER DISH 405CC,LAV -- 145010,B08MJSBZY4,8692952200700,EAN,T1,60,TRUE,Unknown,1.47,74.70389171,1.704,8.99,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.41,MATCH,,Glass Storage Cookware,https://www.efghousewares.co.uk/lav-buter-dish-405cc-112093,https://www.amazon.co.uk/dp/B08MJSBZY4,,
SMART CHOICE COLLAR FABRIC LRG ASSTD,Smart choice dog collar,B08T7R9KDP,5052516106443,EAN,T1,80,TRUE,Unknown,1.46,100.6609195,1.08,7.51,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.64,MATCH,,Dog Products,https://www.efghousewares.co.uk/smart-choice-collar-fabric-lrg-asstd,https://www.amazon.co.uk/dp/B08T7R9KDP,,
BLUE CANYON STORAGE BASKET PLASTIC WOODEN HANDLE WHITE SMALL,"Storage Basket Wooden (White, Small)",B0DY83YY59,5056295709987,EAN,T1,75,TRUE,Unknown,1.46,81.76498127,1.476,7.97,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.69,MATCH,,Plastic Storage Boxes,https://www.efghousewares.co.uk/blue-canyon-storage-basket-plastic-wooden-handle-white-small-121265,https://www.amazon.co.uk/dp/B0DY83YY59,,BRAND_MISMATCH
SMART SOLAR LIGHT BUTTERFLY FIREFLY 30LED,30 Butterfly Firefly Solar String Lights,B084P99MLJ,5050642049528,EAN,T1,60,TRUE,Unknown,1.46,23.14741561,6.924,14.39,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.49,MATCH,,Lighting,https://www.efghousewares.co.uk/smart-solar-light-butterfly-firefly-30led,https://www.amazon.co.uk/dp/B084P99MLJ,,BRAND_MISMATCH
SIGNATURE SILVER RECTANGULAR BOWL,Thumbs Up Rectangle Bowl Platinum,B007R2FIOW,5014348251272,EAN,T1,40,TRUE,Unknown,1.46,83.02556818,1.452,7.95,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.48,MATCH,,Plastic Kitchenware,https://www.efghousewares.co.uk/signature-silver-rect-bowl,https://www.amazon.co.uk/dp/B007R2FIOW,,BRAND_MISMATCH
AMTECH TIE DOWN STRAPS 2PC 2.5MX25MM,Amtech S0702 2 Piece Tie down strap set (250cm),B0156NFW08,5032759043033,EAN,T1,80,TRUE,Unknown,1.45,42.24806202,3.468,10.72,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.63,MATCH,,Amtech Tools,https://www.efghousewares.co.uk/amtech-tie-down-straps-2pc-2-5mx25mm,https://www.amazon.co.uk/dp/B0156NFW08,,
STRONG AS AN OX REMOVABLE HOOK CHROME  4PC,Strong as an Ox Smart Hooks Set of 4 Silver,B07WK39TC7,5055319529129,EAN,T1,60,TRUE,Unknown,1.45,96.80555556,1.14,7.57,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.61,MATCH,,Diy   Tools,https://www.efghousewares.co.uk/strong-as-an-ox-removable-hook-chrome-4pc-111510,https://www.amazon.co.uk/dp/B07WK39TC7,,
RHINO LABEL CARPET TAPE D/S 50MMX25M,50mmx25m ROLL DOUBLE SIDED PVC ADHESIVE CARPET TAPE NEW,B008KYD1UO,5027785808848,EAN,T1,60,TRUE,Unknown,1.45,46.32587859,3.096,10.68,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.37,MATCH,,Ultratape,https://www.efghousewares.co.uk/rhino-label-carpet-tape-d-s-50mmx25m,https://www.amazon.co.uk/dp/B008KYD1UO,,BRAND_MISMATCH
AMTECH HOOK JUMBO ALUMINIUM,Amtech S4315 Jumbo Aluminium Hook,B005E6YSB2,5032759024735,EAN,T1,95,TRUE,Unknown,1.44,69.90291262,1.812,7.44,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.77,MATCH,,Amtech Tools,https://www.efghousewares.co.uk/amtech-hook-jumbo-aluminium,https://www.amazon.co.uk/dp/B005E6YSB2,,
ACCTIM CAMILLE SAGE ALARM CLOCK,Acctim Camille Analogue Alarm Clock Quartz Luminous Hands Chrome Bezel (Sage),B0C5JWKYMF,5012562154652,EAN,T1,80,TRUE,Unknown,1.44,18.36951894,8.736,17.95,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.56,MATCH,,Clocks,https://www.efghousewares.co.uk/acctim-camille-sage-alarm-clock-121996,https://www.amazon.co.uk/dp/B0C5JWKYMF,Available (see Keepa data),
PRODEC BLACK HANDLE CAGE FRAME 9in,"Plastic Roller Cage Frame 9"" Push Fit Roller Frame Plastic Handle",B086SFJWP8,5019200237906,EAN,T1,60,TRUE,Unknown,1.41,57.68707483,2.28,8.56,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.42,MATCH,,Fit For Job   Prodec Blackrock,https://www.efghousewares.co.uk/prodec-black-handle-cage-frame-9in,https://www.amazon.co.uk/dp/B086SFJWP8,,BRAND_MISMATCH
WHAM CASA BLACK SQUARE BOWL 32CM,Wham Casa 32cm Square Bowl (Black),B0FC32FL4C,5038135172083,EAN,T1,95,TRUE,Unknown,1.38,73.7745098,1.584,7.99,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.76,MATCH,,Plastic Kitchenware,https://www.efghousewares.co.uk/wham-casa-black-square-bowl-32cm-120798,https://www.amazon.co.uk/dp/B0FC32FL4C,,
BEE RATTLE 3MONTHS +,Bee Baby Teething Toy | Aged 3 Months + | Baby Toys,B07HQNN87H,5033849554484,EAN,T1,60,TRUE,Unknown,1.36,58.19088319,2.148,9.29,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.51,MATCH,,Nursery Baby,https://www.efghousewares.co.uk/bee-rattle-3months-,https://www.amazon.co.uk/dp/B07HQNN87H,Available (see Keepa data),
PAN AROMA BATH OIL W/BATH BOMB - VANILLA & COCONUT GIFT SET,Bath Oil & Bath Bomb Gift Set Vanilla Coconut Chamomile Jasmin Scent Elysium Spa,B0CLVSG1FK,5053249262703,EAN,T1,60,TRUE,Unknown,1.35,51.71755725,2.484,8.79,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.58,MATCH,,Bathroom   Cosmetics   Beauty,https://www.efghousewares.co.uk/pan-aroma-bath-oil-w/bath-bomb-vanilla-coconut-gift-set-104128,https://www.amazon.co.uk/dp/B0CLVSG1FK,,BRAND_MISMATCH
NEON COLOURING SET,Neon Colouring Craft Set - 100 Page Colouring Book & 8 Neon Markers Colourful Marker Pens - Kids Beginners Artist & Crafter Kit,B0DTTQJ73M,5015934803813,EAN,T1,60,TRUE,Unknown,1.35,40.76305221,3.324,10,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.25,MATCH,,Craft,https://www.efghousewares.co.uk/neon-colouring-set-118509,https://www.amazon.co.uk/dp/B0DTTQJ73M,,
ALLIGATOR PRESCHOOL LEARNING STICKER B00KS,Pre-school Sticker Books,1842391011,9781842391013,EAN,T1,40,TRUE,Unknown,1.35,71.41851461,1.6128,7.28,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.64,MATCH,,Other,https://www.efghousewares.co.uk/alligator-preschool-sticker-b00ks,https://www.amazon.co.uk/dp/1842391011,,BRAND_MISMATCH
COUNTRY CLUB PEVA TABLECLOTH NETURAL CHECK 132X178CM,COUNTRY CLUB Country Club Natural Check PEVA Tablecloth 132cm x 178cm,B0CM6QQVTW,5023674221163,EAN,T1,95,TRUE,Unknown,1.34,41.57108907,3.2112,9.85,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.63,MATCH,,Other,https://www.efghousewares.co.uk/countryclub-peva-tablecloth-netural-check-132x178cm-116526,https://www.amazon.co.uk/dp/B0CM6QQVTW,,
BLUE CANYON STORAGE BASKET PLASTIC WOODEN HANDLE GREY MEDIUM,"Storage Basket Wooden (Grey, Medium)",B0DY7Y5J44,5056295709994,EAN,T1,75,TRUE,Unknown,1.34,60.41666667,2.004,8.43,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.69,MATCH,,Plastic Storage Boxes,https://www.efghousewares.co.uk/blue-canyon-storage-basket-plastic-wooden-handle-grey-medium-121264,https://www.amazon.co.uk/dp/B0DY7Y5J44,,BRAND_MISMATCH
SECURIT CHAIN PRE-CUT 3MMX16MMX1M,3mmx 1m Zinc Plated Oval Link Chain,B008D0O8V6,5019923157420,EAN,T1,40,TRUE,Unknown,1.33,62.6572327,1.884,7.33,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.24,MATCH,,Securit,https://www.efghousewares.co.uk/securit-chain-pre-cut-3mmx16mmx1m,https://www.amazon.co.uk/dp/B008D0O8V6,,BRAND_MISMATCH
PAN AROMA CANDLE TALL FLUFFY TOWEL EACH,Pan Aroma Scented Candle - Fluffy Towels - Fragrance fragranced Scent Smell Smelly,B07HK9GWCY,5053249217543,EAN,T1,80,TRUE,Unknown,1.32,91.14942529,1.08,7.25,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.56,MATCH,,Candles Air Fresheners Diffuse,https://www.efghousewares.co.uk/pan-aroma-candle-tall-fluffy-towel-each,https://www.amazon.co.uk/dp/B07HK9GWCY,,
WHITE LIES EDT 100ML FOR HER EACH,White Lies Womens Perfume e100ml Xmas Christmas Spray Giftset for Her,B07JNRBQ9G,5055170260469,EAN,T1,80,TRUE,Unknown,1.32,49.06103286,2.5776,8.99,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.51,MATCH,,Other,https://www.efghousewares.co.uk/white-lies-edt-100ml-for-her-each-109978,https://www.amazon.co.uk/dp/B07JNRBQ9G,,
DEKTON FLAT PRO SCREWDRIVER 5.500X100MM,Dekton Pro Flat Screwdriver 5.5mm x 100mm | CR-V Steel Construction | Magnetic Tip for Easy Screw Pick-Up | Non-Slip Rubber Handle for Improved Grip and Control | Ideal for DIY & Home Improvement,B0DH56JF5N,5055441446073,EAN,T1,60,TRUE,Unknown,1.32,87.88888889,1.14,7.45,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.28,MATCH,,Dekton,https://www.efghousewares.co.uk/dekton-flat-pro-screwdriver-5-500x100mm,https://www.amazon.co.uk/dp/B0DH56JF5N,,
HOBBY RATTAN PEDAL BIN 3 LTR,HOBBY LIFE 3 Litre Plastic No 0 Rattan Pedal Dustbin,B00KWFEC0W,8694064011694,EAN,T1,80,TRUE,Unknown,1.29,32.375,4.14,12.99,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.55,MATCH,,Plastic Kitchenware,https://www.efghousewares.co.uk/hobby-rattan-pedal-bin-3-ltr,https://www.amazon.co.uk/dp/B00KWFEC0W,,
OXFORD LOCK CABLE 1.8M X 12MM GOLD,Oxford Cable Bike Lock,B002R8HLNC,5030009002489,EAN,T1,80,TRUE,Unknown,1.29,23.26702833,5.976,12.98,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.54,MATCH,,Oxford Products,https://www.efghousewares.co.uk/oxford-lock-cable-1-8m-x-12mm-gold,https://www.amazon.co.uk/dp/B002R8HLNC,,
OXFORD COMBI COIL*12* 1.5MM X 12MM,"Oxford Lk204 Combi Lock, Smoke, 1.5m x 12mm",B079S5KVYC,5030009095047,EAN,T1,80,TRUE,Unknown,1.29,21.05691057,6.72,14.85,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.7,MATCH,,Oxford Products,https://www.efghousewares.co.uk/oxford-combi-coil-12-1-5mm-x-12mm,https://www.amazon.co.uk/dp/B079S5KVYC,,
HAMPER BASKET KIT 30 X 45,Dark Brown Rectangular Hamper Kit - 30cm x 45cm (1 Set) - Including Wood Wool & Ribbon Bow - Perfect for Gifting and Special Occasions,B01MTKUJTB,5050565218230,EAN,T1,40,TRUE,Unknown,1.29,233.9393939,0,9.5,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.23,MATCH,,Gift Bags Boxes Wrap,https://www.efghousewares.co.uk/hamper-basket-kit-30-x-45-117344,https://www.amazon.co.uk/dp/B01MTKUJTB,,BRAND_MISMATCH
MEMORIAL GARDEN STONE,Roots & Shoots Multicolor Assorted Design Polystone Memorial Garden Stone - (16x16cm) 1 Piece - Ideal for Outdoor Decor & Remembrance,B0CXG7NZ21,5050565568151,EAN,T1,40,TRUE,Unknown,1.29,97.6010101,0.924,6.55,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.27,MATCH,,Memorial,https://www.efghousewares.co.uk/memorial-garden-stone-120058,https://www.amazon.co.uk/dp/B0CXG7NZ21,,BRAND_MISMATCH
VPL DOUBLE COLOUR RECT BOWL,Tie Dye Design 37x31cm Rectangular Reusable Plastic Washing Up Bowl Basin Kitchen (Black),B071Z65VR5,8904051806678,EAN,T1,40,TRUE,Unknown,1.27,65.19230769,1.68,7.95,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.26,MATCH,,Plastic Kitchenware,https://www.efghousewares.co.uk/vpl-double-colour-rect-bowl,https://www.amazon.co.uk/dp/B071Z65VR5,,BRAND_MISMATCH
RUSTINS SMALL JOB GLOSS 250ML CHOCOLATE,Rustins GPCH250 250ml Small Job - Chocolate,B001GU6HFU,5015332300426,EAN,T1,95,TRUE,Unknown,1.25,28.45804989,4.632,12.45,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.68,MATCH,,Rustins Ltd,https://www.efghousewares.co.uk/rustins-small-job-gloss-250ml-chocolate,https://www.amazon.co.uk/dp/B001GU6HFU,,
SECURIT 3 LEVER DEAD LOCK NP 63MM,"Securit S1816 3 Lever Dead Lock NP 63mm, Black",B01MUYVST3,5019923118162,EAN,T1,95,TRUE,Unknown,1.25,20.5801861,6.648,14.38,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.84,MATCH,,Securit,https://www.efghousewares.co.uk/securit-3-lever-dead-lock-np-63mm,https://www.amazon.co.uk/dp/B01MUYVST3,,
KINGFISHER RACHET BYPASS LOPPER,Kingfisher RC203 Pro Gold Deluxe Telescopic Ratchet Bypass Lopper - Multi-Colour,B007N4OZFC,5013478131997,EAN,T1,80,TRUE,Unknown,1.25,7.542799597,19.2,34.99,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.56,MATCH,,Tools & Accessories,https://www.efghousewares.co.uk/kingfisher-rachet-bypass-lopper,https://www.amazon.co.uk/dp/B007N4OZFC,,
OXFORD LOCK CABLE LOCK 1.8MX12MM BLUE,"Oxford Cable Bike Lock, 12mm x 1.8m - Blue",B001IGV45A,5030009002458,EAN,T1,95,TRUE,Unknown,1.24,22.39300784,5.976,12.97,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.68,MATCH,,Oxford Products,https://www.efghousewares.co.uk/oxford-lock-cable-lock-1-8mx12mm-blue,https://www.amazon.co.uk/dp/B001IGV45A,,
WHAM CASA BLACK SWING BIN 50LTR,Wham Casa 50L Swing Bin (Black),B0FC6RBC9Z,5038135170867,EAN,T1,95,TRUE,Unknown,1.24,14.7673031,9.396,16.98,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.74,MATCH,,Plastic Kitchenware,https://www.efghousewares.co.uk/wham-casa-black-swing-bin-50ltr-120806,https://www.amazon.co.uk/dp/B0FC6RBC9Z,,
VPL DOUBLE COLOUR 7 LTR BUCKET & LID,Bucket With Lid 7ltr Dc,B00GX8VGHY,8904051800362,EAN,T1,40,TRUE,Unknown,1.24,63.37606838,1.68,7.9,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.37,MATCH,,Plastic Kitchenware,https://www.efghousewares.co.uk/vpl-double-colour-7-ltr-bucket-lid,https://www.amazon.co.uk/dp/B00GX8VGHY,,BRAND_MISMATCH
ROLSON BICYCLE REPAIR KIT 33PC,Rolson 40608 Puncture Repair Kit,B00MU31K7C,5029594406086,EAN,T1,80,TRUE,Unknown,1.22,101.6666667,0.78,5.82,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.65,MATCH,,Rolson Tools,https://www.efghousewares.co.uk/rolson-bicycle-repair-kit-33pc,https://www.amazon.co.uk/dp/B00MU31K7C,,
GEEPAS HAIR DRYER TWIN SPEED 1200W GHD86078UK,Geepas 1200W Powerful Hair Dryer | 2-Speed & 2 Temperature Setting | Mini Compact Hair Dryer for Frizz Free Shine & Elegant Concentrator | Portable – 2 Year Warranty,B0CNKML9HZ,6294015564822,EAN,T1,60,TRUE,Unknown,1.22,17.42370052,7.728,14.99,B,"T1 EAN match with positive margin, unknown sales",HIGH,No,LOW,0.26,MATCH,,Hair   Body,https://www.efghousewares.co.uk/geepas-hair-dryer-twin-speed-1200w-ghd86078uk-112795,https://www.amazon.co.uk/dp/B0CNKML9HZ,,
