SupplierTitle,AmazonTitle,match_type,EAN,EAN_OnPage,ASIN,bought_in_past_month,NetProfit,ROI,SellingPrice_incVAT,SupplierPrice_exVAT,bucket,inclusion_reason,confidence,verification_status,title_similarity,asin_product_count,supplier_category,SupplierURL,AmazonURL,ProfitMargin,Breakeven,fba_seller_count,fbm_seller_count,total_offer_count,validation_required,priority,price_ratio
PURE BREED RAWHIDE LARGE KNOT BONE,"HOWLERS 8"" Rawhide Dog Chew Treat Knotted Bones - Pack of 10",T2,5055566919407,,B017NNPY6Q,400.0,5.391666666666668,387.8896882494005,14.99,0.84,A,Proven demand with positive profit,LOW,VALIDATION_REQUIRED,0.1111111111111111,1,unknown,https://www.efghousewares.co.uk/pure-breed-rawhide-large-knot-bone,https://www.amazon.co.uk/dp/B017NNPY6Q,43.16210807204804,8.52,,,1.0,YES,HIGH,17.845238095238095
DEKTON HSS DRILL 13PC SET 2MM TO 8MM,"Bosch Professional 9pc PointTeQ Hex Drill Bit Set (for Metal, Ø: 2-8 mm, Total Length: 60-117 mm, ¼’’ Hex Shank, Accessory for Impact Drivers and Drill Drivers)",T1,5055441411873,6949509231673.0,B083HYF63J,200.0,5.388333333333335,158.01564027370483,15.49,2.86,A,Proven demand with positive profit,HIGH,VERIFIED,0.0476190476190476,1,unknown,https://www.efghousewares.co.uk/dekton-hss-drill-13pc-set-2mm-to-8mm,https://www.amazon.co.uk/dp/B083HYF63J,41.74306003873468,9.023999999999996,,,16.0,NO,HIGH,5.416083916083917
KIDS CREATE PUSH AND CREATE KIT,"Zoyrin Push-in Craft Kits for Kids–DIY Craft Kits Gifts for Girls & Boys Ages 4, 5, 6, 7, 8, 9, Mess-Free Craft Set with 800+ Fabric & Foam Pieces",T2,5012128618208,,B0FHBYHGFX,400.0,5.386333333333334,384.18925344745605,13.99,0.852,A,Proven demand with positive profit,LOW,VALIDATION_REQUIRED,0.0,1,unknown,https://www.efghousewares.co.uk/kids-create-push-and-create-kit-119256,https://www.amazon.co.uk/dp/B0FHBYHGFX,46.201572551822736,7.526399999999999,,,1.0,YES,HIGH,16.420187793427232
BIKE SADDLE COVER CUSHIONED,"Zacro Bike Seat Cushion Cover - Gel Padded Bike Seat Cover for Men Women, Extra Soft Exercise Bicycle Seat Compatible with Peloton, Outdoor & Indoor",T1,5017403096191,714953981896.0,B01H4OL8QE,800.0,5.376666666666668,440.7103825136613,12.74,0.67,A,Proven demand with positive profit,HIGH,VERIFIED,0.1176470588235294,1,unknown,https://www.efghousewares.co.uk/cushioned-bike-saddle-cover,https://www.amazon.co.uk/dp/B01H4OL8QE,50.64364207221351,6.287999999999999,,,1.0,NO,HIGH,19.01492537313433
PRIMA KNIFE SET 6PCE,"Kitchen Knife Set, 6 Piece Knife Set with Block, Stainless Steel Kitchen Knives for Chopping Chef, Utility,Bread, Filleting & Paring Tools.",T2,5038673131054,,B0FS1DYYPN,200.0,5.355833333333334,107.76324614352784,17.98,4.42,A,Proven demand with positive profit,LOW,VALIDATION_REQUIRED,0.0666666666666666,1,unknown,https://www.efghousewares.co.uk/prima-knife-set-6pce,https://www.amazon.co.uk/dp/B0FS1DYYPN,35.74527252502781,11.553,,,,YES,HIGH,4.067873303167421
CASA & CASA ELECTRONIC KITCHEN SCALE CUP CAKE,"Duronic Digital Kitchen Scale KS5000 Electronic Kitchen Scales with Bowl and Large Display 5kg Capacity Weighing Scales - Ideal Food Measurement, Baking scales, Pet Food, and parcel scales.",T2,5056295710631,,B0085L24RS,400.0,5.3495833333333325,83.58723958333333,19.99,5.85,A,Proven demand with positive profit,LOW,VALIDATION_REQUIRED,0.1363636363636363,1,unknown,https://www.efghousewares.co.uk/casa-casa-electronic-kitchen-scale-cup-cake-120686,https://www.amazon.co.uk/dp/B0085L24RS,32.11355677838919,13.5705,,,,YES,HIGH,3.417094017094017
ADORN MUG MARBLE SMALL 7.3X8CM ASSORTED,"Dirt Bike Gifts, Motocross 3D Night Light for Kids for Xmas Holiday Birthday Gifts for KidsMotorcycle Fan with Remote Control 16 Colors Changing + 4 Changing Mode + Dim Function",T1,6923456821293,727380548068.0,B085CCNXXB,100.0,5.333333333333335,383.6930455635492,14.44,0.84,A,Proven demand with positive profit,HIGH,VERIFIED,0.0,7,unknown,https://www.efghousewares.co.uk/adorn-mug-marble-small-7-3x8cm-assorted-118127,https://www.amazon.co.uk/dp/B085CCNXXB,44.321329639889214,8.04,,,1.0,NO,HIGH,17.19047619047619
HOME COLLECTION WHITE FRAME 8X10,"Icona Bay - 10x8 Picture Frames - White, 3 Pack - Sturdy Engineered Wood Photo Frames 10 x 8 - Sleek Design, Table Top or Wall Mount - Exclusives Collection",T1,5012128487255,5060771982337.0,B07N7CRKWK,100.0,5.311666666666667,318.063872255489,14.99,1.12,A,Proven demand with positive profit,HIGH,VERIFIED,0.0454545454545454,1,unknown,https://www.efghousewares.co.uk/home-collection-white-frame-8x10,https://www.amazon.co.uk/dp/B07N7CRKWK,42.52168112074717,8.616,,,1.0,NO,HIGH,13.383928571428571
BOWL STILO 13CM 600ML SURT VRM,"Wrova Reusable Plastic Bowl Sets 8 PCS Unbreakable Cereal Bowl 26 OZ Microwave and Dishwasher Safe Bowl Sets for Camping and Picnic Lightweight Kitchen Bowls for Serving Soup, Oatmeal and Fruit-Multi",T2,8414926516057,,B0F4XNL9DG,300.0,5.311250000000002,358.8682432432434,12.99,0.93,A,Proven demand with positive profit,LOW,VALIDATION_REQUIRED,0.0434782608695652,1,unknown,https://www.efghousewares.co.uk/bowl-stilo-13cm-600ml-assorted-vrm-118601,https://www.amazon.co.uk/dp/B0F4XNL9DG,49.0646651270208,6.616499999999999,,,,YES,HIGH,13.96774193548387
MOLLY DOLLY,Molly Dolly Baby Doll Set - 40cm Talking Doll With Feeding Accessories Set - Baby Dolls For Girls - Doll Suitable From 2 Years +,T1,6459650000009,702811633216.0,B01GIABQEO,600.0,5.306666666666668,126.65075576770089,18.5,3.64,A,Proven demand with positive profit,HIGH,VERIFIED,0.1333333333333333,1,unknown,https://www.efghousewares.co.uk/molly-dolly-120373,https://www.amazon.co.uk/dp/B01GIABQEO,34.421621621621625,12.132,,,1.0,NO,HIGH,5.082417582417582
FOOD CONTAINER ASSORTED,"YASHE Food Storage Containers 16PCS (8 Containers + 8 Lids), Airtight Plastic Food Containers with Lids, Leak-Proof, BPA Free, Microwave & Freezer Safe, 0.24-1.5L",T2,5056239417091,,B0CPPNK7RB,500.0,5.306666666666667,314.00394477317553,13.28,1.14,A,Proven demand with positive profit,LOW,VALIDATION_REQUIRED,0.0526315789473684,1,unknown,https://www.efghousewares.co.uk/food-container-asstd-97078,https://www.amazon.co.uk/dp/B0CPPNK7RB,47.95180722891567,6.912,,,,YES,HIGH,11.649122807017545
INFRARED HAND SENSOR HELICOPTER,"UFO Mini Drone, Kids Toys Hand Controlled Helicopter RC Quadcopter Infrared Induction Remote Control Aeroplanes Flying Toy for Boys Girls",T2,5050565806833,,B0B2RQ8YC9,900.0,5.28125,91.68836805555556,18.99,5.21,A,Proven demand with positive profit,LOW,VALIDATION_REQUIRED,0.1578947368421052,1,unknown,https://www.efghousewares.co.uk/infrared-hand-sensor-helicopter-117329,https://www.amazon.co.uk/dp/B0B2RQ8YC9,33.37282780410742,12.652500000000002,,,,YES,HIGH,3.644913627639155
PULL BACK MOTORBIKE,"Kid Motorbike Toys,Pull Back Toy Cars Alloy Motorcycles Toys,Friction Powered Kids Toy Cars Automatic Drive for Boys Kids2",T1,5033849031688,605989755837.0,B0FKST6PP6,50.0,5.276666666666667,351.7777777777778,13.82,0.95,A,Proven demand with positive profit,HIGH,VERIFIED,0.1333333333333333,1,unknown,https://www.efghousewares.co.uk/pull-back-motorbike,https://www.amazon.co.uk/dp/B0FKST6PP6,45.81765557163531,7.487999999999999,,,2.0,NO,HIGH,14.547368421052633
SUMMER TILE INCENSE CONES PK40,"Incense Cones Fumino Fresh Multipack Essentials Bundle 6 Boxes 90 Pieces Masala Agarbatti Joss Fragrance for Relaxation and Meditation, Home and House Decor Scent",T2,5024418445654,,B09HCW5DK7,500.0,5.262916666666666,350.86111111111103,12.95,0.95,A,Proven demand with positive profit,LOW,VALIDATION_REQUIRED,0.0952380952380952,1,unknown,https://www.efghousewares.co.uk/summer-tile-incense-cones-pk40-104513,https://www.amazon.co.uk/dp/B09HCW5DK7,48.76833976833976,6.634499999999999,,,,YES,HIGH,13.631578947368421
FLOWER SHOP INCENSE STICKS PK40,"Natural Incense Sticks Multipack Variants - 5 (90 gms) Charcoal Free Incense Stick, Made from Upcycled Flowers | Sacred Insensé Sticks from all Cultures (Scented Sticks)",T2,5024418456452,,B0CN2XTXX1,900.0,5.261666666666667,350.77777777777777,12.95,0.95,A,Proven demand with positive profit,LOW,VALIDATION_REQUIRED,0.0909090909090909,3,unknown,https://www.efghousewares.co.uk/flower-shop-incense-sticks-pk40-107387,https://www.amazon.co.uk/dp/B0CN2XTXX1,48.75675675675676,6.635999999999999,,,1.0,YES,HIGH,13.631578947368421
A-Z TRY ME MUSICAL ANIMALS ASSORTED,"4-IN-1 Dancing Octopus baby toys 0-6 months Toy, Crawling Plush Interactive Toy with Music, Record & Replay Sensory Baby Toys 6 to 12 Months Birthday Present Gifts",T2,5012866610427,,B0F3WVS9DC,200.0,5.255,114.98905908096282,18.99,4.02,A,Proven demand with positive profit,LOW,VALIDATION_REQUIRED,0.0,2,unknown,https://www.efghousewares.co.uk/a-z-try-me-musical-animals-assorted-120239,https://www.amazon.co.uk/dp/B0F3WVS9DC,33.20695102685624,12.684,,,1.0,YES,HIGH,4.723880597014926
FRAMED ART - LIVERPOOL F.C KITS 40CM X 40CM,HWC Trading Liverpool 2025 Champions Gift Premier League Season 24-25 Winners Printed Memorabilia Signed Autograph Photograph Display for Football Fans and Supporters - A3 Framed,T2,5060899566211,,B0DYTXWF79,900.0,5.25458333333333,40.8281533281533,28.99,12.32,A,Proven demand with positive profit,LOW,VALIDATION_REQUIRED,0.0909090909090909,1,unknown,https://www.efghousewares.co.uk/frame-liverpool-f-c-kits-40x40cm-110828,https://www.amazon.co.uk/dp/B0DYTXWF79,21.75060365643324,22.6845,,,,YES,HIGH,2.3530844155844153
SILVER METALLIC MAILERS PK3 180X265MM SIZE D,"Bubble Mailers 100 Pack, Metallic Foil Bubble Mailer Waterproof Self Seal Shipping Gold Silver Black or Pink, Padded Envelopes for Mailing Packaging (Silver, 140x175mm)",T1,5061024360179,5061007790856.0,B0CKLXPPMX,50.0,5.236666666666668,309.8619329388561,14.72,1.14,A,Proven demand with positive profit,HIGH,VERIFIED,0.1363636363636363,2,unknown,https://www.efghousewares.co.uk/silver-metallic-mailers-pk3-180x265mm-size-d-117696,https://www.amazon.co.uk/dp/B0CKLXPPMX,42.69021739130436,8.435999999999998,,,3.0,NO,HIGH,12.912280701754387
HAND SCRUBBING BRUSH & HANDLE TITIZ,"NCaan 2pk Deluxe Hand Scrubbing Brush Heavy Duty with Stiff Bristles & Non-Slip Soft Grip Handle-Household Cleaning Brush for Indoor & Outdoor, Bathroom, Kitchen, Carpet, Floor, Bath,Car (Assorted, 2)",T1,8695122001497,7426999044369.0,B084Z75XP6,50.0,5.234999999999999,361.03448275862064,13.95,0.9,A,Proven demand with positive profit,HIGH,VERIFIED,0.125,2,unknown,https://www.efghousewares.co.uk/hand-scrubbing-brush-handle-titiz-49825,https://www.amazon.co.uk/dp/B084Z75XP6,45.03225806451612,7.667999999999999,,,1.0,NO,HIGH,15.499999999999998
