EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,Unit_Qty_Flag,NetProfit_num,Sales_num,Bucket,Category_URL
5030481800160.0,,B0CHJ4WZDS,BALLOONS JUMBO ASSORTED 25,36 inch Giant Balloons 9 PCS Assorted Colour Big Balloon Jumbo Latex Balloon Decorations for Wedding Birthday Party Baby Shower Carnival,https://www.efghousewares.co.uk/balloons-jumbo-asstd-25,https://www.amazon.co.uk/dp/B0CHJ4WZDS,100.0,,,,0.672,0.56,8.99,1.12375,2.41,0.55,1.498333333333333,0.92875,3.3979166666666667,-0.92875,2.8479166666666664,256.56906906906903,5.5725,38.01446051167964,MATCH,2.8479166666666664,100.0,A,https://www.efghousewares.co.uk/balloons-jumbo-asstd-25
5012133012022.0,,B082G91T8Q,MASON CASH OVAL BAKING DISH size 2,"SEYMAC stock Case for iPad 9th/8th/7th Generation (10.2 Inch) 2021/2020/2019, Heavy Duty Shockproof with Screen Protector, 360° Rotating Stand/Hand Strap, Pencil Holder & Shoulder Strap, Black",https://www.efghousewares.co.uk/mason-cash-oval-baking-dish-size-2,https://www.amazon.co.uk/dp/B082G91T8Q,50.0,Available (see Keepa data),,3.0,3.252,2.71,21.59,3.6,2.77,0.55,3.5983333333333327,1.926,8.911666666666669,-1.926,8.361666666666668,256.4928425357874,11.556,46.47522000926356,MATCH,8.361666666666668,50.0,A,https://www.efghousewares.co.uk/mason-cash-oval-baking-dish-size-2
5029594210737.0,4003773033813.0,B0001P0CC0,ROLSON DIAGONAL CUTTING PLIER VDE INSULATED 180MM,"KNIPEX 70 06 180 Diagonal Cutter chrome plated insulated with multi-component grips, VDE-tested 180 mm Multicoloured",https://www.efghousewares.co.uk/rolson-diagonal-cutting-plier-vde-insulated-180mm-108572,https://www.amazon.co.uk/dp/B0001P0CC0,50.0,Available (see Keepa data),Available (see Keepa data),11.0,6.924,5.77,35.95,4.67,2.77,0.55,5.991666666666667,2.752,16.748333333333335,-2.752,16.198333333333334,256.3027426160338,16.512,54.06954102920724,MATCH,16.198333333333334,50.0,A,https://www.efghousewares.co.uk/rolson-diagonal-cutting-plier-vde-insulated-180mm-108572
6923456812376.0,5060914442926.0,B0CRZ2RBL4,ADORN GLASS JAR 250ML,"Glass Mason Jars with Lids - Set of 6 250ml Air Tight Jars for Overnight Oats, Homemade Jam - Sturdy Glass Jar with Lid for Honey, Pickling, Preserving, Food Storage (250ml)",https://www.efghousewares.co.uk/adorn-glass-jar-250ml-113506,https://www.amazon.co.uk/dp/B0CRZ2RBL4,300.0,,Available (see Keepa data),1.0,0.744,0.62,10.99,1.65,3.34,0.55,1.831666666666667,1.2320000000000002,3.548333333333333,-1.2320000000000002,2.998333333333333,256.2678062678063,7.391999999999999,32.738853503184714,MATCH,2.998333333333333,300.0,A,https://www.efghousewares.co.uk/adorn-glass-jar-250ml-113506
8901810001893.0,,B098BLNN9L,HEM INCENSE STICKS LEMON,"HEM Incense Sticks - 18 unique and premium flavours - Such as but not limited to Sandalwood, Lavender, White Sage, Patchouli, Coconut Mango, Good Health, Lemon Grass with SAMASIA incense holder",https://www.efghousewares.co.uk/incense-sticks-hem-lemon,https://www.amazon.co.uk/dp/B098BLNN9L,50.0,,,,2.352,1.96,15.99,1.99875,2.41,0.55,2.664999999999999,1.38375,6.956250000000002,-1.38375,6.406250000000002,255.22908366533872,8.3025,48.07692307692308,MATCH,6.406250000000002,50.0,A,https://www.efghousewares.co.uk/incense-sticks-hem-lemon
5056283871153.0,5060551221939.0,B086JDVKBJ,ZODIAC GEL EYE MASK AND FACE ROLLER SET,Medi Grade Cooling Face Mask set with Cooling Eye Mask for Puffy Eyes and Insulated Thermo-bag - Soothing Gel Ice Face Mask and Eye Ice Mask for Dark Circles and Puffiness - Cold Face Relaxation,https://www.efghousewares.co.uk/zodiac-gel-eye-mask-and-face-roller-set-116632,https://www.amazon.co.uk/dp/B086JDVKBJ,800.0,Available (see Keepa data),,1.0,3.024,2.52,19.98,3.0,2.75,0.55,3.3299999999999983,1.764,8.380000000000003,-1.764,7.830000000000003,255.04885993485348,10.584,47.02702702702703,MATCH,7.830000000000003,800.0,A,https://www.efghousewares.co.uk/zodiac-gel-eye-mask-and-face-roller-set-116632
5052578022248.0,9145384135915.0,B07MW5PNW9,BETTINA SCOURER TOUGH SPIRAL 4 SCOURERS,"We Can Source It Ltd - Green Single-Sided Large Scourers - Heavy-Duty Scourer Pads - For Domestic and Commercial Use - For Cleaning Utensils, Baseboards, Floors - 10 Pack",https://www.efghousewares.co.uk/bettina-scourer-tough-spiral-4-scourers-117055,https://www.amazon.co.uk/dp/B07MW5PNW9,50.0,Available (see Keepa data),Available (see Keepa data),3.0,0.744,0.62,9.75,1.29,2.7,0.55,1.625,1.032,3.515,-1.032,2.965,253.4188034188034,6.192,36.49230769230769,MATCH,2.965,50.0,A,https://www.efghousewares.co.uk/bettina-scourer-tough-spiral-4-scourers-117055
5029347610623.0,5016743105204.0,B0D7T8LTNV,EVERBUILD M.P DBL TAPE DISP 5MTR,"Cleaning Brush - Hard Bristle Crevice Cleaning Brush - Easy Living Magic Brush - Grout Cleaning Brushes for Difficult Places to Reach, such as Window Track Bathroom Gap Kitchen Groove (3 PCS)",https://www.efghousewares.co.uk/everbuild-m-p-dbl-tape-disp-5mtr,https://www.amazon.co.uk/dp/B0D7T8LTNV,300.0,Available (see Keepa data),,2.0,1.14,0.95,9.99,1.3,1.73,0.55,1.6649999999999991,0.906,4.3450000000000015,-0.906,3.7950000000000017,253.0000000000001,5.436,45.585585585585605,MATCH,3.7950000000000017,300.0,A,https://www.efghousewares.co.uk/everbuild-m-p-dbl-tape-disp-5mtr
5060226032587.0,729792886936.0,B0725XC6BS,Dog Figure '8' Knot Ball Rope Toy(12/48),Dog Pet Puppy Chew Toys for Teething Boredom Dogs Rope Ball Knot Training Teeth Dogs Treats Toys for Small Middle Dog (Giraffe),https://www.efghousewares.co.uk/dog-figure-8-knot-ball-rope-toy-117854,https://www.amazon.co.uk/dp/B0725XC6BS,800.0,Available (see Keepa data),,1.0,0.876,0.73,10.94,1.64,2.96,0.55,1.8233333333333324,1.1760000000000002,3.786666666666668,-1.1760000000000002,3.2366666666666672,252.8645833333334,7.056,35.50274223034736,MATCH,3.2366666666666672,800.0,A,https://www.efghousewares.co.uk/dog-figure-8-knot-ball-rope-toy-117854
5056338332707.0,,B0BRKQVZHQ,MANICURE KIT 5PC,"HANTEKAS Manicure Set 10 in 1 Stainless Steel, Nail Clippers Scissors Pedicure Tools Kit - Portable Travel Grooming Kit for Men and Women with Leather Case (Jade Green)",https://www.efghousewares.co.uk/manicure-kit-5pc-121493,https://www.amazon.co.uk/dp/B0BRKQVZHQ,200.0,Available (see Keepa data),,1.0,1.008,0.84,8.99,0.72,1.87,0.55,1.498333333333333,0.796,4.061666666666667,-0.796,3.511666666666668,252.63788968824943,4.776000000000001,46.874304783092335,MATCH,3.511666666666668,200.0,A,https://www.efghousewares.co.uk/manicure-kit-5pc-121493
742288760312.0,5060880793978.0,B0CPYNMT81,MAXIFRESH GLASS AIRTIGHT FOOD STORAGE CONTAINER ROUND 635ML,"Innoteck 4-Piece Round Glass Food Storage Container Set with Snap-Lock Airtight Lids – Watertight, Heat & Cold Resistant, Microwave, Oven, Freezer & Dishwasher Safe",https://www.efghousewares.co.uk/pyronex-vented-storage-jar-round-635ml05-1-23,https://www.amazon.co.uk/dp/B0CPYNMT81,50.0,,Available (see Keepa data),3.0,2.088,1.74,18.94,2.84,4.87,0.55,3.1566666666666663,2.0,6.333333333333334,-2.0,5.783333333333334,252.54730713246,12.0,36.64202745512144,MATCH,5.783333333333334,50.0,A,https://www.efghousewares.co.uk/pyronex-vented-storage-jar-round-635ml05-1-23
5052516113564.0,,B0BNXKRV65,SMART CHOICE CERAMIC PET BOWL,"CEEFU Extra Wide Elevated Cat Bowls - Ceramic Cat Food Bowl 6.2"" Raised Cat Food Bowls Elevated Shallow Cat Food Dish, Whisker Fatigue, Lead & Cadmium Free, 5"" Good Height for Cat Feeding, Sage Green",https://www.efghousewares.co.uk/smart-choice-ceramic-pet-bowl,https://www.amazon.co.uk/dp/B0BNXKRV65,50.0,Available (see Keepa data),,1.0,2.148,1.79,18.99,2.85,4.73,0.55,3.164999999999999,1.9840000000000004,6.454999999999999,-1.9840000000000004,5.904999999999999,252.3504273504273,11.904000000000002,37.31437598736177,MATCH,5.904999999999999,50.0,A,https://www.efghousewares.co.uk/smart-choice-ceramic-pet-bowl
742288771509.0,,B0CB18M2CM,CONCORD GLASS MUG 6PCE,"SEYMAC stock Case for iPad 9th/8th/7th Generation (10.2 Inch) 2021/2020/2019, Heavy Duty Shockproof with Screen Protector, 360° Rotating Stand/Hand Strap, Pencil Holder & Shoulder Strap, Camo+Purple",https://www.efghousewares.co.uk/concord-glass-mug-6pce-117849,https://www.amazon.co.uk/dp/B0CB18M2CM,100.0,,,1.0,3.264,2.72,21.24,3.19,3.0,0.55,3.539999999999999,1.892,8.79,-1.892,8.239999999999998,251.98776758409772,11.352,46.55367231638417,MATCH,8.239999999999998,100.0,A,https://www.efghousewares.co.uk/concord-glass-mug-6pce-117849
5030481984402.0,717020272422.0,B0DDCH6R7L,PPS SERVING 5 SECTION TRAY,"Serving Dishes & Platters Compartment Trays with 5 Sections, 4 Pack Serving Platters for Parties, Reusable Plastic Snack Tray Serving Trays for Snacks Fruit Candies Dessert Nibbles Nuts",https://www.efghousewares.co.uk/pps-serving-5-section-tray,https://www.amazon.co.uk/dp/B0DDCH6R7L,100.0,Available (see Keepa data),,1.0,0.744,0.62,9.98,1.5,2.7,0.55,1.6633333333333322,1.074,3.496666666666668,-1.074,2.946666666666668,251.851851851852,6.444,35.4308617234469,MATCH,2.946666666666668,100.0,A,https://www.efghousewares.co.uk/pps-serving-5-section-tray
5026180029964.0,5060984121097.0,B0D5BDL8BT,APOLLO BAT CHOPPING BOARD,"OTOTO Cutting Board - Wooden & Plastic Cutting Boards for Kitchen, Fun & Spooky Kitchen Gadgets, Housewarming & Goth Gifts, Dishwasher Safe (Bat, Plastic)",https://www.efghousewares.co.uk/apollo-bat-chopping-board-9-1-23,https://www.amazon.co.uk/dp/B0D5BDL8BT,200.0,Available (see Keepa data),,2.0,2.9160000000000004,2.43,19.95,2.99,3.15,0.55,3.3249999999999997,1.8240000000000005,8.055,-1.8240000000000005,7.505,251.84563758389257,10.944,45.14285714285714,MATCH,7.505,200.0,A,https://www.efghousewares.co.uk/apollo-bat-chopping-board-9-1-23
5038673230160.0,,B086JWBQDF,PRIMA WOODEN NAIL BRUSHES 2PC,Boao 6 Pieces Nail Brushes Wooden Double Sided Scrub Handle Hand Fingernail Wood Nail Brushes for Cleaning Men Women Adult Kid Toe Foot Manicure Pedicure Supplies,https://www.efghousewares.co.uk/prima-wooden-nail-brushes-2pc,https://www.amazon.co.uk/dp/B086JWBQDF,50.0,Available (see Keepa data),,1.0,1.008,0.84,9.99,0.8,2.65,0.55,1.6649999999999991,0.968,4.035000000000002,-0.968,3.485000000000002,250.71942446043175,5.808,41.86186186186188,MATCH,3.485000000000002,50.0,A,https://www.efghousewares.co.uk/prima-wooden-nail-brushes-2pc
5050565768971.0,762409293963.0,B08G4SVFPQ,LARGE RECTANGLE CLAW HAIR CLIP 2PC,"2pcs Square Medium hair claw clips for thick fine hair,Tortoise shell rectangle claw hair clips medium for women ladies",https://www.efghousewares.co.uk/large-rectangle-claw-hair-clip-2pc-120130,https://www.amazon.co.uk/dp/B08G4SVFPQ,100.0,Available (see Keepa data),,1.0,1.008,0.84,9.99,0.8,2.65,0.55,1.6649999999999991,0.968,4.035000000000002,-0.968,3.485000000000002,250.71942446043175,5.808,41.86186186186188,MATCH,3.485000000000002,100.0,A,https://www.efghousewares.co.uk/large-rectangle-claw-hair-clip-2pc-120130
50304811690067.0,5060670130181.0,B08688KYF6,ECO BAMBOO DISH BRUSH,"eplanita Natural Dish Brush, 3 Replacement Heads, Kitchen Eco Bamboo Scrubber Brushes, Extra Plant Sponge, Plastic Free Washing Up, Zero Waste Cleaning",https://www.efghousewares.co.uk/eco-bamboo-dish-brush,https://www.amazon.co.uk/dp/B08688KYF6,300.0,Available (see Keepa data),,1.0,1.2,1.0,11.99,1.56,3.0,0.55,1.998333333333333,1.222,4.431666666666667,-1.222,3.881666666666667,250.43010752688173,7.332,38.84904086738949,MATCH,3.881666666666667,300.0,A,https://www.efghousewares.co.uk/eco-bamboo-dish-brush
6923456818682.0,604565842879.0,B0CHBGWTH9,AIR FRYER PAPER LINER  ROUND 20X4.5CM 50PCE,"Round Air Fryer Liners Disposable 100Pcs - Air Fryer Liners Round 8 inch for Ninja, Tefal and More - Disposable Round Parchment Paper Liners for Air Fryers | High-Temperature Resistant and Unbleached",https://www.efghousewares.co.uk/air-fryer-paper-liner-round-20x4-5cm-50pce-115898,https://www.amazon.co.uk/dp/B0CHBGWTH9,400.0,Available (see Keepa data),Available (see Keepa data),2.0,1.308,1.09,12.99,1.95,3.13,0.55,2.164999999999999,1.344,4.655000000000002,-1.344,4.105000000000002,250.3048780487806,8.064,37.921478060046205,MATCH,4.105000000000002,400.0,A,https://www.efghousewares.co.uk/air-fryer-paper-liner-round-20x4-5cm-50pce-115898
