RowID,bucket,MLS,MLS_band,title_match,sales,is_exact_ean_strict,EAN_digits,EAN_OnPage_digits,EAN_digits_normalized,EAN_OnPage_digits_normalized,EAN_strict_valid,EAN_OnPage_strict_valid,Supplier EAN,Amazon EAN,pack_supplier_count,pack_amazon_count,pack_supplier_evidence,pack_amazon_evidence,Qty_Ratio,Adjusted_Profit_baseline,NetProfit,NetProfit_num,ROI,ASIN,SupplierTitle,AmazonTitle,SupplierPrice_incVAT,SellingPrice_incVAT,ip_risk
13,OTHER,9,UNLIKELY_OTHER,0.13445378151260504,50.0,False,5055706641182,717710483480,5055706641182,717710483480,True,True,5055706641182,717710483480,,,,,,,81.64,81.64,2659.28338762215,B0FGHZB8FM,PROKLEEN CHENILLE FLOOR MOP & EXTENDABLE HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",3.024,129.0,False
14,OTHER,4,UNLIKELY_OTHER,0.058823529411764705,100.0,False,6923456804005,,6923456804005,,True,False,6923456804005,-,,,,,,,35.0733333333333,35.0733333333333,2637.09273182957,B09WDKDVZC,CAPPUCCINO CUP,"Tevlaphee Steering Wheel Lock with Alarm, 120dB, Wheel Spoke Width â‰¤2.75in, Battery Required, Crook Locks for Cars, Car Lock Anti-Theft Device, Heavy Duty",0.936,57.64,False
15,OTHER,14,UNLIKELY_OTHER,0.19889502762430938,100.0,False,8711252476247,,8711252476247,,True,False,8711252476247,-,,,,,,,27.8683333333333,27.8683333333333,2444.59064327485,B0FHK2CM5W,DUNLOP BIKE BRAKE CABLE INNER CABLE,"Peradix Wooden Chess Set, 19"" Large Foldable Chess Board Game with 3.75"" King & 2 Extra Queens, Professional Classic Chess Set for Adults and Kids",0.708,49.99,False
16,OTHER,11,UNLIKELY_OTHER,0.1511111111111111,200.0,False,5056170355988,,5056170355988,,True,False,5056170355988,-,,,,,,,24.86625,24.86625,2368.21428571428,B0D25HS86F,CHRISTMAS VELVET COLOURING SET 2PC,"KableRika LED Desk Lamp for Office, Double Head Desk Lamp with Base, Dimmable Architect Desk Light, Eye Caring Monitor Light Bar with Timer, Task Lamp for Work Study Read Home Office Lighting",0.6,39.99,False
17,OTHER,11,UNLIKELY_OTHER,0.1574074074074074,50.0,False,6923456812901,198715902921,6923456812901,198715902921,True,True,6923456812901,198715902921,,,,,,,26.1283333333333,26.1283333333333,2353.9039039039,B0DK877SSC,PLATE 10.5 INCH ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,0.672,49.99,False
18,OTHER,15,UNLIKELY_OTHER,0.19607843137254902,50.0,False,5016574137825,,5016574137825,,True,False,5016574137825,-,5.0,,5pack,,,,65.51625,65.51625,2259.18103448275,B0DN6BWS36,LYNWOOD MINI ROLLER SET 5PACK,"Mould King V8 Engine Building Blocks Set, 2250 PCS Combustion Engine Model Kit That Runs, Mini Engine for Adults with Battery, Engineering Construction STEM Toy for Boys Girls",2.82,99.99,False
19,OTHER,11,UNLIKELY_OTHER,0.14213197969543148,100.0,False,5050565712875,,5050565712875,,True,False,5050565712875,-,,,,,,,28.7304166666666,28.7304166666666,2244.56380208333,B0D62LX8W5,SNOW WHITE CHRISTMAS RIBBON  SILVER,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,0.876,45.77,False
20,OTHER,9,UNLIKELY_OTHER,0.13043478260869565,100.0,False,5050565512352,,5050565512352,,True,False,5050565512352,-,,,,,,,27.2816666666666,27.2816666666666,2236.20218579234,B0D62LX8W5,LOVE SCENTED WAX MELTS,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,0.804,45.77,False
21,OTHER,10,UNLIKELY_OTHER,0.13953488372093023,300.0,False,5038673190075,8700216280167,5038673190075,8700216280167,True,True,5038673190075,8700216280167,,,,,,,42.8916666666666,42.8916666666666,2177.24196277495,B0CM3SM41B,PRIMA DINNER PLATE FLOWER DESIGN 26.5CM,"Gillette Intimate Trimmer i5 - Pubic Hair & Body Groomer for Men, SkinFirst Waterproof Manscaping Trimmer, Cordless Wet/Dry Body Hair Shaver for Private Parts & Sensitive Areas",1.704,70.19,False
22,OTHER,15,UNLIKELY_OTHER,0.21487603305785125,400.0,False,5050796011778,,5050796011778,,True,False,5050796011778,-,4.0,,4 pieces,,,,24.965,24.965,2133.76068376068,B0C7FJY9SL,BRIGHT & HOMELY STAINLESS STEEL SCOURER 4 PIECES,"Pristar Remote Control Car Hand Gesture Controlled Car, 1:14 RC Stunt Auto 360Â° Rotation 3 Control Methods 2.4 GHz Drift Glove Controlled Cars Gift Toy for Kids Boy Girls Age 5 6 7 8 9 10 11 12",0.744,42.99,False
