EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,Unit_Qty_Flag,NetProfit_num,Sales_num,Bucket
5010792950631.0,,B0FGXPH7VR,EGG CUPS HERB GARDEN,"154 PCS Kids Tool Set Toys, with Electric Drill and Tool Box, Toddler Screw Toy, Pretend Play Toys, Kids Educational Construction Toys for Boys Girls Ages 2 3 4 5 6 Years Old",https://www.efghousewares.co.uk/egg-cups-herb-garden-d0000-111269,https://www.amazon.co.uk/dp/B0FGXPH7VR,,Available (see Keepa data),,1.0,2.556,2.13,24.99,3.75,3.46,0.55,4.164999999999999,1.978,11.485,-1.978,10.935,408.0223880597015,11.868,52.509003601440575,MATCH,10.935,0.0,B
6294015574999.0,,B08V1B7NSW,ROYALFORD SANTOKU KNIFE STAINLESS STEEL 7 INCH,"Zyliss Comfort Pro Santoku Knife, 18 cm/7 Inch, Forged German Stainless Steel, Antibacterial Black Handle with Finger Rest, Professional Kitchen Knife/Vegetable Knife/Sushi Knife, Dishwasher Safe",https://www.efghousewares.co.uk/royalford-santoku-knife-stainless-steel-7-inch-119815,https://www.amazon.co.uk/dp/B08V1B7NSW,,,,,3.456,2.88,28.0,3.5000000000000004,2.41,0.55,4.666666666666664,1.868,14.543333333333337,-1.868,13.993333333333336,407.968901846453,11.208000000000002,59.971428571428575,MATCH,13.993333333333336,0.0,B
5055441446134.0,5060478387206.0,B07FMVBBG2,DEKTON PHILIPS PRO SCREWDRIVER NO1X150MM,"US Pro 12pc Go-Through Screwdrivers Set, Screw Driver Slotted, Philips B1610",https://www.efghousewares.co.uk/dekton-philips-pro-screwdriver-no1x150mm,https://www.amazon.co.uk/dp/B07FMVBBG2,,Available (see Keepa data),Available (see Keepa data),9.0,1.14,0.95,17.77,2.33,4.87,0.55,2.961666666666666,1.74,6.658333333333333,-1.74,6.108333333333333,407.2222222222222,10.44,41.24929656724817,MATCH,6.108333333333333,0.0,B
8680518411264.0,5060466850064.0,B076VM5BCB,GLASS JAR WITH LID 5L,Metal Access Panel - Picture Frame - Non Fire Rated - (150x150mm),https://www.efghousewares.co.uk/glass-jar-with-green-lid-5l-117078,https://www.amazon.co.uk/dp/B076VM5BCB,,Available (see Keepa data),,1.0,4.632,3.86,36.0,4.68,2.96,0.55,6.0,2.41,18.5,-2.41,17.95,407.0294784580499,14.46,59.83333333333333,MATCH,17.95,0.0,B
5015302457723.0,7426952191369.0,B07N7L8KT1,WOVEN SHOPPING BAG 35X41X18CM DOG&CAT DESIGN,Box Shaped Eco Friendly Jute Shopping Bag with Gusset (Dogs),https://www.efghousewares.co.uk/woven-shopping-bag-35x41x18cm-fruit-design-109866,https://www.amazon.co.uk/dp/B07N7L8KT1,,Available (see Keepa data),,1.0,1.08,0.9,14.99,2.25,2.89,0.55,2.498333333333333,1.318,6.451666666666666,-1.318,5.901666666666666,407.0114942528736,7.907999999999999,47.244829886591056,MATCH,5.901666666666666,0.0,B
5024418652731.0,840349974088.0,B087M1GN6J,AUTUMN DIFFUSERS 30ML SET OF 3,"VEVOR Stainless Steel Catering Work Table 12x24 Inch Commercial Workbench with 4 Wheels, Flexible Adjustment Shelf for Kitchen Prep, Silver",https://www.efghousewares.co.uk/autumn-diffusers-30ml-set-of-3-122308,https://www.amazon.co.uk/dp/B087M1GN6J,,,Available (see Keepa data),2.0,6.648,5.54,53.99,8.1,6.02,0.55,8.998333333333335,4.042,25.331666666666667,-4.042,24.781666666666663,406.92391899288447,24.252,55.08057047601408,MATCH,24.781666666666663,0.0,B
5026180090438.0,,B0DV4NNRZW,APOLLO STAINLESS STEEL SHAKER 7.5X5.5CM 20/10,Freak Athletics Protein Shaker Bottle 700ml - Shaker for Protein Shakes - BPA Free Metal Protein Shaker Bottle (Stainless Steel),https://www.efghousewares.co.uk/apollo-s-s-shaker-7-5x5-5cm-20-10,https://www.amazon.co.uk/dp/B0DV4NNRZW,,,,,1.116,0.93,13.99,1.74875,2.41,0.55,2.331666666666667,1.1277500000000005,6.569583333333334,-1.1277500000000005,6.019583333333334,406.7286036036036,6.7665,51.63330950679057,MATCH,6.019583333333334,0.0,B
5038673685908.0,4061349051302.0,B07HKYT5GR,MARKSMAN SANDING SHEETS CIRCULAR 10PC P240,"S&R Sanding Discs Set Ø225mm - 10pcs Professional Abrasive Discs for Random Orbital Sanders, Commercial Quality (P240 Grit)",https://www.efghousewares.co.uk/marksman-sanding-sheets-circular-10pc-p240,https://www.amazon.co.uk/dp/B07HKYT5GR,,Available (see Keepa data),,1.0,1.008,0.84,12.98,1.69,2.1,0.55,2.163333333333332,1.036,6.186666666666669,-1.036,5.636666666666669,405.5155875299762,6.215999999999999,52.11093990755009,MATCH,5.636666666666669,0.0,B
5050565527769.0,5050565646019.0,B0B4KBLP7L,OUTDOOR LIVING MELAMIME PLATE,"PMS VFM - Tropical Melamine 11"" Plate Pack of 6 - Outdoor Living",https://www.efghousewares.co.uk/outdoor-living-melamime-plate-108770,https://www.amazon.co.uk/dp/B0B4KBLP7L,,,Available (see Keepa data),1.0,0.876,0.73,13.99,2.1,3.1,0.55,2.331666666666667,1.2960000000000005,5.7283333333333335,-1.2960000000000005,5.178333333333334,404.5572916666667,7.775999999999999,44.41744102930665,MISMATCH_CHECK,5.178333333333334,0.0,B
5050796007207.0,706611936386.0,B0FX5D736W,BRIGHT & HOMELY BATH SPA PILLOW PINK,"Pink Cooling Gel Bath Pillow | Soothing Gel Bathtub Pillow | Great for Relaxation, Head & Neck Support | Perfect Bath Pillow for Bathtub, Hot Tub & Home Spa | Fits Easily in Any Size of Tubs & Jacuzzi",https://www.efghousewares.co.uk/bath-spa-pillow-pink-bh103,https://www.amazon.co.uk/dp/B0FX5D736W,,Available (see Keepa data),,1.0,0.744,0.62,12.95,1.94,2.96,0.55,2.158333333333333,1.214,5.2716666666666665,-1.214,4.721666666666667,403.5612535612536,7.283999999999999,43.75289575289575,MATCH,4.721666666666667,0.0,B
