SupplierTitle,AmazonTitle,EAN,ASIN,SupplierURL,AmazonURL,SupplierPrice_exVAT,SellingPrice_incVAT,NetProfit,ROI,sales_count,total_offer_count,fba_seller_count,fbm_seller_count,investment_tier,reason,has_strong_brand,brand_detected,MatchMethod,Confidence
Mrs Smith Life Is A Journey Shopper Bag,Star Wars The Black Series,5.01E+12,B08C15NTSZ,https://www.poundwholesale.co.uk/mrs-smith-life-is-a-journey-shopper-bag-34cm-length-x-18cm-depth-x-60cm-height,https://www.amazon.co.uk/dp/B08C15NTSZ,0.71,96.98,63.93666667,50.74338624,50.0,13.0,,,GROUP C - INVESTIGATE,"['ROI 50.7% ≥ 25.0%', 'NetProfit £63.94 ≥ £0.5', 'Strong brand detected: star wars', 'Sales data missing/weak - requires investigation']",True,star wars,EAN,high
Kingdom 4-In-1 Rubber Pet Mitt Assorted Colours,Marvel Mjolnir Hammer Tool Set Mighty Thor 44 Piece Toolkit Ukonic Official MCU License,5.06E+12,B0CYJS7YGS,https://www.poundwholesale.co.uk/kingdom-4-in-1-rubber-pet-mitt-assorted-colours,https://www.amazon.co.uk/dp/B0CYJS7YGS,0.51,64.95,39.895,37.63679245,Unknown,3.0,,,GROUP C - INVESTIGATE,"['ROI 37.6% ≥ 25.0%', 'NetProfit £39.90 ≥ £0.5', 'Strong brand detected: marvel', 'Sales data missing/weak - requires investigation']",True,marvel,EAN,high
Deluxe Disposable Heavy Duty Black Knives 40 Pack,Marvel Mjolnir Hammer Tool Set Mighty Thor 44 Piece Toolkit Ukonic Official MCU License,5.06E+12,B0CYJS7YGS,https://www.poundwholesale.co.uk/deluxe-disposable-heavy-duty-black-knives-40-pack,https://www.amazon.co.uk/dp/B0CYJS7YGS,0.65,64.95,39.755,33.12916667,Unknown,3.0,,,GROUP C - INVESTIGATE,"['ROI 33.1% ≥ 25.0%', 'NetProfit £39.76 ≥ £0.5', 'Strong brand detected: marvel', 'Sales data missing/weak - requires investigation']",True,marvel,EAN_cached,low
