asin,supplier_ean,supplier_title,amazon_title,source,section
B088K9ZNSX,5052578047005,BETTINA 3 DISHCLOTHS STRIPED MICROBIBRE,TowelogyÂ® 5 Pack Cotton Dish Cloths Waffle Weave White Super Absorbent LINT FREE QUICK DRY Striped Kitchen Tea Towels Dishcloths for Washing Up Machine Washable 35x40cm (White Green/Yellow Stripes),PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B07RP7TJVT,5013478137593,KINGFISHER 2PK MEDIUM VACUUM BAGS VBM,"Amazon Basics Vacuum Compression Zipper Storage Bags with Airtight Valve and Hand Pump, 15-Pack, 2x X-Jumbo, 5x Jumbo, 4x (Large, Medium), 15 count (Pack of 1), Multiple, Clear",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B0DDCFRKB4,5015302170288,"CHRISTMAS CRACKER 10 X 12"" SANTA AND FRIENDS","Aisszhao 6 Pack Christmas Party Crackers,Christmas Crackers with Santa's Friends Building Block Xmas Cracker,Luxury Xmas Family Cracker with Novelty Gifts Party Hats",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B0DN1K8KKD,5050796011716,BRIGHT & HOMELY MASKING TAPE 36MMx40M PACK OF 6,"Pack of 6 Masking Tape Rolls (24mm x 50m) â€“ Premium Quality Masking Tape for Painting, Decorating & Crafts, Low Tack, Residue-Free, Strong Adhesion, Ideal Paper Tape, Artist & Paint Use",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B0DN1K8KKD,5050796011686,BRIGHT & HOMELY MASKING TAPE 48MMx40M PACK OF 6,"Pack of 6 Masking Tape Rolls (24mm x 50m) â€“ Premium Quality Masking Tape for Painting, Decorating & Crafts, Low Tack, Residue-Free, Strong Adhesion, Ideal Paper Tape, Artist & Paint Use",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B001326TJA,5029347300029,EVERBUILD ONE STRIKE FILLER 250ML,Everbuild â€“ One Strike â€“ Multi-Purpose Quick-Drying Filler â€“ One-Time Application â€“ White â€“ 1 Litre Tub,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B07H4JX9SW,8710908154720,RADOX BATH SOAK FEEL BLISSFUL 500ML PK6,"Radox Bath Soak Bubble Bath for Women - Mixed Pack of 10 Bottles (3 Muscle Soak, 1 Muscle Therapy, 2 Feel Relaxed, 2 Feel Blissful, 2 Feel Pampered) Enriched with Natural Extracts 500ml Each",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B0132UMMK0,5056170319188,AIR FRESHENER GEL BEADS 150GRM,"Glade Solid Gel Air Freshener, Odour Eliminator for Home & Bathroom, Relaxing Zen, Pack of 8 (8 x 150g)",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B0B6WFK4ZK,5055706699046,SOZALI ROUND CONTAINERS 220ML&450ML 2PCE SET,"[50 Pack 450ml - 16oz Round Stackable Plastic Food Container Set With Lids - Reusable, Leakproof, Dishwasher & Microwave Safe, BPA Free Meal Prep Containers",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B0BRNRBHWK,808349564883,VPL PRINCE SET 8 ROUND FOOD BOX,"50 Pack- 250ml / 8oz Round Stackable Plastic Food Container Set With Lids - Reusable, Leakproof, Dishwasher & Microwave Safe, BPA Free Containers (50)",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B07STZLCM6,5411183131217,SOUDAL EXPANDING FOAM HAND HELD 150ML,Soudal 750ml Champagne Gap Filler Expanding Foam Handheld Spray with Nozzle & Gloves (3),PHASEA_MANUAL_REPORT_0110052809.md;PHASEA_REVIEW_VALIDATED_REPORT_0110012511.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115);HIGHLY LIKELY — RECOMMENDED (count=37)
B0BWFGSV62,5056239427595,TEA TOWELS CLASSIC 2PC ASSORTED COLOURS,"Tea Towels Extra Large 70 X 40 cm Kitchen Towels Set - 100% Cotton Terry Towelling Soft Absorbent Lint Free Kitchen Cloth Dish Towels and Bar Towels Assorted Colors (Pack of 3), Blue",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B009EVF9JI,5055706660282,BABY PIPKIN FEEDING BOWLS 2PCE,"Tommee Tippee Easiscoop Baby Feeding Bowls with Triangular Base and Ergonomic Handle, Stackable, Perfect for Weaning, 6 Months+, Pack of 4",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B07Y59B1KK,9333527583147,SHOWER COMB DETANGLING W/HOOK,"3 Pack Hair Comb Large Wide Tooth Comb Shower Combs Curl Wet Comb for Long, Wet or Curly Hair Detangling",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B0BN8J4WLM,3426470299985,PYREX BUTTERFLY RECTANGULAR DISH SET OF 2,Pyrex - Set of 3 Rectangular Oven Dishes - Ideal for 2 to 6 People - 3 Sizes - Borosilicate Glass - Wide Handles - Extreme Resistance - Dishwasher Safe - Made in France,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B006ZBFLNO,5056239433404,STORAGE HOOKS UNIVERSAL TWIN PK,"Universal Heavy Duty Garage Storage Hooks Set, 30kg Load Capacity per Hook (6 Pack)",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B00CPU981U,8428451020354,LUMINUM TABLE CANDLES GREEN PACK OF 25,"Price's Candles Tapered Dinner Candles Green Unscented Wax Pack of 50 / 7 Hour Burn Time Elegant Long Candles for Home Decor, Events, Celebrations & Dining",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B0F6LCCWZN,8720573190565,FLOWER POT 12CM 3ASS,"12.5cm Plant Pots, 6 Pack Plastic Flower Pots with Drainage Holes and Saucers, Indoor Outdoor Planters for Succulent and All House Plants(Colourful)",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B0DHYTRRLV,5056295710518,BLUE CANYON FLATLINE TOWEL BAR 60CM,"SKYLEO LED Desk Lamp - Double Head Desk Light with Remote Control - Eye Protection, 2400 LM, 24W, 5 Color Modes, Timing & Memory, Easy to Install - Suitable for Office, Reading, Drawing - Black",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B08D38T3JW,5051346799535,BAMBOO BATH TOWELS SILVER 70x120CM PACK OF 2,Yoofoss Bamboo Bath Towels 2 Pack Towel Set 500 GSM 70 x 140 cm Extra Large Bath Towels Super Soft & Highly Absorbent Bath Sheets Highly Absorbent and Quick Dry,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B0BVLTKB3W,5053249270890,BIN BRITE STICK ON OUTDOOR BIN FRESHENER WITH CITRONELLA PACK OF 2,"Bin Buddy Fresh Pink Grapefruit & Spring Blossom 450g, Pack of 2 - Bin Freshener Deodoriser Powder, Leaves Your Bin Smelling Great - Suitable for Indoor and Outdoor Bins",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B0DCGDS6Y5,5010303185965,ADDIS CLIP TIGHT RECTANGLE FOOD BOX 550ML,"Addis Clip Tight Food Storage Container Large 4.2 Litre Tall Rectangle Airtight Silicone Seal Containers Bpa Free Easy Locking Lid Clips, Clear Transparent",PHASEA_MANUAL_REPORT_0110052809.md;PHASEA_REVIEW_VALIDATED_REPORT_0110012511.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115);HIGHLY LIKELY — RECOMMENDED (count=37)
B095PSY35H,6943723581262,RATTAN PLASTIC BASKET SQUARE ASSORTED,"Curver My Style Storage Baskets, Stackable & Durable, 4 Litres Each, Cream (Set of 4)",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B0DPLDGWNM,5056283853067,DIAMOND PLASTIC WINE GLASS,Taylor & Brown Durable 6 Pack Clear Crystal Effect Wine Glasses with Stem - 200ml Plastic Red and White Wine Transparent Glasses Drinking Drinks Cups Reusable,PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B08P8GS8XP,5038135120701,WHAM CRYSTAL 160LTR CLEAR BOX & LID,"Wham Pack of 2 Crystal Storage Boxes with Lids, Plastic, 80L, Clear, 80L, Made in UK, Rectangular Storage Boxes 60 x 40 x 42cm",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
B00NEKRON4,3426470283373,PYREX ESSENTIALS CASSEROLE 6.7LTR RECT,"Pyrex Essentials - Set of 3 glass casseroles high resistance 1,4L/2,1L/3L",PHASEA_MANUAL_REPORT_0110052809.md,HIGHLY LIKELY — AUDITED OUT / EXCLUDED (count=115)
