EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,amazon_sales_badge,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,EAN_str,supplier_ean_str,supplier_url,supplier_title,supplier_price,amazon_asin,amazon_title,amazon_price,match_method,confidence,match_verdict
7612720208333.0,,B0DWFJC535,LITTLE TREES CAR FRESHENER WILD INSTINCT,"8000mAh Dyson V8 Battery Replacement, FLYLINKTECH Battery for Dyson V8 SV10 Compatible with Animal, Absolute, Fluffy, Parquet, Range Vacuum Cleaner with 3 Filters + Cleaning Brush + Screwdriver",https://www.efghousewares.co.uk/little-trees-car-freshener-wild-instinct-116776,https://www.amazon.co.uk/dp/B0DWFJC535,200.0,200.0,,,,0.936,0.78,49.99,6.24875,2.41,0.55,8.331666666666663,1.9977500000000004,32.21958333333333,-1.9977500000000004,31.66958333333333,2381.1716791979948,11.9865,76.02220444088816,7612720208333,7612720208333,https://www.efghousewares.co.uk/little-trees-car-freshener-wild-instinct-116776,LITTLE TREES CAR FRESHENER WILD INSTINCT,0.78,B000CITQ9Q,"LITTLE TREES 10101 Little Trees Air Freshener Tree MTR0035 Wild Cherry Fragrance For Car Home Boat Caravan,Single Pack",1.48,title,1.0,UNCLEAR
5017403015307.0,,B0F8ND7L8J,BLACKSPUR PICTURE HANGING KIT BOTH,"Lamborghini RC Drift Car, 1:18 4WD High Speed Remote Control Drift Cars with Full Proportional Throttle and LED Light, 35 KM/H RC Racing with Speed Adjustment, Boys Toy Gifts Age 6 7 8 9 10 11 12+",https://www.efghousewares.co.uk/blackspur-picture-hanging-kit-both,https://www.amazon.co.uk/dp/B0F8ND7L8J,50.0,50.0,Available (see Keepa data),,1.0,1.272,1.06,53.99,8.1,3.16,0.55,8.998333333333335,2.574,32.67166666666667,-2.574,32.12166666666667,1995.1345755693585,15.444,71.39470272272644,5017403015307,5017403015307,https://www.efghousewares.co.uk/blackspur-picture-hanging-kit-both,BLACKSPUR PICTURE HANGING KIT BOTH,,,,,no_results,0.0,UNCLEAR
50304811930187.0,5056293909426.0,B0BS9QST4Q,PPS FOIL 4 CONTAINERS & LID RECT 260X190X63MM,Neo XL Large Indoor Electric 3 Tier Airer Folding Foldable Laundry Clothes Horse Portable Heated Rail Rack Dryer Cover 36 Rails 147 cm…,https://www.efghousewares.co.uk/pps-foil-4-containers-lid-rect-260x190x63mm,https://www.amazon.co.uk/dp/B0BS9QST4Q,600.0,600.0,,Available (see Keepa data),1.0,2.088,1.74,89.99,13.5,15.48,0.55,14.998333333333337,6.254,44.271666666666654,-6.254,43.72166666666666,1909.24308588064,37.524,58.30203355928436,50304811930187,50304811930187,https://www.efghousewares.co.uk/pps-foil-4-containers-lid-rect-260x190x63mm,PPS FOIL 4 CONTAINERS & LID RECT 260X190X63MM,,,,,no_results,0.0,UNCLEAR
5020535013042.0,,B091B9DVYD,WONDER BALM 50GM ORIGINAL,"DS Labs For Men & Women Revita Shampoo & Conditioner Kit - Two-Step Scalp Care System for Fuller-Looking, Volumized Hair, Lightweight Hydration, Sulfate & Silicone Free, Color Safe, 205 mL",https://www.efghousewares.co.uk/wonder-balm-50gm-original-4-6,https://www.amazon.co.uk/dp/B091B9DVYD,50.0,50.0,,,,1.14,0.95,40.5,5.0625,2.41,0.55,6.75,1.7945000000000002,25.3275,-1.7945000000000002,24.7775,1651.8333333333337,10.767,73.4148148148148,5020535013042,5020535013042,https://www.efghousewares.co.uk/wonder-balm-50gm-original-4-6,WONDER BALM 50GM ORIGINAL,0.95,B07XRVR38Y,"Wonder Balm - Hand Balm/Cream for Lips, Hands and Nails - enriched with Aloe Vera for dry skin50ml",3.99,EAN,1.0,EAN_EXACT
5056683929614.0,5702017812878.0,B0DWDJR3DK,BLOOME COLLECTION GEL AIR FRESHENER ADJUSTABLE ASSORTED,"LEGO Harry Potter Chomping Monster Book Of Monsters – Interactive Toy with Pull-Back Motor & Chomping Mouth – incl. Neville Longbottom Minifigure - Gift for 9+ Year Old Boys, Girls & Fans - 76449",https://www.efghousewares.co.uk/bloome-collection-gel-air-freshener-adjustable-assorted-125018,https://www.amazon.co.uk/dp/B0DWDJR3DK,500.0,500.0,Available (see Keepa data),Available (see Keepa data),25.0,1.008,0.84,38.49,5.77,3.54,0.55,6.414999999999999,2.14,21.925000000000004,-2.14,21.375000000000004,1537.769784172662,12.839999999999998,66.6406858924396,5056683929614,5056683929614,https://www.efghousewares.co.uk/bloome-collection-gel-air-freshener-adjustable-assorted-125018,BLOOME COLLECTION GEL AIR FRESHENER ADJUSTABLE ASSORTED,0.84,B07ZJS6K7T,"3pk Gel Ball Air Fresheners | 150g Fragrant Gel Beads in Tropical Coconut, Raspberry and Passion Fruit and Cotton Fresh Scents That Lasts Up to 4 Weeks by Bloome",10.65,title,1.0,UNCLEAR
,,B0DK8WSQPF,"INSULATED SCREWDRIVER SET 4"" 2PC","Saker 42 in 1 Magnetic Screwdriver Set, Multi Bit Free Combination Ratchet Screwdriver Set Portable Repair Tool Kit for Gifts, Furniture, Computer, Bicycle and DIY Grey",https://www.efghousewares.co.uk/insulated-screwdriver-set-4-2pc-121491,https://www.amazon.co.uk/dp/B0DK8WSQPF,100.0,100.0,Available (see Keepa data),,1.0,1.008,0.84,28.46,3.7,2.94,0.55,4.743333333333332,1.6060000000000003,16.236666666666668,-1.6060000000000003,15.686666666666667,1128.537170263789,9.636,66.14195361911455,,,,,,,,,,,NO_LINKING_MAP
6269711011796.0,,B0F9P1GPGL,BAROQ 2 CUP RELISH ON TRAY SET,"BENFEI Laptop Stand with USB C 7in1 Docking Station,HDMI 4K@60Hz,1*SD 1*Micro SD,100W Power Delivery,10Gbps 1*USB C 3.2 and 2*USB A 3.2 Compatible with MacBook Pro/Air, iPad Pro, XPS, Thinkpad",https://www.efghousewares.co.uk/baroq-2-cup-relish-on-tray-set-124016,https://www.amazon.co.uk/dp/B0F9P1GPGL,200.0,200.0,,,,1.572,1.31,33.99,4.24875,2.41,0.55,5.664999999999999,1.70375,20.356250000000003,-1.70375,19.80625,1064.8521505376343,10.2225,69.92497793468667,6269711011796,6269711011796,https://www.efghousewares.co.uk/baroq-2-cup-relish-on-tray-set-124016,BAROQ 2 CUP RELISH ON TRAY SET,1.31,B0FZ1FN2K6,"Housetronics Relish Serving Dish Set with 3 Bowls & Tray | Elegant Serveware for Dips, Sauces, Chutneys, Relishes & Snacks | Glass Bowls with Sturdy Tray for Dining, Parties, Buffet & Home",7.99,title,1.0,UNCLEAR
5025364001970.0,,B0FKBZPHMH,TIDYZ DOGGY BAGS STRONG 50 PCS 30cm x 36cm,"Beco Dog Poo Bags - Strong, Leakproof & Large - 100% Recycled Plastic, Extra Thick Dog Poop Bags, Heavy Duty - Mint Scented Refill Rolls, 540 Count",https://www.efghousewares.co.uk/tidyz-50-doggy-bags-xl-extra-strong,https://www.amazon.co.uk/dp/B0FKBZPHMH,100.0,100.0,,,,0.672,0.56,21.29,2.66125,2.41,0.55,3.548333333333332,1.23625,12.110416666666667,-1.23625,11.560416666666669,1041.478978978979,7.417499999999999,65.15969938938468,5025364001970,,,,,,,,,,NO_LINKING_MAP
5013748062600.0,,B0GF9MZ2W2,151 HARD AS NAILS ADHESIVE HIGH POWER 180ML,"Vuba Easihold Gravel Glue 4.1L – Gravel Binder & Resin Stone Glue for Rock, Pebbles & Mulch, Pour On Water-Based Adhesive for Garden Paths, Patios & Borders, Weather Resistant, Pet Safe, 10m²",https://www.efghousewares.co.uk/151-flexi-filler-hard-as-nails,https://www.amazon.co.uk/dp/B0GF9MZ2W2,800.0,800.0,,,,1.344,1.12,29.99,3.74875,2.41,0.55,4.998333333333331,1.56575,17.712916666666665,-1.56575,17.162916666666664,1027.719560878243,9.3945,68.674558186062,5013748062600,5013748062600,https://www.efghousewares.co.uk/151-flexi-filler-hard-as-nails,151 HARD AS NAILS ADHESIVE HIGH POWER 180ML,,,,,no_results,0.0,UNCLEAR
5055319511230.0,,B0F8N3519Y,RAPIDE EVERYDAY PAINT BRUSH 2 INCH,"City Astronaut Building Set with Display Stand, Spaceman Construction Toys, Space Gifts for 6 Year Old Boy or Girl, Room/Home/Office Decor, 860 Pieces",https://www.efghousewares.co.uk/rapide-everyday-paint-brush-2-inch-111605,https://www.amazon.co.uk/dp/B0F8N3519Y,50.0,,,,2.0,1.008,0.84,27.09,4.06,3.04,0.55,4.515000000000001,1.698,14.635000000000002,-1.698,14.085,1013.3093525179856,10.188,62.3920265780731,5055319511230,5055319511230,https://www.efghousewares.co.uk/rapide-everyday-paint-brush-2-inch-111605,RAPIDE EVERYDAY PAINT BRUSH 2 INCH,,,,,no_results,0.0,UNCLEAR
5414886292308.0,,B0DMSPF13X,URBAN LIVING SOUP PLATE JOSEPH,"TOSY Magnet Pyramid Glow - 1 Cube Transforms into 1 Billion Shapes (Bunny, Egg Basket, Flowers, Heart), Easter Birthday Gift, 12 pcs, 243 Magnets, Glowing, Holographic Design, Puzzle/STEM Toy",https://www.efghousewares.co.uk/urban-living-glass-deep-plate-21cm-d000-101845,https://www.amazon.co.uk/dp/B0DMSPF13X,600.0,600.0,,,,1.008,0.84,24.68,3.085,2.41,0.55,4.113333333333333,1.3770000000000002,14.231666666666666,-1.3770000000000002,13.681666666666665,984.292565947242,8.261999999999999,66.52350081037277,5414886292308,5414886292308,https://www.efghousewares.co.uk/urban-living-glass-deep-plate-21cm-d000-101845,URBAN LIVING SOUP PLATE JOSEPH,0.84,B0C3NK536D,"Manhattan Urban Black Line - 6-Piece Matte Black Soup Plate Set - Premium Stoneware, Dishwasher and Microwave Safe - Stylish Deep Plate Set, Perfect for Pasta and Soup - Pure Living Dinner Set for 6",19.95,title,1.0,UNCLEAR
7422887602994.0,,B0DHSF4FYN,MAXIFRESH GLASS AIRTIGHT FOOD STORAGE CONTAINER RECTANGULAR 1L,"LEGO DC Batman: Batman Tumbler vs. Two-Face & The Joker - Batmobile Car Toy with 3 Minifigures - Super Hero Set - Gift for 8 Plus Year Old Boys, Girls and Dark Knight Fans 76303",https://www.efghousewares.co.uk/pyronex-vented-storage-jar-rect-1000ml-10-12,https://www.amazon.co.uk/dp/B0DHSF4FYN,300.0,300.0,,,,3.024,2.52,46.99,5.87375,2.41,0.55,7.831666666666663,2.2707500000000005,28.354583333333338,-2.2707500000000005,27.804583333333337,905.6867535287732,13.6245,71.00553309214726,7422887602994,,,,,,,,,,NO_LINKING_MAP
5032759016259.0,,B0FPXSW7X1,AMTECH PRO CAULKING GUN 2000,"LEGO Star Wars 75423 SMART Play: Luke's Red Five X-Wing - All-in-One Interactive Toy Set incl. SMART Brick, 5 Tags, 2 Minifigures & Charger - Gift Idea for 6+ Year Old Boys, Girls & Adult Fans",https://www.efghousewares.co.uk/amtech-pro-caulking-gun-2000,https://www.amazon.co.uk/dp/B0FPXSW7X1,100.0,100.0,,,,6.564,5.47,79.99,9.99875,2.41,0.55,13.331666666666663,3.685750000000001,48.779583333333335,-3.685750000000001,48.22958333333334,801.1558693244741,22.1145,72.35341917739719,5032759016259,5032759016259,https://www.efghousewares.co.uk/amtech-pro-caulking-gun-2000,AMTECH PRO CAULKING GUN 2000,5.47,B008CYQQBS,"Amtech H2000 280mm (11"") Professional caulking Gun",11.41,EAN,1.0,EAN_EXACT
5055319528795.0,5702017901213.0,B0DWDWK591,AUTO EXTREME WATERLESS WASH AND WAX 720ML,"LEGO Star Wars 75431 327th Star Corps Clone Troopers Battle Pack - Collectible Toy incl. 4 Minifigures, 3 Battle Droid Figures & an AT-RT - Gift for 7+ Year Old Boys & Revenge of the Sith Fans",https://www.efghousewares.co.uk/auto-extreme-waterless-wash-and-wax-720ml-111594,https://www.amazon.co.uk/dp/B0DWDWK591,800.0,800.0,Available (see Keepa data),Available (see Keepa data),38.0,1.476,1.23,26.99,4.05,2.94,0.55,4.498333333333331,1.754,14.271666666666668,-1.754,13.721666666666666,770.8801498127341,10.524,61.00778065950352,5055319528795,5055319528795,https://www.efghousewares.co.uk/auto-extreme-waterless-wash-and-wax-720ml-111594,AUTO EXTREME WATERLESS WASH AND WAX 720ML,,,,,no_results,0.0,UNCLEAR
5056170328951.0,,B000KJMNP6,VIVID BIN FRESHENER PK2,"WypAll® L20 Wiping Paper 7300, Blue 2-Ply Jumbo Roll for Cleaning & Maintenance Tasks – 1 Roll x 500 Sheets",https://www.efghousewares.co.uk/vivid-bin-freshener-pk2,https://www.amazon.co.uk/dp/B000KJMNP6,50.0,50.0,,,,1.008,0.84,20.42,2.5525,2.41,0.55,3.4033333333333324,1.2705000000000002,11.214166666666667,-1.2705000000000002,10.664166666666668,767.2062350119905,7.622999999999999,62.66895200783546,5056170328951,5056170328951,https://www.efghousewares.co.uk/vivid-bin-freshener-pk2,VIVID BIN FRESHENER PK2,0.84,B08CL4DF7G,Vivid 6 x Bin Freshener Smelling FRESH Dustbins Swing Pedal Air Fragrance UK FREE P&P,4.15,title,1.0,UNCLEAR
5032759029310.0,,B07PFW7NWS,AMTECH FOLDBACK UTILITY KNIFE STAINLESS STEEL,"Victorinox Swiss Classic Kitchen Knife Set, Cooking Knives, Set of 5, Extra Sharp Blades, Swiss Made, Black",https://www.efghousewares.co.uk/amtech-foldback-utility-knife-stainless-steel,https://www.amazon.co.uk/dp/B07PFW7NWS,200.0,200.0,,,,6.132000000000001,5.11,72.01,9.00125,2.41,0.55,12.001666666666663,3.4142500000000005,43.48708333333335,-3.4142500000000005,42.93708333333335,758.6057126030627,20.4855,71.55186779613945,5032759029310,5032759029310,https://www.efghousewares.co.uk/amtech-foldback-utility-knife-stainless-steel,AMTECH FOLDBACK UTILITY KNIFE STAINLESS STEEL,5.11,B001PHAUQG,Amtech S0280 Foldback Stainless Steel Utility Knife,9.52,EAN,1.0,EAN_EXACT
