SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI,bought_in_past_month,amazon_sales_badge,sales_value,tier,confidence_score,flags,reasons,ean_exact_match,SupplierURL,AmazonURL,fba_seller_count,Category,EAN_str,supplier_ean_str,supplier_url,supplier_title,supplier_price,amazon_asin,amazon_title,amazon_price,match_method,confidence,verdict
PIFCO BLACK TOASTER 2 SLICE,PIFCO® Black Toaster 2 Slice - 700W - 6 Browning Controls & Anti-Jam Function - Compact Design 2 Slice Toaster - Easy to Clean with Removable Crumbs Tray,5021961204684,5021961204684.0,B09VPLM7VM,7.992,16.19,0.4316666666666691,5.987055016181263,1000.0,,1000,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.31, shared=4)",True,https://www.efghousewares.co.uk/pifco-black-toaster-2-slice-107586,https://www.amazon.co.uk/dp/B09VPLM7VM,,Pifco Black Toaster 2 Slice 107586,5021961204684,,,,,,,,,,AUTO_KEEP_EAN_EXACT
TREAT AND EASE EYE MIST SPRAY,Eye Mist Eyelid Spray for Refreshing Soothing Relief Dry Tired Irritated Itch Sore Eyes 15ml,5056175904327,5056175904327.0,B093H2DHHF,1.008,3.93,0.0550000000000002,3.95683453237412,100.0,100.0,100,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.23, shared=3)",True,https://www.efghousewares.co.uk/treat-and-ease-eye-mist-spray-106977,https://www.amazon.co.uk/dp/B093H2DHHF,Available (see Keepa data),Treat And Ease Eye Mist Spray 106977,5056175904327,,,,,,,,,,AUTO_KEEP_EAN_EXACT
SUPER DREAMER FITTED SHEET DOUBLE  BLACK,"GC GAVENO CAVAILIA Microfiber Fitted Sheet Double - Plain Bed Sheets - Deep Pocket 10 inch (25cm) - Shrinkage, Fade & Wrinkle Resistant Bottom Sheet, Black to Mattress (137x193 cm) - Machine Washable",5051346795940,5051346795940.0,B0BTMS65BX,3.456,8.99,0.1016666666666676,2.964042759961157,50.0,50.0,50,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.27, shared=4)",True,https://www.efghousewares.co.uk/super-dreamer-fitted-sheet-double-black-123678,https://www.amazon.co.uk/dp/B0BTMS65BX,,Super Dreamer Fitted Sheet Double Black 123678,5051346795940,,,,,,,,,,AUTO_KEEP_EAN_EXACT
SUPER DREAMER FITTED SHEET KING BLACK,"GC GAVENO CAVAILIA Fitted Sheet King Size (25cm) Deep Pocket - Microfiber Bed Sheets Black - Breathable, Fade & Wrinkle Resistant - Elasticated Corners - Easycare Mattress & Bottom Sheet (152x203cm)",5051346795957,5051346795957.0,B0BTMNY9RV,3.888,9.49,0.0383333333333342,1.0114335971855994,100.0,100.0,100,TIER_1_VERIFIED,40,BRAND_MISMATCH,"Exact EAN match (checksum verified),Weak title match (sim=0.24, shared=4)",True,https://www.efghousewares.co.uk/super-dreamer-fitted-sheet-king-black-123682,https://www.amazon.co.uk/dp/B0BTMNY9RV,,Super Dreamer Fitted Sheet King Black 123682,5051346795957,,,,,,,,,,AUTO_KEEP_EAN_EXACT
MUNCH CRUNCH SERRANO HAM/TURKEY TREAT,Munch & Crunch Serrano Ham Bone Large Treats For Dogs x 18 Bones,5053249260976,,B0CVQP7XXD,1.212,25.49,14.085416666666664,902.9113247863248,50.0,50.0,50,TIER_3_NEEDS_REVIEW,30,"AMAZON_EAN_MISSING,EXTREME_PRICE_RATIO","Supplier EAN present, Amazon EAN missing,Strong title match (sim=0.65, shared=4),Brand match: munch,Price ratio 21.0x - likely mismatch",False,https://www.efghousewares.co.uk/munch-crunch-serrano-ham-turkey-treat,https://www.amazon.co.uk/dp/B0CVQP7XXD,,Munch Crunch Serrano Ham Turkey Treat,5053249260976,,,,,,,,,,MANUAL_REVIEW_NON_EAN
MAGNETIC TRAVEL GAMES,"JJPRIME - Magnetic Travel Board Games Set of 4 Chess, Draughts, Ludo, Snakes and Ladders Game for Kids Travel Games For Kids On Plane | Magnetic Games For Kid Travel Chess Set Magnetic with Pouch",5050565241924,5055871772346.0,B01IB2SNES,0.804,9.99,3.1850000000000014,261.0655737704919,600.0,600.0,600,TIER_4_REJECTED,0,"EAN_MISMATCH,BRAND_MISMATCH","EAN mismatch: supplier=5050565241924 vs amazon=5055871772346,Weak title match (sim=0.20, shared=3)",False,https://www.efghousewares.co.uk/magnetic-travel-games,https://www.amazon.co.uk/dp/B01IB2SNES,Available (see Keepa data),Magnetic Travel Games,5050565241924,,,,,,,,,,MANUAL_REVIEW_NON_EAN
REDWOOD TELESCOPIC HIKING POLE,"Underwood-Aggregator Walking Poles - 2 Pack Collapsible Hiking Poles for Women and Men, Ultralight Telescopic Backpacking Walking Stick, Adjustable Trekking Poles for Mountaining, Anti-shock System",5017403136965,746555543011.0,B0BJTS7R9X,3.828,23.99,9.691666666666665,259.1354723707664,500.0,500.0,500,TIER_4_REJECTED,0,"EAN_MISMATCH,BRAND_MISMATCH","EAN mismatch: supplier=5017403136965 vs amazon=746555543011,Weak title match (sim=0.24, shared=2)",False,https://www.efghousewares.co.uk/redwood-telescopic-hiking-pole-109411,https://www.amazon.co.uk/dp/B0BJTS7R9X,Available (see Keepa data),Redwood Telescopic Hiking Pole 109411,5017403136965,,,,,,,,,,MANUAL_REVIEW_NON_EAN
PRIMA STAINLESS STEEL STRAINER SET 3PK,"Sieves and Strainers Set – 3 Pack Stainless Steel Fine Mesh Sieve (7cm, 12cm, 18cm) | Rust Free, Dishwasher Safe, Flour Sifter for Baking & Cooking",5038673184869,195893181537.0,B09DYDR5F2,1.14,9.49,2.288333333333334,152.5555555555556,600.0,600.0,600,TIER_4_REJECTED,0,"EAN_MISMATCH,BRAND_MISMATCH","EAN mismatch: supplier=5038673184869 vs amazon=195893181537,Weak title match (sim=0.35, shared=2)",False,https://www.efghousewares.co.uk/prima-s-s-strainer-set-3pk,https://www.amazon.co.uk/dp/B09DYDR5F2,Available (see Keepa data),Prima S S Strainer Set 3Pk,5038673184869,,,,,,,,,,MANUAL_REVIEW_NON_EAN
ISLA BABY DOLL SET 26CM,"vamei Baby Doll Set, 12 Inches Baby Born Dolls for Girls, Baby Doll Accessories with Clothes Carrier Bassinet Bed Bottle Feeding Set, Pretend Play Toddler Toys Gift for 3 4 5 6 Years Old Girls",5012866303183,,B0DRG3DXWF,7.859999999999999,29.99,10.141666666666666,142.84037558685446,100.0,100.0,100,TIER_4_REJECTED,0,"AMAZON_EAN_MISSING,BRAND_MISMATCH","Supplier EAN present, Amazon EAN missing,Weak title match (sim=0.17, shared=2)",False,https://www.efghousewares.co.uk/isla-baby-doll-set-26cm-123820,https://www.amazon.co.uk/dp/B0DRG3DXWF,Available (see Keepa data),Isla Baby Doll Set 26Cm 123820,5012866303183,,,,,,,,,,MANUAL_REVIEW_NON_EAN
NEON COLOURING SET,"CRAYOLA Inspiration Art Case - 140 Pieces of Colouring Fun! | Includes Crayons, Markers, Pencils & Paper | Ideal for Kids Aged 5+",5015934803813,71662045326.0,B00CI6J5JQ,3.324,14.57,3.1516666666666677,94.92971887550202,900.0,900.0,900,TIER_4_REJECTED,0,"AMAZON_EAN_MISSING,BRAND_MISMATCH","Supplier EAN present, Amazon EAN missing,Weak title match (sim=0.23, shared=1)",False,https://www.efghousewares.co.uk/neon-colouring-set-118509,https://www.amazon.co.uk/dp/B00CI6J5JQ,Available (see Keepa data),Neon Colouring Set 118509,5015934803813,,,,,,,,,,MANUAL_REVIEW_NON_EAN
KINGFISHER PATIO WEED BRUSH 120CM,"Harbour Housewares Wooden Long Handle Weed Brush - Patio & Driveway Weed Remover with Brass Bristles and Steel Scraper - 120cm Garden Path, Block Paving & Moss Cleaner",5013478150851,5056703623256.0,B0F4XH7PSR,2.088,8.99,1.6679166666666665,72.83478893740902,200.0,200.0,200,TIER_4_REJECTED,0,"EAN_MISMATCH,BRAND_MISMATCH","EAN mismatch: supplier=5013478150851 vs amazon=5056703623256,Weak title match (sim=0.22, shared=4)",False,https://www.efghousewares.co.uk/kingfisher-patio-weed-brush-120cm-5-10,https://www.amazon.co.uk/dp/B0F4XH7PSR,,Kingfisher Patio Weed Brush 120Cm 5 10,5013478150851,,,,,,,,,,MANUAL_REVIEW_NON_EAN
ALBERO MULTIPURPOSE TRAY NO3,"Argon Tableware Black Rectangular Serving Tray 45.5 x 35.5cm - Reusable Non Slip Rubberized Surface Platter for Food and Drinks - Heat Resistant Stackable Tray for Bars, Restaurants and Home Use",8414926114390,5055336449370.0,B00366NX7C,1.608,9.99,1.225000000000001,64.81481481481485,100.0,100.0,100,TIER_4_REJECTED,0,"EAN_MISMATCH,BRAND_MISMATCH","EAN mismatch: supplier=8414926114390 vs amazon=5055336449370,Weak title match (sim=0.18, shared=1)",False,https://www.efghousewares.co.uk/albero-multipurpose-tray-no3,https://www.amazon.co.uk/dp/B00366NX7C,Available (see Keepa data),Albero Multipurpose Tray No3,8414926114390,,,,,,,,,,MANUAL_REVIEW_NON_EAN
PLASPLUGS P/BOARD SUPER TOGGLE PK5,Plasplug SSTC554 Super Toggle Hollow Fixing,5010047103058,5010047125548.0,B00534860Y,1.548,6.0,0.8799999999999997,47.82608695652172,50.0,50.0,50,TIER_4_REJECTED,0,"EAN_MISMATCH,BRAND_MISMATCH","EAN mismatch: supplier=5010047103058 vs amazon=5010047125548,Weak title match (sim=0.61, shared=2)",False,https://www.efghousewares.co.uk/plasplugs-p-board-super-toggle-pk5,https://www.amazon.co.uk/dp/B00534860Y,,Plasplugs P Board Super Toggle Pk5,5010047103058,,,,,,,,,,MANUAL_REVIEW_NON_EAN
EVERREADY T8 4FT 36W TUBE LIGHT,Osram 4Ft 36w T8 Fluorescent Tube - Colour 865 - Daylight [6500k],5050028016069,4050300591384.0,B000UXH8KM,3.5856,21.8,1.5986666666666685,45.18560391935185,100.0,100.0,100,TIER_4_REJECTED,0,"EAN_MISMATCH,BRAND_MISMATCH","EAN mismatch: supplier=5050028016069 vs amazon=4050300591384,Moderate title match (sim=0.46, shared=3)",False,https://www.efghousewares.co.uk/everready-t8-4ft-36w-tube-light-110739,https://www.amazon.co.uk/dp/B000UXH8KM,,Other,5050028016069,,,,,,,,,,MANUAL_REVIEW_NON_EAN
KINGAVON 2 WAY PLUG ADAPTOR WITH TYPE C & USB,"Multi Plug Extension Socket with 4 USB (2 Type C), ANVODE 4 Way Plug Adaptor with Short Cable, Adapter Plug UK Turn 1 to 8, Short Extension Lead Power Strip for Bedroom, Office, Kitchen. White",5017403134213,,B0F327VS5G,7.9776,15.99,1.0770000000000006,14.96248958043902,400.0,400.0,400,TIER_4_REJECTED,0,"AMAZON_EAN_MISSING,BRAND_MISMATCH","Supplier EAN present, Amazon EAN missing,Weak title match (sim=0.32, shared=5)",False,https://www.efghousewares.co.uk/kingavon-2-way-plug-adaptor-with-type-c-usb-109589,https://www.amazon.co.uk/dp/B0F327VS5G,Available (see Keepa data),Other,5017403134213,,,,,,,,,,MANUAL_REVIEW_NON_EAN
ASHLEY FUNNEL SET 3PC,"3pcs Funnel Set | Stainless Steel Funnels with Handles for Kitchen, Cooking, and Oil | Durable and Easy to Clean | Funnels for Filling Bottles and Containers",5017403116011,,B0D9LXFL9Q,1.008,5.99,0.0316666666666668,2.2781774580335856,50.0,50.0,50,TIER_4_REJECTED,0,"AMAZON_EAN_MISSING,BRAND_MISMATCH","Supplier EAN present, Amazon EAN missing,Weak title match (sim=0.16, shared=1)",False,https://www.efghousewares.co.uk/ashley-funnel-set-3pc,https://www.amazon.co.uk/dp/B0D9LXFL9Q,Available (see Keepa data),Ashley Funnel Set 3Pc,5017403116011,,,,,,,,,,MANUAL_REVIEW_NON_EAN
