EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin,RowID,EAN_digits,EAN_OnPage_digits,sales,title_match,is_exact_ean,EAN_digits_normalized,EAN_OnPage_digits_normalized,EAN_strict_valid,EAN_OnPage_strict_valid,is_exact_ean_strict,Sup_Qty,Amz_Qty,Qty_Ratio,has_dimension_pattern_sup,has_dimension_pattern_amz,Adjusted_Profit,category,Pack_Verdict,MLS,MLS_band,IP_Risk,Capacity_Variance
4894158018552,nan,B0DNSWBYMZ,FESTIVE MAGIC BELLS 8PC ASSORTED,"Hazel Quinn x Eduardo Recife 2-Slice Toaster, 6 Browning Levels, Defrost/Reheat/Cancel Functions, Removable Crumb Tray for Easy Cleaning, 1.5-Inch Extra-Wide Slots, Retro Style Collaboration",https://www.efghousewares.co.uk/festive-magic-bells-8pc-assorted-93115,https://www.amazon.co.uk/dp/B0DNSWBYMZ,50,Available (see Keepa data),,1.0,0.672,0.56,69.99,10.5,5.15,0.55,11.665,3.352,42.1149999999999,-3.352,41.565,3744.59459459459,20.112,71.264466352336,11,4894158018552,,50,0.1981981981981982,False,4894158018552,,True,False,False,1.0,1.0,1.0,False,False,41.565,UNCERTAIN,1:1 Match,0.0,UNLIKELY,False,
5414886287533,nan,B0002HZPUG,EASY STORAGE VACUUM BAG 70X100CM,John Deere Ride-on Tractor with Loader and Detachable Trailer,https://www.efghousewares.co.uk/easy-storage-vacuum-bag-70x100cm,https://www.amazon.co.uk/dp/B0002HZPUG,100,,Available (see Keepa data),6.0,1.476,1.23,114.99,16.5,11.87,0.55,19.1649999999999,6.02999999999999,66.225,-6.02999999999999,65.675,3689.60674157303,36.18,68.5363944690842,12,5414886287533,,100,0.1935483870967742,False,5414886287533,,True,False,False,1.0,1.0,1.0,True,False,65.675,UNCERTAIN,1:1 Match,9.67741935483871,UNLIKELY,False,
5050565743725,nan,B0FGCSDMBW,CEMENT FLOWER POT WITH SUCCULENT CIRCLE 3 ASSORTED,"Sewing Machine for Beginners â€“ Portable Electric with 12 Built-In Stitch Patterns, 6 Presser Feet, Foot Pedal, 2-Speed Control, Fast Sewing for Clothes, Fabrics, DIY & Home Use",https://www.efghousewares.co.uk/cement-flower-pot-with-succulent-circle-3-assorted-120175,https://www.amazon.co.uk/dp/B0FGCSDMBW,100,Available (see Keepa data),,1.0,0.804,0.67,74.99,11.25,5.42,0.55,12.4983333333333,3.578,45.1516666666666,-3.578,44.6016666666666,3655.87431693989,21.468,71.3721829577276,13,5050565743725,,100,0.2631578947368421,False,5050565743725,,True,False,False,1.0,1.0,1.0,False,False,44.6016666666666,UNCERTAIN,1:1 Match,0.0,UNLIKELY,False,
5012904000425,659381335623,B0FLXV5TG6,CHEF AID MINI SPOUT BRUSH,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",https://www.efghousewares.co.uk/chef-aid-mini-spout-brush,https://www.amazon.co.uk/dp/B0FLXV5TG6,50,Available (see Keepa data),,1.0,1.032,0.86,81.98,10.15,5.34,0.55,13.6633333333333,3.38,51.9666666666666,-3.38,51.4166666666666,3646.57210401891,20.28,75.2622590875823,14,5012904000425,659381335623,50,0.10232558139534884,False,5012904000425,659381335623,True,True,False,1.0,1.0,1.0,False,True,51.4166666666666,UNCERTAIN,1:1 Match,5.116279069767442,UNLIKELY,False,
5055706641151,717710483480,B0FGHZB8FM,PROKLEEN SPUNLACE FLOOR MOP & HANDLE,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",https://www.efghousewares.co.uk/prokleen-spunlace-floor-mop-handle,https://www.amazon.co.uk/dp/B0FGHZB8FM,50,Available (see Keepa data),,1.0,2.088,1.74,129.0,19.35,3.44,0.55,21.5,5.016,82.97,-5.016,82.42,3599.12663755458,30.096,76.6697674418604,15,5055706641151,717710483480,50,0.09691629955947137,False,5055706641151,717710483480,True,True,False,1.0,1.0,1.0,False,True,82.42,UNCERTAIN,1:1 Match,4.845814977973569,UNLIKELY,False,
5012904018475,nan,B0FLXV5TG6,TALA STAINLESS STEEL TOWEL HOLDER,"NiwNiw Heavy Duty Trailer Hitch Lock with Forged Steel Safety Ball Ifor Williams Knott Avonride 50mm Head (575003/575004/575005/575008),High Security Anti-Theft Caravan Tow Bar Coupling Lock",https://www.efghousewares.co.uk/tala-stainless-steel-towel-holder-5-1-23,https://www.amazon.co.uk/dp/B0FLXV5TG6,50,,,,1.164,0.97,81.98,10.2475,2.41,0.55,13.6633333333333,2.8355,54.6891666666666,-2.8355,54.1391666666666,3561.78728070175,17.013,79.2473774091241,16,5012904018475,,50,0.17937219730941703,False,5012904018475,,True,False,False,1.0,1.0,1.0,False,True,54.1391666666666,UNCERTAIN,1:1 Match,13.968609865470851,UNLIKELY,False,
5055297302240,717710483480,B0FGHZB8FM,PLUNGER BUFFALO MINI PLUNGER,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",https://www.efghousewares.co.uk/plunger-buffalo-mini-plunger,https://www.amazon.co.uk/dp/B0FGHZB8FM,50,Available (see Keepa data),,1.0,2.196,1.83,129.0,19.35,3.44,0.55,21.5,5.034,82.88,-5.034,82.33,3459.24369747899,30.204,76.5860465116279,17,5055297302240,717710483480,50,0.1278538812785388,False,5055297302240,717710483480,True,True,False,1.0,1.0,1.0,False,True,82.33,UNCERTAIN,1:1 Match,6.392694063926941,UNLIKELY,False,
5038673411309,nan,B0FM3GQ9VQ,PRIMA PET BALL LAUNCHER 50CM,"Pet Prime Automatic Ball Launcher for Large Dog, Rechargeable Cordless Interactive Ball Thrower Toy with Random Distance, Fetch Machine with 6 Durable 2.5"" E-TPU Balls & Dog Whistle",https://www.efghousewares.co.uk/prima-pet-ball-launcher-50cm,https://www.amazon.co.uk/dp/B0FM3GQ9VQ,50,,,,1.344,1.12,86.69,10.83625,2.41,0.55,14.4483333333333,2.98325,57.8754166666666,-2.98325,57.3254166666666,3432.65968063872,17.8995,79.3522897681393,18,5038673411309,,50,0.21052631578947367,False,5038673411309,,True,False,False,1.0,1.0,1.0,True,False,57.3254166666666,UNCERTAIN,1:1 Match,20.526315789473685,UNLIKELY,False,
5030017011138,nan,B0FB36DTHD,PANASONIC UPRIGHT   SDB113,"ElecKeys Cordless Vacuum Cleaner,65 Mins 580W 48KPa 1.8L Vacuum Cleaners for Home,Self-Standing Anti-Tangle Vacuum,Handheld Vacuum Cleaner Rechargeable Wall-Mounted for Carpets Floors Pet Hair",https://www.efghousewares.co.uk/panasonic-upright-sdb113,https://www.amazon.co.uk/dp/B0FB36DTHD,300,Available (see Keepa data),,2.0,2.616,2.18,144.99,21.75,5.84,0.55,24.1649999999999,6.064,91.055,-6.064,90.505,3315.20146520146,36.384,74.9058555762466,19,5030017011138,,300,0.09174311926605505,False,5030017011138,,True,False,False,1.0,1.0,1.0,False,True,90.505,UNCERTAIN,1:1 Match,4.587155963302752,UNLIKELY,False,
5012213580601,nan,B08KYJWQPV,TOM SMITH CHRISTMAS CARDS LUXURY SLIM FOLIAGE TEXT,Nilfisk Core 130 Bar High Pressure Washer with Power Control - Mini Power Washer for Patios and Car Cleaner (1500 W),https://www.efghousewares.co.uk/tom-smith-christmas-cards-luxury-slim-foliage-text-122728,https://www.amazon.co.uk/dp/B08KYJWQPV,50,,,,2.016,1.68,104.67,13.08375,2.41,0.55,17.4449999999999,3.54475,70.05125,-3.54475,69.50125,3116.64798206278,21.2685,79.6804241903124,20,5012213580601,,50,0.25301204819277107,False,5012213580601,,True,False,False,1.0,1.0,1.0,False,False,69.50125,UNCERTAIN,1:1 Match,12.650602409638553,UNLIKELY,False,
